year,iso_o,Y_i 
2002,Alabama,3264949
2002,Alaska,46143
2002,Arizona,2395447
2002,Arkansas,4950397
2002,California,25737173
2002,Colorado,4525196
2002,Connecticut,470637
2002,Delaware,618853
2002,Florida,6242272
2002,Georgia,4911752
2002,Hawaii,533423
2002,Idaho,3908262
2002,Illinois,7676239
2002,Indiana,4783158
2002,Iowa,12273634
2002,Kansas,8746244
2002,Kentucky,3080080
2002,Louisiana,1815803
2002,Maine,463603
2002,Maryland,1293303
2002,Massachusetts,384314
2002,Michigan,3772435
2002,Minnesota,8575627
2002,Mississippi,3116295
2002,Missouri,4983255
2002,Montana,1882114
2002,Nebraska,9703657
2002,Nevada,446989
2002,NewHampshire,144835
2002,NewJersey,749872
2002,NewMexico,1700030
2002,NewYork,3117834
2002,NorthCarolina,6961686
2002,NorthDakota,3233366
2002,Ohio,4263549
2002,Oklahoma,4456404
2002,Oregon,3195497
2002,Pennsylvania,4256959
2002,RhodeIsland,55546
2002,SouthCarolina,1489750
2002,SouthDakota,3834625
2002,Tennessee,2199814
2002,Texas,14134744
2002,Utah,1115898
2002,Vermont,473065
2002,Virginia,2360911
2002,Washington,5330740
2002,WestVirginia,482814
2002,Wisconsin,5623275
2002,Wyoming,863887
2007,Alabama,4415550
2007,Alaska,57019
2007,Arizona,3234552
2007,Arkansas,7508806
2007,California,33885064
2007,Colorado,6061134
2007,Connecticut,551553
2007,Delaware,1083035
2007,Florida,7785228
2007,Georgia,7112866
2007,Hawaii,513626
2007,Idaho,5688765
2007,Illinois,13329107
2007,Indiana,8271291
2007,Iowa,20418096
2007,Kansas,14413182
2007,Kentucky,4824561
2007,Louisiana,2617981
2007,Maine,617190
2007,Maryland,1835090
2007,Massachusetts,489820
2007,Michigan,5753219
2007,Minnesota,13180466
2007,Mississippi,4876781
2007,Missouri,7512926
2007,Montana,2803062
2007,Nebraska,15506035
2007,Nevada,513269
2007,NewHampshire,199051
2007,NewJersey,986885
2007,NewMexico,2175080
2007,NewYork,4418634
2007,NorthCarolina,10313628
2007,NorthDakota,6084218
2007,Ohio,7070212
2007,Oklahoma,5806061
2007,Oregon,4386143
2007,Pennsylvania,5808803
2007,RhodeIsland,65908
2007,SouthCarolina,2352681
2007,SouthDakota,6570450
2007,Tennessee,2617394
2007,Texas,21001074
2007,Utah,1415678
2007,Vermont,673713
2007,Virginia,2906188
2007,Washington,6792856
2007,WestVirginia,591665
2007,Wisconsin,8967358
2007,Wyoming,1157535
