iso_o,year,fish_prod
Alabama,2000,63275
Alaska,2000,956990
Arizona,2000,0
Arkansas,2000,0
California,2000,139111
Colorado,2000,0
Connecticut,2000,31227
Delaware,2000,6707
Florida,2000,212700
Georgia,2000,21331
Hawaii,2000,68447
Idaho,2000,0
Illinois,2000,35
Indiana,2000,0
Iowa,2000,0
Kansas,2000,0
Kentucky,2000,0
Louisiana,2000,401095
Maine,2000,275107
Maryland,2000,53874
Massachusetts,2000,288263
Michigan,2000,8963
Minnesota,2000,172
Mississippi,2000,58715
Missouri,2000,0
Montana,2000,0
Nebraska,2000,0
Nevada,2000,0
NewHampshire,2000,13951
NewJersey,2000,107163
NewMexico,2000,0
NewYork,2000,59501
NorthCarolina,2000,95305
NorthDakota,2000,0
Ohio,2000,2442
Oklahoma,2000,0
Oregon,2000,79351
Pennsylvania,2000,29
RhodeIsland,2000,72544
SouthCarolina,2000,30344
SouthDakota,2000,0
Tennessee,2000,0
Texas,2000,232400
Utah,2000,0
Vermont,2000,0
Virginia,2000,118336
Washington,2000,145311
WestVirginia,2000,0
Wisconsin,2000,6792
Wyoming,2000,0
Alabama,2001,43170
Alaska,2001,869885
Arizona,2001,0
Arkansas,2001,0
California,2001,110251
Colorado,2001,0
Connecticut,2001,30625
Delaware,2001,7645
Florida,2001,191946
Georgia,2001,14752
Hawaii,2001,54561
Idaho,2001,0
Illinois,2001,14
Indiana,2001,0
Iowa,2001,0
Kansas,2001,0
Kentucky,2001,0
Louisiana,2001,342748
Maine,2001,251441
Maryland,2001,55586
Massachusetts,2001,281059
Michigan,2001,9235
Minnesota,2001,202
Mississippi,2001,50561
Missouri,2001,0
Montana,2001,0
Nebraska,2001,0
Nevada,2001,0
NewHampshire,2001,17865
NewJersey,2001,109820
NewMexico,2001,0
NewYork,2001,55151
NorthCarolina,2001,90202
NorthDakota,2001,0
Ohio,2001,3287
Oklahoma,2001,0
Oregon,2001,72516
Pennsylvania,2001,44
RhodeIsland,2001,65457
SouthCarolina,2001,23398
SouthDakota,2001,0
Tennessee,2001,0
Texas,2001,218030
Utah,2001,0
Vermont,2001,0
Virginia,2001,119382
Washington,2001,134454
WestVirginia,2001,0
Wisconsin,2001,4949
Wyoming,2001,0
Alabama,2002,35102
Alaska,2002,811545
Arizona,2002,0
Arkansas,2002,0
