SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/,,,,,,,,
(number of jobs) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,sector
0,United States,,Employment by place of work,,,,,
0,United States,10,Total employment (number of jobs),158481200,161531300,165370800,165522200,
0,United States,,By type,,,,,
0,United States,20,  Wage and salary employment,131920000,134766000,137610000,137334000,
0,United States,40,  Proprietors employment,26561200,26765300,27760800,28188200,
0,United States,50,    Farm proprietors employment,2249000,2237000,2224000,2190000,
0,United States,60,    Nonfarm proprietors employment 2/,24312200,24528300,25536800,25998200,
0,United States,,By industry,,,,,
0,United States,70,  Farm employment,3129000,3150000,3117000,3063000,14
0,United States,80,  Nonfarm employment,155352200,158381300,162253800,162459200,
0,United States,90,    Private nonfarm employment,133210200,135940300,139316800,139308200,
0,United States,100,"      Forestry, fishing, and related activities",927100,894100,851400,801500,14
0,United States,101,        Forestry and logging,168100,168700,153300,148400,
0,United States,102,"        Fishing, hunting and trapping",134700,125000,120300,105900,
0,United States,103,        Support activities for agriculture and forestry,624300,600400,577800,547200,
0,United States,200,"      Mining, quarrying, and oil and gas extraction",829000,787200,757000,808400,4
0,United States,201,        Oil and gas extraction,361900,349900,325500,356000,
0,United States,202,        Mining (except oil and gas),273400,261500,248400,250900,
0,United States,203,        Support activities for mining,193700,175800,183100,201500,
0,United States,300,      Utilities,625900,622000,621800,615800,
0,United States,400,      Construction,8888800,9245300,9540300,9816700,13
0,United States,401,        Construction of buildings,2006800,2135000,2209800,2275800,
0,United States,402,        Heavy and civil engineering construction,956200,1008100,1044800,1069100,
0,United States,403,        Specialty trade contractors,5925800,6102200,6285700,6471800,
0,United States,500,      Manufacturing,18108900,17846900,17750600,16921600,
0,United States,510,        Durable goods manufacturing,11274100,11147800,11162000,10637900,
0,United States,511,          Wood product manufacturing,668100,674200,664400,625900,3
0,United States,512,          Nonmetallic mineral product manufacturing,552900,561200,568500,554000,7
0,United States,513,          Primary metal manufacturing,646000,626600,620600,575300,8
0,United States,514,          Fabricated metal product manufacturing,1809400,1793100,1808300,1733600,8
0,United States,515,          Machinery manufacturing,1534000,1493900,1485100,1401900,9
0,United States,516,          Computer and electronic product manufacturing,1843300,1769100,1812600,1768800,10
0,United States,517,"          Electrical equipment, appliance, and component manufacturing",608000,598900,603300,566200,10
0,United States,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",1272900,1309800,1311800,1215800,11
0,United States,519,          Other transportation equipment manufacturing,818000,790000,755600,736400,11
0,United States,521,          Furniture and related product manufacturing,694400,717000,719200,683400,12
0,United States,522,          Miscellaneous manufacturing,827100,814000,812600,776600,12
0,United States,530,        Nondurable goods manufacturing,6834800,6699100,6588600,6283700,
0,United States,531,          Food manufacturing,1600800,1606100,1596100,1593700,1
0,United States,532,          Beverage and tobacco product manufacturing,215900,213200,210200,214400,1
0,United States,533,          Textile mills,428800,401500,381700,334200,2
0,United States,534,          Textile product mills,227500,222900,218600,206600,2
0,United States,535,          Apparel manufacturing,661500,581700,529700,458700,2
0,United States,536,          Leather and allied product manufacturing,84400,78300,73100,63300,2
0,United States,537,          Paper manufacturing,631700,617700,606800,578400,3
0,United States,538,          Printing and related support activities,893700,878700,871600,816800,3
0,United States,539,          Petroleum and coal products manufacturing,123700,125800,122000,121900,4
0,United States,541,          Chemical manufacturing,1009600,999600,993600,971700,5
0,United States,542,          Plastics and rubber products manufacturing,957200,973600,985200,924000,6
0,United States,600,      Wholesale trade,6068700,6147000,6270700,6233400,13
0,United States,700,      Retail trade,18082700,18095800,18455400,18257800,13
0,United States,701,        Motor vehicle and parts dealers,1970100,1999700,2045100,2060800,
0,United States,702,        Furniture and home furnishings stores,586600,603100,626200,617700,
0,United States,703,        Electronics and appliance stores,580100,599200,624100,609100,
0,United States,704,        Building material and garden equipment and supplies dealers,1127500,1177900,1210300,1208200,
0,United States,705,        Food and beverage stores,3154000,3178000,3191300,3148300,
0,United States,706,        Health and personal care stores,1055300,1058800,1081400,1103000,
0,United States,707,        Gasoline stations,1000900,999100,991600,970700,
0,United States,708,        Clothing and clothing accessories stores,1438400,1452700,1480500,1492100,
0,United States,709,"        Sporting goods, hobby, musical instrument, and book stores",879700,871800,885100,852500,
0,United States,711,        General merchandise stores,2731700,2776300,2863200,2861900,
0,United States,712,        Miscellaneous store retailers,1591600,1583900,1622100,1690400,
0,United States,713,        Nonstore retailers,1966800,1795300,1834500,1643100,
0,United States,800,      Transportation and warehousing,5245500,5264300,5466100,5480000,13
0,United States,801,        Air transportation,578500,603000,625500,636800,
0,United States,802,        Rail transportation,220600,220700,209900,202900,
0,United States,803,        Water transportation,57100,56700,57200,58800,
0,United States,804,        Truck transportation,1887900,1873500,1974100,1954300,
0,United States,805,        Transit and ground passenger transportation,559600,553800,558400,557300,
0,United States,806,        Pipeline transportation,51100,48100,47100,45100,
0,United States,807,        Scenic and sightseeing transportation,38600,37600,37800,35300,
0,United States,808,        Support activities for transportation,546200,557700,578400,587300,
0,United States,809,        Couriers and messengers,804200,793500,835500,852800,
0,United States,811,        Warehousing and storage,501700,519700,542200,549400,
0,United States,900,      Information,3639500,3751700,4031300,4047800,13
0,United States,901,        Publishing industries (except Internet),1089900,1100900,1148600,1130800,
0,United States,902,        Motion picture and sound recording industries,453800,459100,428700,451900,
0,United States,903,        Broadcasting (except Internet),354100,356400,377000,382700,
0,United States,904,        Internet publishing and broadcasting 3/,22900,29800,51200,47600,
0,United States,905,        Telecommunications,1227400,1277000,1411900,1437000,
0,United States,906,"        Data processing, hosting, and related services",441000,477000,560700,543900,
0,United States,907,        Other information services 3/,50400,51500,53200,53900,
0,United States,1000,      Finance and insurance,7666000,7721900,7833600,7800600,13
0,United States,1001,        Monetary Authorities-central bank,21000,21000,21000,23000,
0,United States,1002,        Credit intermediation and related activities,2650600,2706800,2684100,2734900,
0,United States,1003,"        Securities, commodity contracts, and other financial investments and related activities",2059600,2038400,2212200,2075700,
0,United States,1004,        Insurance carriers and related activities,2746600,2767500,2708000,2763900,
0,United States,1005,"        Funds, trusts, and other financial vehicles",188200,188200,208300,203100,
0,United States,1100,      Real estate and rental and leasing,5257200,4989300,5446600,5548400,13
0,United States,1101,        Real estate,4430500,4167600,4596600,4682700,
0,United States,1102,        Rental and leasing services,794500,789500,817700,832200,
0,United States,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),32200,32200,32300,33500,
0,United States,1200,"      Professional, scientific, and technical services",8985000,9620000,10023600,10271800,13
0,United States,1300,      Management of companies and enterprises,1756400,1790800,1801700,1789300,13
0,United States,1400,      Administrative and support and waste management and remediation services,8828200,9453000,9903100,9603500,13
0,United States,1401,        Administrative and support services,8488400,9105500,9562400,9251100,
0,United States,1402,        Waste management and remediation services,339800,347500,340700,352400,
0,United States,1500,      Educational services,2595400,2722900,2825800,3011300,13
0,United States,1600,      Health care and social assistance,14219000,14656800,15026200,15253400,13
0,United States,1601,        Ambulatory health care services,5108000,5237900,5386800,5512700,
0,United States,1602,        Hospitals,3976900,4028700,4033100,4060500,
0,United States,1603,        Nursing and residential care facilities,2630500,2680500,2734100,2799500,
0,United States,1604,        Social assistance,2503600,2709700,2872200,2880700,
0,United States,1700,"      Arts, entertainment, and recreation",2827200,3041500,3199200,3165100,13
0,United States,1701,"        Performing arts, spectator sports, and related industries",1341300,1472800,1565500,1514400,
0,United States,1702,"        Museums, historical sites, and similar institutions",104000,110700,115400,121000,
0,United States,1703,"        Amusement, gambling, and recreation industries",1381900,1458000,1518300,1529700,
0,United States,1800,      Accommodation and food services,10043000,10341700,10574500,10806200,13
0,United States,1801,        Accommodation,1887000,1943800,1980700,1947200,
0,United States,1802,        Food services and drinking places,8156000,8397900,8593800,8859000,
0,United States,1900,      Other services (except government and government enterprises),8616700,8948100,8937900,9075600,13
0,United States,1901,        Repair and maintenance,2018500,2121700,2097800,2149200,
0,United States,1902,        Personal and laundry services,2484900,2641400,2647300,2666800,
0,United States,1903,"        Religious, grantmaking, civic, professional, and similar organizations",2833300,2934000,2984800,3080600,
0,United States,1904,        Private households,1280000,1251000,1208000,1179000,
0,United States,2000,    Government and government enterprises,22142000,22441000,22937000,23151000,
0,United States,2001,      Federal civilian,2806000,2782000,2893000,2729000,
0,United States,2002,      Military,2090000,2068000,2067000,2071000,
0,United States,2010,      State and local,17246000,17591000,17977000,18351000,
0,United States,2011,        State government,4806000,4869000,4949000,5031000,
0,United States,2012,        Local government,12440000,12722000,13028000,13320000,
1000,Alabama,,Employment by place of work,,,,,
1000,Alabama,10,Total employment (number of jobs),2361892,2378217,2392225,2376053,
1000,Alabama,,By type,,,,,
1000,Alabama,20,  Wage and salary employment,1994381,2007120,2008801,1988175,
1000,Alabama,40,  Proprietors employment,367511,371097,383424,387878,
1000,Alabama,50,    Farm proprietors employment,51389,50130,48927,47687,
1000,Alabama,60,    Nonfarm proprietors employment 2/,316122,320967,334497,340191,
1000,Alabama,,By industry,,,,,
1000,Alabama,70,  Farm employment,60669,58377,57264,56046,14
1000,Alabama,80,  Nonfarm employment,2301223,2319840,2334961,2320007,
1000,Alabama,90,    Private nonfarm employment,1916323,1933639,1949171,1933628,
1000,Alabama,100,"      Forestry, fishing, and related activities",19434,18375,17131,(D),14
1000,Alabama,101,        Forestry and logging,10193,9637,8852,(D),
1000,Alabama,102,"        Fishing, hunting and trapping",(T),(T),1816,1631,
1000,Alabama,103,        Support activities for agriculture and forestry,7204,6841,6463,6093,
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",11760,10816,9439,9508,4
1000,Alabama,201,        Oil and gas extraction,1804,1752,1636,1864,
1000,Alabama,202,        Mining (except oil and gas),8377,7804,6826,6679,
1000,Alabama,203,        Support activities for mining,1579,1260,977,965,
1000,Alabama,300,      Utilities,14467,14485,14522,14604,
1000,Alabama,400,      Construction,150643,154368,156466,158892,13
1000,Alabama,401,        Construction of buildings,35912,36979,37196,39363,
1000,Alabama,402,        Heavy and civil engineering construction,18060,18756,19278,20340,
1000,Alabama,403,        Specialty trade contractors,96671,98633,99992,99189,
1000,Alabama,500,      Manufacturing,371319,361668,353784,335261,
1000,Alabama,510,        Durable goods manufacturing,195940,194882,191288,182353,
1000,Alabama,511,          Wood product manufacturing,28789,29149,26781,24055,3
1000,Alabama,512,          Nonmetallic mineral product manufacturing,9604,9415,9397,9348,7
1000,Alabama,513,          Primary metal manufacturing,25030,24501,22898,21234,8
1000,Alabama,514,          Fabricated metal product manufacturing,29827,29996,29916,29363,8
1000,Alabama,515,          Machinery manufacturing,16444,16319,16179,14658,9
1000,Alabama,516,          Computer and electronic product manufacturing,21548,18304,18142,17712,10
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",7950,7965,7776,7371,10
1000,Alabama,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",18255,19966,19976,18468,11
1000,Alabama,519,          Other transportation equipment manufacturing,13164,13748,14733,16468,11
1000,Alabama,521,          Furniture and related product manufacturing,15963,15959,16274,15034,12
1000,Alabama,522,          Miscellaneous manufacturing,9366,9560,9216,8642,12
1000,Alabama,530,        Nondurable goods manufacturing,175379,166786,162496,152908,
1000,Alabama,531,          Food manufacturing,36576,38012,37390,37041,1
1000,Alabama,532,          Beverage and tobacco product manufacturing,2779,3136,3096,2895,1
1000,Alabama,533,          Textile mills,21512,20645,20675,18916,2
1000,Alabama,534,          Textile product mills,12650,12746,12496,12235,2
1000,Alabama,535,          Apparel manufacturing,38453,31051,28448,24709,2
1000,Alabama,536,          Leather and allied product manufacturing,(T),(T),(T),189,2
1000,Alabama,537,          Paper manufacturing,20397,19123,18107,17069,3
1000,Alabama,538,          Printing and related support activities,9935,9818,9821,8916,3
1000,Alabama,539,          Petroleum and coal products manufacturing,2044,2056,2107,2151,4
1000,Alabama,541,          Chemical manufacturing,12835,12604,12348,11927,5
1000,Alabama,542,          Plastics and rubber products manufacturing,17809,17358,17747,16860,6
1000,Alabama,600,      Wholesale trade,85994,86726,88047,86992,13
1000,Alabama,700,      Retail trade,282753,281969,282684,277914,13
1000,Alabama,701,        Motor vehicle and parts dealers,34295,34652,34820,34732,
1000,Alabama,702,        Furniture and home furnishings stores,10158,9924,9801,9206,
1000,Alabama,703,        Electronics and appliance stores,6608,6507,6744,6744,
1000,Alabama,704,        Building material and garden equipment and supplies dealers,18691,19376,18930,18279,
1000,Alabama,705,        Food and beverage stores,48254,46663,45520,42522,
1000,Alabama,706,        Health and personal care stores,17204,16831,16545,16513,
1000,Alabama,707,        Gasoline stations,22098,22411,22121,21637,
1000,Alabama,708,        Clothing and clothing accessories stores,21995,22024,22054,22194,
1000,Alabama,709,"        Sporting goods, hobby, musical instrument, and book stores",10516,10462,10407,10082,
1000,Alabama,711,        General merchandise stores,47186,49521,51579,52431,
1000,Alabama,712,        Miscellaneous store retailers,23288,23148,23600,24698,
1000,Alabama,713,        Nonstore retailers,22460,20450,20563,18876,
1000,Alabama,800,      Transportation and warehousing,70796,70533,72579,71672,13
1000,Alabama,801,        Air transportation,1023,1314,1447,1446,
1000,Alabama,802,        Rail transportation,3696,3704,3514,(D),
1000,Alabama,803,        Water transportation,504,430,481,473,
1000,Alabama,804,        Truck transportation,41508,40967,42204,41363,
1000,Alabama,805,        Transit and ground passenger transportation,2423,2459,2446,2274,
1000,Alabama,806,        Pipeline transportation,617,592,559,508,
1000,Alabama,807,        Scenic and sightseeing transportation,160,(T),(T),122,
1000,Alabama,808,        Support activities for transportation,6732,6538,6828,6927,
1000,Alabama,809,        Couriers and messengers,7259,7410,7894,(D),
1000,Alabama,811,        Warehousing and storage,6874,6969,7072,7203,
1000,Alabama,900,      Information,36757,37964,40142,40870,13
1000,Alabama,901,        Publishing industries (except Internet),8013,7995,8129,8277,
1000,Alabama,902,        Motion picture and sound recording industries,1911,2076,1828,1906,
1000,Alabama,903,        Broadcasting (except Internet),6346,6573,6526,6454,
1000,Alabama,904,        Internet publishing and broadcasting 3/,(T),(T),(T),154,
1000,Alabama,905,        Telecommunications,17060,17929,19991,20393,
1000,Alabama,906,"        Data processing, hosting, and related services",3223,3164,3388,3515,
1000,Alabama,907,        Other information services 3/,(T),(T),(T),171,
1000,Alabama,1000,      Finance and insurance,87667,88930,89746,89477,13
1000,Alabama,1001,        Monetary Authorities-central bank,(T),(T),(T),(D),
1000,Alabama,1002,        Credit intermediation and related activities,40736,42385,42255,42427,
1000,Alabama,1003,"        Securities, commodity contracts, and other financial investments and related activities",14151,13608,14923,13703,
1000,Alabama,1004,        Insurance carriers and related activities,30777,31009,30419,31178,
