SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/,,,,,,,
(number of jobs) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2006,2007,2008,2009
0,United States,,Employment by place of work,,,,
0,United States,10,Total employment (number of jobs),175868600,179543700,179213900,173636700
0,United States,,By type,,,,
0,United States,20,  Wage and salary employment,141660000,143170000,142584000,136242000
0,United States,40,  Proprietors employment,34208600,36373700,36629900,37394700
0,United States,50,    Farm proprietors employment,1827000,1914000,1897000,1884000
0,United States,60,    Nonfarm proprietors employment 2/,32381600,34459700,34732900,35510700
0,United States,,By industry,,,,
0,United States,70,  Farm employment,2579000,2665000,2629000,2624000
0,United States,80,  Nonfarm employment,173289600,176878700,176584900,171012700
0,United States,90,    Private nonfarm employment,149302600,152648700,151995900,146330700
0,United States,100,"      Forestry, fishing, and related activities",825500,846600,861200,832400
0,United States,101,        Forestry and logging,142700,138100,136900,119800
0,United States,102,"        Fishing, hunting and trapping",107800,104400,104700,101000
0,United States,103,        Support activities for agriculture and forestry,575000,604100,619600,611600
0,United States,200,"      Mining, quarrying, and oil and gas extraction",930200,1012300,1213200,1126600
0,United States,201,        Oil and gas extraction,403100,414800,575600,579000
0,United States,202,        Mining (except oil and gas),242900,264600,263600,241600
0,United States,203,        Support activities for mining,284200,332900,374000,306000
0,United States,300,      Utilities,570700,580600,597300,589800
0,United States,400,      Construction,11413900,11400000,10769800,9424900
0,United States,401,        Construction of buildings,2601500,2541700,2400300,2065700
0,United States,402,        Heavy and civil engineering construction,1175100,1203300,1154900,1038000
0,United States,403,        Specialty trade contractors,7637300,7655000,7214600,6321200
0,United States,500,      Manufacturing,14675200,14460800,13971300,12478200
0,United States,510,        Durable goods manufacturing,9306700,9160500,8822400,7671200
0,United States,511,          Wood product manufacturing,612400,569800,503700,414100
0,United States,512,          Nonmetallic mineral product manufacturing,529100,517300,478400,411300
0,United States,513,          Primary metal manufacturing,472800,462300,452900,373700
0,United States,514,          Fabricated metal product manufacturing,1607300,1610800,1590200,1367000
0,United States,515,          Machinery manufacturing,1222600,1229600,1225200,1073900
0,United States,516,          Computer and electronic product manufacturing,1320900,1289300,1265700,1157200
0,United States,517,"          Electrical equipment, appliance, and component manufacturing",446100,442100,430500,387100
0,United States,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",1062600,991100,876600,669700
0,United States,519,          Other transportation equipment manufacturing,704300,729300,744500,695300
0,United States,521,          Furniture and related product manufacturing,590000,562300,519300,421500
0,United States,522,          Miscellaneous manufacturing,738600,756600,735400,700400
0,United States,530,        Nondurable goods manufacturing,5368500,5300300,5148900,4807000
0,United States,531,          Food manufacturing,1512600,1538200,1527900,1511200
0,United States,532,          Beverage and tobacco product manufacturing,205300,208700,207700,202700
0,United States,533,          Textile mills,196400,174000,156100,129100
0,United States,534,          Textile product mills,166800,167100,154200,134400
0,United States,535,          Apparel manufacturing,269700,255400,230400,210700
0,United States,536,          Leather and allied product manufacturing,43400,39500,38800,36100
0,United States,537,          Paper manufacturing,469900,458900,443500,408500
0,United States,538,          Printing and related support activities,687200,679200,650400,590900
0,United States,539,          Petroleum and coal products manufacturing,115000,117000,118100,117400
0,United States,541,          Chemical manufacturing,888700,881400,875600,825600
0,United States,542,          Plastics and rubber products manufacturing,813500,780900,746200,640400
0,United States,600,      Wholesale trade,6481800,6573600,6516600,6130300
0,United States,700,      Retail trade,18802800,18968300,18539900,17796700
0,United States,701,        Motor vehicle and parts dealers,2124800,2138700,2055200,1869200
0,United States,702,        Furniture and home furnishings stores,664800,655500,604200,513300
0,United States,703,        Electronics and appliance stores,589900,595300,599200,535900
0,United States,704,        Building material and garden equipment and supplies dealers,1396400,1389200,1317100,1232300
0,United States,705,        Food and beverage stores,3019300,3029300,3049200,3021400
0,United States,706,        Health and personal care stores,1180300,1196600,1182800,1148700
0,United States,707,        Gasoline stations,911200,908500,893600,873900
0,United States,708,        Clothing and clothing accessories stores,1648000,1709300,1668200,1555200
0,United States,709,"        Sporting goods, hobby, musical instrument, and book stores",822000,834300,816500,787500
0,United States,711,        General merchandise stores,3014700,3074900,3091300,3057900
0,United States,712,        Miscellaneous store retailers,1590600,1644600,1555000,1560200
0,United States,713,        Nonstore retailers,1840800,1792100,1707600,1641200
0,United States,800,      Transportation and warehousing,5743900,5927900,5819600,5533200
0,United States,801,        Air transportation,506600,514300,511000,485500
0,United States,802,        Rail transportation,203100,202000,199100,188100
0,United States,803,        Water transportation,68000,73900,75500,70100
0,United States,804,        Truck transportation,2107300,2170600,2051900,1944900
0,United States,805,        Transit and ground passenger transportation,618100,655200,656200,649700
