"year","employ","sector","region"
1999,439.95,14,"AUS"
1999,85.225,4,"AUS"
1999,177.075,1,"AUS"
1999,85.775,2,"AUS"
1999,181.275,3,"AUS"
1999,58.8,5,"AUS"
1999,43.475,6,"AUS"
1999,48.65,7,"AUS"
1999,182.25,8,"AUS"
1999,76.130737704918,9,"AUS"
1999,61.344262295082,10,"AUS"
1999,92.875,11,"AUS"
1999,83.05,12,"AUS"
1999,6806.645,13,"AUS"
1999,316.576,14,"AUT"
1999,10.014,4,"AUT"
1999,84.08,1,"AUT"
1999,42.609,2,"AUT"
1999,92.705,3,"AUT"
1999,27.521,5,"AUT"
1999,28.496,6,"AUT"
1999,37.245,7,"AUT"
1999,103.03,8,"AUT"
1999,81.037,9,"AUT"
1999,80.052,10,"AUT"
1999,38.585,11,"AUT"
1999,54.426,12,"AUT"
1999,2589.644,13,"AUT"
1999,90.486,14,"BEL"
1999,9.191,4,"BEL"
1999,98.865,1,"BEL"
1999,59.142,2,"BEL"
1999,66.135,3,"BEL"
1999,70.98,5,"BEL"
1999,25.305,6,"BEL"
1999,34.603,7,"BEL"
1999,104.596,8,"BEL"
1999,42.476,9,"BEL"
1999,55.081,10,"BEL"
1999,61.013,11,"BEL"
1999,31.995,12,"BEL"
1999,2867.731,13,"BEL"
1999,807.5,14,"BGR"
1999,51.3134988940622,4,"BGR"
1999,122.469930281904,1,"BGR"
1999,179.90892694756,2,"BGR"
1999,47.9490754774174,3,"BGR"
1999,34.3635040921491,5,"BGR"
1999,18.1806911185208,6,"BGR"
1999,26.7715671415581,7,"BGR"
1999,61.3348590481964,8,"BGR"
1999,80.7142770536526,9,"BGR"
1999,36.0617005153077,10,"BGR"
1999,13.5855713852683,11,"BGR"
1999,27.3709305850258,12,"BGR"
1999,1476.8140868707,13,"BGR"
1999,18587.0584342128,14,"BRA"
1999,290.567642763357,4,"BRA"
1999,1624.60589163713,1,"BRA"
1999,2723.90187369083,2,"BRA"
1999,923.252952667671,3,"BRA"
1999,422.460807652527,5,"BRA"
1999,282.998051061561,6,"BRA"
1999,465.099894303513,7,"BRA"
1999,711.525905397135,8,"BRA"
1999,360.835021677673,9,"BRA"
1999,336.984259556412,10,"BRA"
1999,321.439200642911,11,"BRA"
1999,722.028874824451,12,"BRA"
1999,44835.6315863227,13,"BRA"
1999,500.26999992,14,"CAN"
1999,151.49499989,4,"CAN"
1999,269.42999977,1,"CAN"
1999,148.51999994,2,"CAN"
1999,425.999999905646,3,"CAN"
1999,92.1599999,5,"CAN"
1999,109.10499996,6,"CAN"
1999,52.63499996,7,"CAN"
1999,254.44999996,8,"CAN"
1999,137.93499996,9,"CAN"
1999,130.979999941746,10,"CAN"
1999,242.73499986,11,"CAN"
1999,156.46999996,12,"CAN"
1999,10322.7049993138,13,"CAN"
1999,357680,14,"CHN"
1999,10604.0219792319,4,"CHN"
1999,13562.7471098649,1,"CHN"
1999,19654.1957739356,2,"CHN"
1999,11095.8841868678,3,"CHN"
1999,6648.00275275015,5,"CHN"
1999,7501.90683782298,6,"CHN"
1999,9291.95591678248,7,"CHN"
1999,8497.08753379547,8,"CHN"
1999,7169.59879959016,9,"CHN"
1999,7952.21100939513,10,"CHN"
1999,4131.71759515545,11,"CHN"
1999,10718.7503834981,12,"CHN"
1999,223619.316090971,13,"CHN"
1999,18.8,14,"CYP"
1999,0.717376202211325,4,"CYP"
1999,10.2428859227882,1,"CYP"
1999,6.51065488365517,2,"CYP"
1999,5.79532386544113,3,"CYP"
1999,1.30302629968846,5,"CYP"
1999,1.46153900213174,6,"CYP"
1999,2.42470291691339,7,"CYP"
1999,3.91087729521344,8,"CYP"
1999,1.275291408012,9,"CYP"
1999,0.670471868258123,10,"CYP"
1999,0.532287428632752,11,"CYP"
1999,4.05556290705425,12,"CYP"
1999,220,13,"CYP"
1999,256.501,14,"CZE"
1999,74.523,4,"CZE"
1999,156.544,1,"CZE"
1999,158.421,2,"CZE"
1999,124.981,3,"CZE"
1999,46.036,5,"CZE"
1999,53.383,6,"CZE"
1999,86.06,7,"CZE"
1999,241.346,8,"CZE"
1999,161.074,9,"CZE"
1999,158.603,10,"CZE"
1999,91.988,11,"CZE"
1999,88.807,12,"CZE"
1999,2884.728,13,"CZE"
1999,946,14,"DEU"
1999,158,4,"DEU"
1999,938,1,"DEU"
1999,289,2,"DEU"
1999,878,3,"DEU"
1999,512,5,"DEU"
1999,408,6,"DEU"
1999,314,7,"DEU"
1999,1160,8,"DEU"
1999,1111,9,"DEU"
1999,1072,10,"DEU"
1999,984,11,"DEU"
1999,349,12,"DEU"
1999,26083,13,"DEU"
1999,96.968,14,"DNK"
1999,3.716,4,"DNK"
1999,77.595,1,"DNK"
1999,15.233,2,"DNK"
1999,68.744,3,"DNK"
1999,26.123,5,"DNK"
1999,21.622,6,"DNK"
1999,21.065,7,"DNK"
1999,53.393,8,"DNK"
1999,67.757,9,"DNK"
1999,46.952,10,"DNK"
1999,18.272,11,"DNK"
1999,32.368,12,"DNK"
1999,1956.449,13,"DNK"
1999,1059.799,14,"ESP"
1999,51.87,4,"ESP"
1999,422.539,1,"ESP"
1999,361.133999949094,2,"ESP"
1999,313.861,3,"ESP"
1999,153.106000017218,5,"ESP"
1999,109.47,6,"ESP"
1999,188.297999974899,7,"ESP"
1999,406.588,8,"ESP"
1999,187.55,9,"ESP"
1999,185.19,10,"ESP"
1999,285.960000024895,11,"ESP"
1999,236.31,12,"ESP"
1999,10381.7200000008,13,"ESP"
1999,47,14,"EST"
1999,9.047,4,"EST"
1999,22.4,1,"EST"
1999,24.7,2,"EST"
1999,23,3,"EST"
1999,3.153,5,"EST"
1999,3.3,6,"EST"
1999,4.8,7,"EST"
1999,8.2,8,"EST"
1999,4.1,9,"EST"
1999,8.4,10,"EST"
1999,6.8,11,"EST"
1999,12.8,12,"EST"
1999,350.3,13,"EST"
1999,139.2,14,"FIN"
1999,9,4,"FIN"
1999,44.2,1,"FIN"
1999,20.9,2,"FIN"
1999,104.2,3,"FIN"
1999,18.7,5,"FIN"
1999,17.9,6,"FIN"
1999,15.9,7,"FIN"
1999,56.5,8,"FIN"
1999,60,9,"FIN"
1999,67.3,10,"FIN"
1999,23.2,11,"FIN"
1999,18.8,12,"FIN"
1999,1470.5,13,"FIN"
1999,981.5,14,"FRA"
1999,64.2,4,"FRA"
1999,562.7,1,"FRA"
1999,279.1,2,"FRA"
1999,396.2,3,"FRA"
1999,148.2,5,"FRA"
1999,199.1,6,"FRA"
1999,143.9,7,"FRA"
1999,582.9,8,"FRA"
1999,338.6,9,"FRA"
1999,424.4,10,"FRA"
1999,327.6,11,"FRA"
1999,190.5,12,"FRA"
1999,16586.6,13,"FRA"
1999,522,14,"GBR"
1999,158.075592126435,4,"GBR"
1999,509.32000739969,1,"GBR"
1999,232.969320494221,2,"GBR"
1999,596.335692796012,3,"GBR"
1999,380.314194748167,5,"GBR"
1999,227.277887583125,6,"GBR"
1999,142.32798153972,7,"GBR"
1999,550.930705794152,8,"GBR"
1999,380.693623608907,9,"GBR"
1999,551.394452179501,10,"GBR"
1999,507.254228046774,11,"GBR"
1999,173.441148120381,12,"GBR"
1999,22119.2628579469,13,"GBR"
1999,754.679,14,"GRC"
1999,17.37,4,"GRC"
1999,106.863,1,"GRC"
1999,109.672,2,"GRC"
1999,65.048,3,"GRC"
1999,23.156,5,"GRC"
1999,14.486,6,"GRC"
1999,32.429,7,"GRC"
1999,44.271,8,"GRC"
1999,23.469,9,"GRC"
1999,14.717,10,"GRC"
1999,20.756,11,"GRC"
1999,43.28,12,"GRC"
1999,2601.492,13,"GRC"
1999,567.779,14,"HUN"
1999,29.436,4,"HUN"
1999,165.566,1,"HUN"
1999,178.394,2,"HUN"
1999,88.196,3,"HUN"
1999,62.048,5,"HUN"
1999,39.627,6,"HUN"
1999,32.45,7,"HUN"
1999,101.592,8,"HUN"
1999,84.322,9,"HUN"
1999,130.096,10,"HUN"
1999,55.068,11,"HUN"
1999,40.586,12,"HUN"
1999,2238.424,13,"HUN"
1999,38730.8195979698,14,"IDN"
1999,893.225774452163,4,"IDN"
1999,3162.52698421997,1,"IDN"
1999,2401.67202667182,2,"IDN"
1999,2705.67850865555,3,"IDN"
1999,278.742949005542,5,"IDN"
1999,889.958832586128,6,"IDN"
1999,689.008917763493,7,"IDN"
1999,358.110546880338,8,"IDN"
1999,118.651681970893,9,"IDN"
1999,135.522316615235,10,"IDN"
1999,472.859443963213,11,"IDN"
1999,562.126655731851,12,"IDN"
1999,31766.9880208535,13,"IDN"
1999,240181.672425218,14,"IND"
1999,2478.70191324379,4,"IND"
1999,11152.083511422,1,"IND"
1999,8760.55763696109,2,"IND"
1999,6270.0560274798,3,"IND"
