Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
,, Total,Employed,Unemployed,Percent unemployed,,,
,,,,,,,,
    United States,"209,554,830","135,780,340","128,662,600","7,117,740",5.2,"800,110","72,974,380",United States
,,,,,,,,
Alabama,"3,338,060","2,024,170","1,908,440","115,730",5.7,"12,120","1,301,760",Alabama
Autauga County,"32,230","20,570","19,600",970,4.7,570,"11,100",
Baldwin County,"107,970","65,430","62,760","2,670",4.1,210,"42,330",
Barbour County,"19,820","10,800","10,190",610,5.6,20,"9,000",
Bibb County,"14,870","8,500","7,970",530,6.2,20,"6,350",
Blount County,"38,890","23,680","22,700",980,4.1,40,"15,180",
Bullock County,"7,540","3,760","3,440",320,8.5,10,"3,770",
Butler County,"16,210","8,960","8,010",950,10.6,30,"7,230",
Calhoun County,"86,570","50,540","47,530","3,010",6.0,170,"35,850",
Chambers County,"28,190","16,790","15,700","1,090",6.5,20,"11,380",
Cherokee County,"18,940","10,590","10,180",410,3.9,20,"8,340",
Chilton County,"30,210","18,220","17,440",780,4.3,20,"11,970",
Choctaw County,"12,240","6,000","5,470",530,8.8,20,"6,220",
Clarke County,"20,550","11,360","10,340","1,010",8.9,0,"9,190",
Clay County,"10,980","6,250","5,920",330,5.3,10,"4,710",
Cleburne County,"11,020","6,540","6,190",350,5.4,10,"4,480",
Coffee County,"33,420","18,980","17,910","1,070",5.6,"1,330","13,110",
Colbert County,"42,820","24,330","23,090","1,240",5.1,40,"18,460",
Conecuh County,"10,800","5,390","4,860",530,9.8,0,"5,410",
Coosa County,"9,220","5,210","4,840",370,7.1,10,"4,000",
Covington County,"29,220","16,540","15,290","1,240",7.5,60,"12,620",
Crenshaw County,"10,560","5,770","5,460",310,5.4,20,"4,770",
Cullman County,"59,930","36,520","35,010","1,510",4.1,50,"23,360",
Dale County,"35,770","20,300","18,770","1,530",7.5,"1,780","13,690",
Dallas County,"34,230","17,120","15,260","1,870",10.9,20,"17,090",
DeKalb County,"49,370","30,600","29,280","1,320",4.3,40,"18,740",
Elmore County,"45,590","29,430","27,970","1,460",5.0,620,"15,540",
Escambia County,"27,210","15,680","14,590","1,090",7.0,20,"11,510",
Etowah County,"79,790","46,000","43,400","2,600",5.7,50,"33,740",
Fayette County,"14,260","7,990","7,390",600,7.5,10,"6,270",
Franklin County,"24,090","13,860","13,090",770,5.6,0,"10,230",
Geneva County,"20,070","11,650","10,810",840,7.2,50,"8,370",
Greene County,"7,390","3,580","3,110",470,13.1,0,"3,810",
Hale County,"12,470","6,350","5,840",510,8.0,0,"6,120",
Henry County,"12,640","7,240","6,780",460,6.4,0,"5,400",
Houston County,"67,390","42,570","40,340","2,230",5.2,140,"24,680",
Jackson County,"41,960","26,270","24,980","1,280",4.9,10,"15,680",
Jefferson County,"500,670","311,900","295,490","16,410",5.3,520,"188,250",
Lamar County,"12,420","7,040","6,550",490,7.0,10,"5,380",
Lauderdale County,"68,400","40,740","38,630","2,110",5.2,70,"27,600",
Lawrence County,"26,700","15,760","14,780",980,6.2,10,"10,930",
Lee County,"86,790","55,070","52,180","2,890",5.2,330,"31,390",
Limestone County,"48,490","31,000","29,680","1,320",4.3,70,"17,420",
Lowndes County,"9,860","5,050","4,440",600,11.9,20,"4,800",
Macon County,"16,410","8,590","7,740",860,10.0,20,"7,800",
Madison County,"206,370","139,790","133,770","6,020",4.3,700,"65,880",
Marengo County,"16,660","8,800","8,030",770,8.8,40,"7,830",
Marion County,"24,040","13,990","12,870","1,120",8.0,10,"10,050",
Marshall County,"63,240","38,770","36,600","2,160",5.6,60,"24,420",
Mobile County,"294,020","176,350","163,290","13,060",7.4,"1,030","116,650",
Monroe County,"17,980","9,990","9,160",840,8.4,20,"7,970",
Montgomery County,"160,410","100,190","94,180","6,010",6.0,"2,670","57,550",
Morgan County,"84,400","53,430","50,580","2,860",5.4,70,"30,900",
Perry County,"8,290","3,860","3,420",440,11.4,0,"4,430",
Pickens County,"15,700","8,330","7,640",690,8.3,10,"7,370",
Pike County,"22,040","13,200","12,160","1,040",7.9,110,"8,740",
Randolph County,"16,710","9,640","9,120",510,5.3,0,"7,070",
Russell County,"37,270","21,200","19,880","1,320",6.2,430,"15,640",
Shelby County,"107,960","76,170","74,030","2,140",2.8,220,"31,570",
St. Clair County,"48,130","29,370","28,180","1,190",4.1,50,"18,700",
Sumter County,"10,720","5,190","4,600",600,11.6,10,"5,520",
Talladega County,"59,180","34,160","31,890","2,270",6.6,20,"25,000",
Tallapoosa County,"31,640","18,330","17,230","1,090",5.9,60,"13,260",
Tuscaloosa County,"122,090","76,490","72,090","4,400",5.8,120,"45,470",
Walker County,"55,070","29,770","27,910","1,860",6.2,30,"25,270",
Washington County,"13,410","7,340","6,780",560,7.6,20,"6,060",
Wilcox County,"9,360","4,020","3,400",620,15.4,10,"5,330",
Winston County,"19,240","11,350","10,640",710,6.3,10,"7,880",
Alaska,"439,400","302,570","277,330","25,250",8.3,"13,190","123,640",Alaska
Aleutians East Borough,"1,070",650,600,50,7.7,0,420,
Aleutians West Census Area,"2,410","1,930","1,820",100,5.2,10,480,
Anchorage Municipality,"186,070","133,390","125,000","8,390",6.3,"6,530","46,160",
Bethel Census Area,"10,040","6,390","5,470",920,14.4,30,"3,630",
Bristol Bay Borough,910,650,580,70,10.8,0,260,
Denali Borough,"1,400",950,840,110,11.6,10,440,
Dillingham Census Area,"3,190","1,980","1,770",220,11.1,10,"1,200",
Fairbanks North Star Borough,"57,600","38,130","34,880","3,250",8.5,"4,720","14,760",
Haines Borough,"1,860","1,140",990,160,14.0,0,720,
Juneau City and Borough,"22,690","17,180","16,400",770,4.5,150,"5,360",
Kenai Peninsula Borough,"35,470","22,770","20,330","2,440",10.7,90,"12,610",
Ketchikan Gateway Borough,"10,340","7,550","6,980",560,7.4,140,"2,650",
Kodiak Island Borough,"9,470","6,280","5,970",310,4.9,700,"2,480",
Lake and Peninsula Borough,"1,220",680,580,100,14.7,0,550,
Matanuska-Susitna Borough,"41,780","27,790","24,950","2,850",10.3,370,"13,620",
Nome Census Area,"5,950","3,680","3,080",600,16.3,10,"2,260",
North Slope Borough,"4,790","3,470","2,950",530,15.3,0,"1,320",
Northwest Arctic Borough,"4,220","2,590","2,170",430,16.6,0,"1,620",
Prince of Wales-Outer Ketchikan Census Area,"4,410","3,020","2,570",450,14.9,0,"1,400",
Sitka City and Borough,"6,430","4,600","4,290",310,6.7,190,"1,650",
Skagway-Hoonah-Angoon Census Area,"2,600","1,730","1,450",270,15.6,10,870,
Southeast Fairbanks Census Area,"4,160","2,240","1,890",360,16.1,130,"1,790",
Valdez-Cordova Census Area,"7,390","4,870","4,400",470,9.7,80,"2,440",
Wade Hampton Census Area,"4,080","2,390","1,820",570,23.8,0,"1,700",
Wrangell-Petersburg Census Area,"4,860","3,370","3,000",370,11.0,0,"1,490",
Yakutat City and Borough,510,370,340,40,10.8,0,140,
Yukon-Koyukuk Census Area,"4,470","2,800","2,250",550,19.6,10,"1,670",
Arizona,"3,800,660","2,347,740","2,221,940","125,800",5.4,"15,520","1,437,410",Arizona
Apache County,"44,510","20,920","16,380","4,550",21.7,10,"23,580",
Cochise County,"84,860","45,440","42,470","2,970",6.5,"3,080","36,340",
Coconino County,"83,930","57,760","53,860","3,900",6.8,40,"26,130",
Gila County,"38,970","19,910","18,050","1,860",9.3,0,"19,060",
Graham County,"21,320","11,990","10,630","1,360",11.3,10,"9,310",
Greenlee County,"6,130","3,690","3,460",230,6.2,0,"2,440",
La Paz County,"15,850","7,110","6,570",550,7.7,0,"8,740",
Maricopa County,"2,284,820","1,488,720","1,422,210","66,510",4.5,"5,290","790,810",
Mohave County,"122,080","64,920","60,510","4,420",6.8,30,"57,120",
Navajo County,"64,840","33,620","29,510","4,110",12.2,30,"31,190",
Pima County,"637,070","387,040","367,610","19,420",5.0,"4,910","245,120",
Pinal County,"124,410","65,980","61,170","4,820",7.3,80,"58,350",
Santa Cruz County,"26,480","13,930","12,850","1,080",7.8,30,"12,520",
Yavapai County,"132,770","71,090","67,690","3,400",4.8,100,"61,580",
Yuma County,"112,640","55,610","48,990","6,620",11.9,"1,910","55,130",
Arkansas,"1,999,760","1,230,680","1,166,980","63,710",5.2,"5,160","763,920",Arkansas
Arkansas County,"15,870","9,880","9,300",580,5.9,20,"5,980",
Ashley County,"18,250","10,350","9,640",710,6.9,10,"7,900",
Baxter County,"31,290","15,660","15,080",580,3.7,20,"15,620",
Benton County,"114,840","73,720","71,500","2,220",3.0,80,"41,040",
Boone County,"26,280","15,900","15,150",760,4.8,10,"10,370",
Bradley County,"9,280","4,860","4,450",410,8.4,20,"4,400",
Calhoun County,"4,360","2,490","2,360",130,5.2,0,"1,870",
Carroll County,"19,770","12,390","11,730",660,5.3,0,"7,390",
Chicot County,"10,100","5,500","4,940",560,10.2,0,"4,600",
Clark County,"16,630","10,280","9,810",470,4.6,20,"6,330",
Clay County,"13,800","7,960","7,520",450,5.7,0,"5,840",
