"ISIC REV. 4 - ISIC REV. 3.1",,
"Source","Target"
"0111","0111"
"0112","0111"
"0113","0111"
"0113","0112"
"0114","0111"
"0115","0111"
"0116","0111"
"0119","0111"
"0119","0112"
"0121","0113"
"0122","0113"
"0123","0113"
"0124","0113"
"0125","0112"
"0125","0113"
"0126","0111"
"0126","0113"
"0127","0113"
"0128","0111"
"0128","0112"
"0128","0113"
"0129","0111"
"0129","0112"
"0129","0200"
"0130","0112"
"0130","0200"
"0141","0121"
"0142","0121"
"0143","0122"
"0144","0121"
"0145","0122"
"0146","0122"
"0149","0122"
"0150","0130"
"0161","0140"
"0162","0140"
"0162","2892"
"0163","0111"
"0163","0140"
"0164","0140"
"0170","0150"
"0210","0200"
"0220","0200"
"0230","0112"
"0230","0113"
"0230","0200"
"0240","0200"
"0311","0501"
"0312","0501"
"0321","0122"
"0321","0502"
"0322","0122"
"0322","0502"
"0510","1010"
"0520","1020"
"0610","1110"
"0620","1110"
"0710","1310"
"0721","1200"
"0729","1320"
"0810","1410"
"0810","1429"
"0891","1421"
"0892","1030"
"0893","1422"
"0899","1429"
"0910","1110"
"0910","1120"
"0910","7421"
"0990","1010"
"0990","1020"
"0990","1030"
"0990","1200"
"0990","1310"
"0990","1320"
"0990","1410"
"0990","1421"
"0990","1422"
"0990","1429"
"0990","4510"
"0990","7421"
"1010","1511"
"1020","1512"
"1030","1513"
"1030","1549"
"1040","1514"
"1050","1520"
"1061","1531"
"1062","1532"
"1071","1541"
"1071","1549"
"1072","1542"
"1073","1543"
"1074","1544"
"1075","1512"
"1075","1513"
"1075","1544"
"1075","1549"
"1079","1549"
"1079","2429"
"1080","1533"
"1101","1551"
"1102","0113"
"1102","1552"
"1103","1553"
"1104","1554"
"1200","1600"
"1311","1711"
"1312","1711"
"1312","2699"
"1313","1712"
"1313","1729"
"1313","1810"
"1391","1730"
"1392","1721"
"1392","3430"
"1393","1722"
"1394","1723"
"1399","1729"
"1399","3699"
"1410","1810"
"1420","1820"
"1430","1730"
"1511","1820"
"1511","1911"
"1512","1912"
"1512","1920"
"1512","3699"
"1520","1920"
"1610","2010"
"1621","2021"
"1622","2022"
"1623","2023"
"1629","1920"
"1629","2029"
"1629","3699"
"1701","2101"
"1702","2102"
"1709","1729"
"1709","2109"
"1709","2221"
"1709","3699"
"1811","2109"
"1811","2221"
"1811","2892"
"1812","2222"
"1820","2230"
"1910","2310"
"1910","2411"
"1920","1010"
"1920","1020"
"1920","2320"
"2011","1551"
"2011","2330"
"2011","2411"
"2011","2429"
"2012","2412"
"2013","2413"
"2021","2421"
"2022","2422"
"2023","2424"
"2029","2429"
"2029","3699"
"2030","2430"
"2100","2330"
"2100","2423"
"2211","2511"
"2219","1920"
"2219","2519"
"2219","3610"
"2219","3699"
"2220","1920"
"2220","2109"
"2220","2519"
"2220","2520"
"2220","3610"
"2220","3699"
"2310","2610"
"2391","2692"
"2392","2691"
"2392","2693"
"2393","2691"
"2394","2694"
"2395","2695"
"2396","2696"
"2399","2699"
"2410","2710"
"2420","2330"
"2420","2720"
"2431","2710"
"2431","2731"
"2432","2732"
"2511","2811"
"2512","2812"
"2513","2813"
"2520","2927"
"2591","2891"
"2592","2892"
"2593","2893"
"2593","2929"
"2599","2899"
"2599","3190"
"2599","3699"
"2610","2429"
"2610","2520"
"2610","3000"
"2610","3110"
"2610","3120"
"2610","3130"
"2610","3210"
"2610","3230"
"2620","3000"
"2630","3190"
"2630","3220"
"2630","3230"
"2640","3230"
"2640","3694"
"2651","3190"
"2651","3220"
"2651","3312"
"2651","3313"
"2652","3330"
"2660","3311"
"2670","3230"
"2670","3312"
"2670","3320"
"2680","2429"
"2710","3110"
"2710","3120"
"2720","3140"
"2731","3130"
"2731","3320"
"2732","3130"
"2733","2520"
"2733","3120"
"2733","3190"
"2740","3150"
"2740","3190"
"2750","2930"
"2790","2922"
"2790","2929"
"2790","3110"
"2790","3120"
"2790","3130"
"2790","3150"
"2790","3190"
"2790","3210"
"2811","2911"
"2811","2912"
"2811","3110"
"2811","3430"
"2811","3530"
"2811","3591"
