"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","312","55","0","1999","A","","Alabama -- Statewide","Private","Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",43,2970,90348780,0,0,585,30420,"",0.72,0.96,0.83,0.00,0.00,0.86,0.86,"",4,10.3,-1,0.0,5903148,7.0,0,0.0,0,0.0,38,6.9,1998,7.0
"02000","5","312","55","0","1999","A","","Alaska -- Statewide","Private","Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,92,2642434,0,0,554,28827,"",1.09,0.21,0.14,0.00,0.00,0.67,0.67,"",1,10.0,-263,-74.1,-9086503,-77.5,0,0.0,0,0.0,-81,-12.8,-4205,-12.7
"02020","5","312","75","0","1999","A","","Anchorage Borough, Alaska","Private","Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,35,675840,0,0,377,19590,"",1.82,0.17,0.07,0.00,0.00,0.44,0.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","312","55","0","1999","A","","Arizona -- Statewide","Private","Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",43,3306,100307567,0,0,584,30344,"",0.71,0.93,0.74,0.00,0.00,0.79,0.79,"",1,2.4,72,2.2,7587517,8.2,0,0.0,0,0.0,33,6.0,1669,5.8
"04013","5","312","75","0","1999","A","","Maricopa County, Arizona","Private","Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,2394,79954287,0,0,642,33405,"",0.57,0.97,0.79,0.00,0.00,0.82,0.82,"",2,10.0,69,3.0,7097749,9.7,0,0.0,0,0.0,39,6.5,2063,6.6
"05000","5","312","55","0","1999","A","","Arkansas -- Statewide","Private","Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",32,1149,34051726,0,0,570,29625,"",0.83,0.63,0.58,0.00,0.00,0.93,0.93,"",1,3.2,0,0.0,2232253,7.0,0,0.0,0,0.0,38,7.1,1938,7.0
"06000","5","312","55","0","1999","A","","California -- Statewide","Private","Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",819,31971,1237752157,0,0,745,38715,"",1.44,1.35,1.10,0.00,0.00,0.82,0.82,"",25,3.1,686,2.2,62575927,5.3,0,0.0,0,0.0,23,3.2,1152,3.1
"06001","5","312","75","0","1999","A","","Alameda County, California","Private","Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,1790,69904515,0,0,751,39064,"",1.25,1.62,1.22,0.00,0.00,0.76,0.76,"",3,11.1,88,5.2,2206791,3.3,0,0.0,0,0.0,-14,-1.8,-709,-1.8
"06005","5","312","75","0","1999","A","","Amador County, California","Private","Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,95,1944916,0,0,396,20581,"",14.29,5.80,3.87,0.00,0.00,0.67,0.67,"",1,14.3,1,1.1,229627,13.4,0,0.0,0,0.0,46,13.1,2366,13.0
"06009","5","312","75","0","1999","A","","Calaveras County, California","Private","Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,149,2939387,0,0,380,19750,"",7.02,11.47,8.26,0.00,0.00,0.72,0.72,"",0,0.0,3,2.1,303037,11.5,0,0.0,0,0.0,33,9.5,1713,9.5
