"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","339","55","0","1999","A","","Alabama -- Statewide","Private","Miscellaneous manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",410,8868,222517424,0,0,483,25093,"",0.84,0.81,0.69,0.00,0.00,0.85,0.85,"",-4,-1.0,264,3.1,14808956,7.1,0,0.0,0,0.0,19,4.1,951,3.9
"01003","5","339","75","0","1999","A","","Baldwin County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,387,11070070,0,0,550,28580,"",0.59,1.38,1.73,0.00,0.00,1.25,1.25,"",0,0.0,2,0.5,522611,5.0,0,0.0,0,0.0,23,4.4,1184,4.3
"01015","5","339","75","0","1999","A","","Calhoun County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,379,7861518,0,0,399,20766,"",1.32,1.33,1.08,0.00,0.00,0.81,0.81,"",0,0.0,2,0.5,-174700,-2.2,0,0.0,0,0.0,-11,-2.7,-536,-2.5
"01051","5","339","75","0","1999","A","","Elmore County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,52,820704,0,0,302,15707,"",1.10,0.68,0.45,0.00,0.00,0.66,0.66,"",0,0.0,-1,-1.9,33334,4.2,0,0.0,0,0.0,15,5.2,804,5.4
"01069","5","339","75","0","1999","A","","Houston County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,1285,30487305,0,0,456,23722,"",1.18,4.58,4.13,0.00,0.00,0.90,0.90,"",-2,-11.8,25,2.0,1757369,6.1,0,0.0,0,0.0,18,4.1,925,4.1
"01073","5","339","75","0","1999","A","","Jefferson County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",87,1470,38390572,0,0,502,26120,"",1.07,0.66,0.50,0.00,0.00,0.76,0.76,"",0,0.0,43,3.0,3437318,9.8,0,0.0,0,0.0,31,6.6,1617,6.6
"01077","5","339","75","0","1999","A","","Lauderdale County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,51,1602107,0,0,599,31159,"",0.90,0.28,0.37,0.00,0.00,1.32,1.32,"",-2,-20.0,-7,-12.1,-45985,-2.8,0,0.0,0,0.0,52,9.5,2703,9.5
"01089","5","339","75","0","1999","A","","Madison County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",35,406,10550774,0,0,499,25966,"",1.09,0.46,0.33,0.00,0.00,0.72,0.72,"",-1,-2.8,-5,-1.2,313821,3.1,0,0.0,0,0.0,20,4.2,1079,4.3
"01095","5","339","75","0","1999","A","","Marshall County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,327,9611743,0,0,565,29371,"",1.14,1.55,1.91,0.00,0.00,1.24,1.23,"",-1,-9.1,26,8.6,255214,2.7,0,0.0,0,0.0,-32,-5.4,-1671,-5.4
"01097","5","339","75","0","1999","A","","Mobile County, Alabama","Private","Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,314,6620163,0,0,406,21111,"",0.93,0.32,0.23,0.00,0.00,0.72,0.72,"",-1,-2.4,-1,-0.3,11619,0.2,0,0.0,0,0.0,2,0.5,109,0.5
