"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","483","55","0","1999","A","","Alabama -- Statewide","Private","Water transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",15,375,15925744,0,0,816,42422,"",0.74,0.47,0.48,0.00,0.00,1.02,1.02,"",1,7.1,-71,-15.9,-1291985,-7.5,0,0.0,0,0.0,74,10.0,3839,9.9
"01097","5","483","75","0","1999","A","","Mobile County, Alabama","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,164,6290030,0,0,737,38334,"",5.57,2.25,2.09,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","483","55","0","1999","A","","Alaska -- Statewide","Private","Water transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",49,534,30088877,0,0,1083,56329,"",14.14,4.63,5.17,0.00,0.00,1.12,1.12,"",2,4.3,41,8.3,4300827,16.7,0,0.0,0,0.0,77,7.7,4038,7.7
"02020","5","483","75","0","1999","A","","Anchorage Borough, Alaska","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,79,5855561,0,0,1427,74199,"",6.08,1.45,2.03,0.00,0.00,1.40,1.40,"",1,14.3,8,11.3,1541901,35.7,0,0.0,0,0.0,260,22.3,13514,22.3
"02122","5","483","75","0","1999","A","","Kenai Peninsula Borough, Alaska","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,82,3437568,0,0,805,41837,"",36.28,11.95,10.89,0.00,0.00,0.91,0.91,"",1,10.0,2,2.5,-177046,-4.9,0,0.0,0,0.0,-69,-7.9,-3630,-8.0
"06000","5","483","55","0","1999","A","","California -- Statewide","Private","Water transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",126,4214,290642409,0,0,1326,68971,"",0.65,0.68,0.84,0.00,0.00,1.24,1.24,"",2,1.6,-124,-2.9,35718,0.0,0,0.0,0,0.0,38,3.0,1981,3.0
"06001","5","483","75","0","1999","A","","Alameda County, California","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,779,71710746,0,0,1770,92015,"",0.97,2.70,4.08,0.00,0.00,1.51,1.51,"",0,0.0,-68,-8.0,-3763781,-5.0,0,0.0,0,0.0,56,3.3,2898,3.3
"06037","5","483","75","0","1999","A","","Los Angeles County, California","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",44,1827,98422719,0,0,1036,53884,"",0.78,1.05,1.01,0.00,0.00,0.96,0.96,"",-2,-4.3,-130,-6.6,1198572,1.2,0,0.0,0,0.0,81,8.5,4206,8.5
"06059","5","483","75","0","1999","A","","Orange County, California","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,294,19001062,0,0,1243,64648,"",0.79,0.51,0.59,0.00,0.00,1.16,1.16,"",3,33.3,165,127.9,14207431,296.4,0,0.0,0,0.0,527,73.6,27440,73.7
"06073","5","483","75","0","1999","A","","San Diego County, California","Private","Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,23,1297407,0,0,1097,57029,"",0.43,0.05,0.05,0.00,0.00,1.11,1.11,"",-2,-25.0,-2,-8.0,-235737,-15.4,0,0.0,0,0.0,-82,-7.0,-4297,-7.0
