"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","487","55","0","1999","A","","Alabama -- Statewide","Private","Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",51,117,1910397,0,0,314,16305,"",1.16,0.26,0.24,0.00,0.00,0.93,0.93,"",2,4.1,11,10.4,205315,12.0,0,0.0,0,0.0,5,1.6,257,1.6
"01003","5","487","75","0","1999","A","","Baldwin County, Alabama","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,49,938345,0,0,365,18988,"",17.44,4.19,5.92,0.00,0.00,1.40,1.40,"",4,17.4,11,28.9,189006,25.2,0,0.0,0,0.0,-10,-2.7,-518,-2.7
"02000","5","487","55","0","1999","A","","Alaska -- Statewide","Private","Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",168,1380,31335938,0,0,437,22703,"",22.44,20.97,22.54,0.00,0.00,1.08,1.07,"",4,2.4,35,2.6,1463589,4.9,0,0.0,0,0.0,10,2.3,485,2.2
"02020","5","487","75","0","1999","A","","Anchorage Borough, Alaska","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,79,1840404,0,0,448,23296,"",5.63,2.54,2.66,0.00,0.00,1.05,1.05,"",-4,-20.0,-19,-19.4,-235401,-11.3,0,0.0,0,0.0,41,10.1,2150,10.2
"02110","5","487","75","0","1999","A","","Juneau Borough, Alaska","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,175,3769801,0,0,414,21531,"",44.15,43.89,46.93,0.00,0.00,1.07,1.07,"",1,5.9,20,12.9,582619,18.3,0,0.0,0,0.0,19,4.8,1013,4.9
"02122","5","487","75","0","1999","A","","Kenai Peninsula Borough, Alaska","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",46,268,6286061,0,0,451,23463,"",70.23,68.45,83.32,0.00,0.00,1.22,1.22,"",1,2.2,66,32.7,1073748,20.6,0,0.0,0,0.0,-45,-9.1,-2341,-9.1
"02170","5","487","75","0","1999","A","","Matanuska-Susitna Borough, Alaska","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,25,659994,0,0,504,26225,"",16.48,8.82,13.84,0.00,0.00,1.56,1.56,"",0,0.0,6,31.6,285702,76.3,0,0.0,0,0.0,117,30.2,6084,30.2
"02220","5","487","75","0","1999","A","","Sitka Borough, Alaska","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,114,2993455,0,0,503,26163,"",97.87,117.20,176.11,0.00,0.00,1.50,1.50,"",2,16.7,11,10.7,242611,8.8,0,0.0,0,0.0,-9,-1.8,-480,-1.8
"04000","5","487","55","0","1999","A","","Arizona -- Statewide","Private","Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",44,667,12858132,0,0,371,19268,"",0.99,1.27,1.29,0.00,0.00,1.02,1.02,"",-1,-2.2,-23,-3.3,483953,3.9,0,0.0,0,0.0,26,7.5,1328,7.4
"04005","5","487","75","0","1999","A","","Coconino County, Arizona","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,253,5939424,0,0,452,23499,"",7.83,21.43,33.43,0.00,0.00,1.56,1.56,"",0,0.0,60,31.1,1442541,32.1,0,0.0,0,0.0,4,0.9,199,0.9
"04013","5","487","75","0","1999","A","","Maricopa County, Arizona","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,259,4452462,0,0,330,17174,"",0.77,0.71,0.60,0.00,0.00,0.85,0.85,"",-1,-4.3,-84,-24.5,-1164940,-20.7,0,0.0,0,0.0,15,4.8,813,5.0
"04025","5","487","75","0","1999","A","","Yavapai County, Arizona","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,87,1211856,0,0,269,13970,"",2.96,7.76,7.72,0.00,0.00,1.00,1.00,"",0,0.0,10,13.0,287299,31.1,0,0.0,0,0.0,38,16.5,1950,16.2
"05000","5","487","55","0","1999","A","","Arkansas -- Statewide","Private","Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",15,86,818424,0,0,184,9544,"",0.53,0.32,0.19,0.00,0.00,0.61,0.61,"",-4,-21.1,1,1.2,-135033,-14.2,0,0.0,0,0.0,-32,-14.8,-1673,-14.9
"06000","5","487","55","0","1999","A","","California -- Statewide","Private","Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",317,3691,85282051,0,0,444,23104,"",0.76,1.05,1.04,0.00,0.00,0.99,0.99,"",-4,-1.2,98,2.7,-14184655,-14.3,0,0.0,0,0.0,-88,-16.5,-4580,-16.5
"06001","5","487","75","0","1999","A","","Alameda County, California","Private","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,56,1123557,0,0,386,20093,"",0.56,0.34,0.27,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
