"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","493","55","0","1999","A","","Alabama -- Statewide","Local Government","Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5,102,2971521,0,0,560,29133,"",1.75,1.27,1.40,0.00,0.00,1.11,1.11,"",0,0.0,-5,-4.7,43097,1.5,0,0.0,0,0.0,35,6.7,1807,6.6
"01000","5","493","55","0","1999","A","","Alabama -- Statewide","Private","Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",183,6651,160014326,0,0,463,24060,"",0.99,0.91,0.86,0.00,0.00,0.95,0.95,"",10,5.8,52,0.8,6927829,4.5,0,0.0,0,0.0,17,3.8,862,3.7
"01055","5","493","75","0","1999","A","","Etowah County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,304,7339682,0,0,465,24157,"",1.94,2.08,2.25,0.00,0.00,1.08,1.08,"",-1,-12.5,-182,-37.4,-2799931,-27.6,0,0.0,0,0.0,64,16.0,3297,15.8
"01069","5","493","75","0","1999","A","","Houston County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,93,2202293,0,0,455,23681,"",1.67,0.50,0.52,0.00,0.00,1.04,1.04,"",2,33.3,28,43.1,648743,41.8,0,0.0,0,0.0,-3,-0.7,-159,-0.7
"01073","5","493","75","0","1999","A","","Jefferson County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",44,931,23640885,0,0,488,25395,"",1.43,0.62,0.54,0.00,0.00,0.86,0.86,"",5,12.8,60,6.9,3378928,16.7,0,0.0,0,0.0,41,9.2,2141,9.2
"01089","5","493","75","0","1999","A","","Madison County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,336,9188528,0,0,526,27333,"",1.15,0.57,0.50,0.00,0.00,0.88,0.88,"",2,16.7,62,22.6,2564609,38.7,0,0.0,0,0.0,61,13.1,3136,13.0
"01095","5","493","75","0","1999","A","","Marshall County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,125,3066356,0,0,473,24596,"",2.11,0.89,1.06,0.00,0.00,1.20,1.20,"",0,0.0,19,17.9,211688,7.4,0,0.0,0,0.0,-46,-8.9,-2398,-8.9
"01097","5","493","75","0","1999","A","","Mobile County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,283,7667592,0,0,521,27102,"",0.86,0.43,0.46,0.00,0.00,1.07,1.07,"",-1,-6.7,7,2.5,-77845,-1.0,0,0.0,0,0.0,-18,-3.3,-927,-3.3
"01101","5","493","75","0","1999","A","","Montgomery County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,1871,43871521,0,0,451,23452,"",1.65,3.60,3.34,0.00,0.00,0.93,0.93,"",0,0.0,-117,-5.9,-1479196,-3.3,0,0.0,0,0.0,12,2.7,638,2.8
"01103","5","493","75","0","1999","A","","Morgan County, Alabama","Private","Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,52,1672206,0,0,614,31902,"",1.29,0.27,0.34,0.00,0.00,1.24,1.24,"",2,50.0,22,73.3,557042,50.0,0,0.0,0,0.0,-111,-15.3,-5794,-15.4
