"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","2","515","55","0","1999","A","","Alabama -- Statewide","State Government","Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",13,67,2451167,0,0,703,36539,"",9.50,2.65,3.46,0.00,0.00,1.30,1.30,"",0,0.0,-2,-2.9,218353,9.8,0,0.0,0,0.0,83,13.4,4296,13.3
"01000","5","515","55","0","1999","A","","Alabama -- Statewide","Private","Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",281,6117,202940396,0,0,638,33175,"",1.91,1.29,1.02,0.00,0.00,0.79,0.79,"",-11,-3.8,298,5.1,29145577,16.8,0,0.0,0,0.0,64,11.1,3307,11.1
"01003","5","515","75","0","1999","A","","Baldwin County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,60,1393634,0,0,449,23357,"",1.16,0.49,0.35,0.00,0.00,0.72,0.72,"",-1,-14.3,3,5.3,212016,17.9,0,0.0,0,0.0,49,12.2,2536,12.2
"01015","5","515","75","0","1999","A","","Calhoun County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,68,1759462,0,0,501,26066,"",2.04,0.55,0.39,0.00,0.00,0.71,0.71,"",-2,-22.2,-15,-18.1,-632691,-26.4,0,0.0,0,0.0,-55,-9.9,-2842,-9.8
"01033","5","515","75","0","1999","A","","Colbert County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,100,1945486,0,0,375,19504,"",3.17,1.78,0.83,0.00,0.00,0.47,0.47,"",1,20.0,0,0.0,39211,2.1,0,0.0,0,0.0,10,2.7,520,2.7
"01043","5","515","75","0","1999","A","","Cullman County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,69,1195004,0,0,333,17298,"",2.69,1.06,0.51,0.00,0.00,0.48,0.48,"",-1,-14.3,3,4.5,112599,10.4,0,0.0,0,0.0,17,5.4,877,5.3
"01049","5","515","75","0","1999","A","","DeKalb County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,28,519693,0,0,352,18288,"",2.94,0.46,0.25,0.00,0.00,0.54,0.54,"",-1,-16.7,-5,-15.2,14593,2.9,0,0.0,0,0.0,61,21.0,3173,21.0
"01055","5","515","75","0","1999","A","","Etowah County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,129,3560587,0,0,533,27709,"",3.11,1.36,1.02,0.00,0.00,0.75,0.75,"",-2,-18.2,5,4.0,444714,14.3,0,0.0,0,0.0,48,9.9,2479,9.8
"01069","5","515","75","0","1999","A","","Houston County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,231,5782664,0,0,482,25078,"",2.87,1.90,1.27,0.00,0.00,0.67,0.67,"",1,10.0,13,6.0,210299,3.8,0,0.0,0,0.0,-10,-2.0,-483,-1.9
"01073","5","515","75","0","1999","A","","Jefferson County, Alabama","Private","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",34,1575,61299203,0,0,749,38928,"",1.37,1.62,1.30,0.00,0.00,0.80,0.80,"",-3,-8.1,-21,-1.3,3448512,6.0,0,0.0,0,0.0,52,7.5,2669,7.4
