"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","516","55","0","1999","A","","Alabama -- Statewide","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,18,1423485,0,0,1493,77645,"",0.31,0.05,0.07,0.00,0.00,1.40,1.40,"",3,75.0,9,100.0,1026246,258.3,0,0.0,0,0.0,628,72.6,32675,72.7
"04000","5","516","55","0","1999","A","","Arizona -- Statewide","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",17,86,3848283,0,0,861,44747,"",0.75,0.20,0.15,0.00,0.00,0.74,0.74,"",4,30.8,29,50.9,1595098,70.8,0,0.0,0,0.0,99,13.0,5102,12.9
"04013","5","516","75","0","1999","A","","Maricopa County, Arizona","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,80,3518149,0,0,841,43749,"",1.03,0.26,0.18,0.00,0.00,0.68,0.68,"",4,36.4,26,48.1,1436117,69.0,0,0.0,0,0.0,102,13.8,5311,13.8
"06000","5","516","55","0","1999","A","","California -- Statewide","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",329,6030,491930366,0,0,1569,81584,"",1.54,2.06,2.26,0.00,0.00,1.10,1.10,"",156,90.2,2699,81.0,260467749,112.5,0,0.0,0,0.0,233,17.4,12098,17.4
"06001","5","516","75","0","1999","A","","Alameda County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,234,17444454,0,0,1431,74416,"",1.33,1.71,1.57,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037","5","516","75","0","1999","A","","Los Angeles County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",88,1997,125433586,0,0,1208,62811,"",1.42,2.43,2.04,0.00,0.00,0.84,0.84,"",40,83.3,764,62.0,53872330,75.3,0,0.0,0,0.0,92,8.2,4757,8.2
"06059","5","516","75","0","1999","A","","Orange County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,155,9224394,0,0,1142,59385,"",1.32,0.57,0.45,0.00,0.00,0.80,0.80,"",13,144.4,63,68.5,4319053,88.0,0,0.0,0,0.0,118,11.5,6162,11.6
"06073","5","516","75","0","1999","A","","San Diego County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,189,9004137,0,0,918,47746,"",1.11,0.80,0.56,0.00,0.00,0.70,0.70,"",6,54.5,91,92.9,4232023,88.7,0,0.0,0,0.0,-18,-1.9,-908,-1.9
"06075","5","516","75","0","1999","A","","San Francisco County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",48,1154,92474027,0,0,1541,80116,"",5.62,9.60,7.54,0.00,0.00,0.79,0.79,"",22,84.6,697,152.5,63091514,214.7,0,0.0,0,0.0,305,24.7,15857,24.7
"06081","5","516","75","0","1999","A","","San Mateo County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,524,47449278,0,0,1740,90480,"",3.06,7.19,6.38,0.00,0.00,0.89,0.89,"",7,87.5,275,110.4,28597772,151.7,0,0.0,0,0.0,282,19.3,14670,19.4
"06085","5","516","75","0","1999","A","","Santa Clara County, California","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,1208,151331509,0,0,2408,125240,"",3.67,6.10,6.32,0.00,0.00,1.04,1.04,"",22,137.5,463,62.1,77122169,103.9,0,0.0,0,0.0,493,25.7,25664,25.8
"08000","5","516","55","0","1999","A","","Colorado -- Statewide","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",43,913,51950979,0,0,1094,56875,"",1.51,2.14,1.79,0.00,0.00,0.84,0.84,"",14,48.3,246,36.9,15735695,43.5,0,0.0,0,0.0,50,4.8,2600,4.8
"08031","5","516","75","0","1999","A","","Denver County, Colorado","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,138,8560948,0,0,1197,62224,"",2.33,1.49,1.18,0.00,0.00,0.79,0.79,"",3,37.5,37,36.6,1723085,25.2,0,0.0,0,0.0,-104,-8.0,-5422,-8.0
"08059","5","516","75","0","1999","A","","Jefferson County, Colorado","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,278,14033106,0,0,972,50539,"",1.86,6.68,4.95,0.00,0.00,0.74,0.74,"",2,50.0,119,74.8,6817517,94.5,0,0.0,0,0.0,102,11.7,5277,11.7
"09000","5","516","55","0","1999","A","","Connecticut -- Statewide","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",36,867,59847163,0,0,1328,69068,"",1.68,2.58,2.11,0.00,0.00,0.82,0.82,"",14,63.6,109,14.4,7766436,14.9,0,0.0,0,0.0,7,0.5,360,0.5
"09001","5","516","75","0","1999","A","","Fairfield County, Connecticut","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,482,35978611,0,0,1434,74593,"",3.12,5.59,3.74,0.00,0.00,0.67,0.67,"",8,66.7,114,31.0,9334280,35.0,0,0.0,0,0.0,41,2.9,2141,3.0
"09003","5","516","75","0","1999","A","","Hartford County, Connecticut","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,44,2185699,0,0,961,49959,"",1.01,0.44,0.27,0.00,0.00,0.62,0.62,"",0,0.0,21,91.3,1217159,125.7,0,0.0,0,0.0,157,19.5,8152,19.5
"11000","5","516","55","0","1999","A","","District of Columbia","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,41,2013714,0,0,935,48621,"",2.10,0.33,0.16,0.00,0.00,0.48,0.48,"",4,57.1,13,46.4,667844,49.6,0,0.0,0,0.0,11,1.2,554,1.2
"11001","5","516","75","0","1999","A","","District of Columbia","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,41,2013714,0,0,935,48621,"",2.10,0.33,0.16,0.00,0.00,0.48,0.48,"",4,57.1,13,46.4,667844,49.6,0,0.0,0,0.0,11,1.2,554,1.2
"12000","5","516","55","0","1999","A","","Florida -- Statewide","Private","Internet publishing and broadcasting","State, NAICS 3-digit -- by ownership sector","All establishment sizes",108,1167,53872384,0,0,888,46170,"",1.23,0.84,0.68,0.00,0.00,0.81,0.80,"",50,86.2,257,28.2,16198295,43.0,0,0.0,0,0.0,92,11.6,4781,11.6
"12011","5","516","75","0","1999","A","","Broward County, Florida","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,35,1114157,0,0,608,31607,"",1.02,0.28,0.14,0.00,0.00,0.51,0.51,"",4,66.7,21,150.0,559943,101.0,0,0.0,0,0.0,-162,-21.0,-8457,-21.1
"12057","5","516","75","0","1999","A","","Hillsborough County, Florida","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,302900,0,0,971,50483,"",0.57,0.05,0.04,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12095","5","516","75","0","1999","A","","Orange County, Florida","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,32,957961,0,0,582,30251,"",2.00,0.27,0.13,0.00,0.00,0.51,0.51,"",3,42.9,8,33.3,357656,59.6,0,0.0,0,0.0,91,18.5,4706,18.4
"12099","5","516","75","0","1999","A","","Palm Beach County, Florida","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,48,1840383,0,0,741,38542,"",1.24,0.51,0.30,0.00,0.00,0.60,0.60,"",4,80.0,20,71.4,889391,93.5,0,0.0,0,0.0,90,13.8,4679,13.8
"12103","5","516","75","0","1999","A","","Pinellas County, Florida","Private","Internet publishing and broadcasting","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,80,3164614,0,0,761,39558,"",2.17,0.94,0.63,0.00,0.00,0.67,0.67,"",6,120.0,52,185.7,1940487,158.5,0,0.0,0,0.0,-72,-8.6,-3774,-8.7
