"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","541","55","0","1999","A","","Alabama -- Statewide","Federal Government","Professional and technical services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",61,2099,110613656,0,0,1014,52707,"",2.80,2.58,3.34,0.00,0.00,1.29,1.29,"",10,19.6,4,0.2,-2918490,-2.6,0,0.0,0,0.0,-28,-2.7,-1489,-2.7
"01000","5","541","55","0","1999","A","","Alabama -- Statewide","Private","Professional and technical services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",9083,77988,3457738221,0,0,853,44337,"",0.81,0.82,0.77,0.00,0.00,0.94,0.94,"",383,4.4,4399,6.0,305340162,9.7,0,0.0,0,0.0,29,3.5,1499,3.5
"01001","5","541","75","0","1999","A","","Autauga County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",48,175,4583869,0,0,504,26206,"",0.60,0.33,0.21,0.00,0.00,0.64,0.64,"",3,6.7,-1,-0.6,92696,2.1,0,0.0,0,0.0,13,2.6,688,2.7
"01003","5","541","75","0","1999","A","","Baldwin County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",274,1126,36138322,0,0,617,32090,"",0.70,0.46,0.41,0.00,0.00,0.88,0.88,"",24,9.6,118,11.7,4383418,13.8,0,0.0,0,0.0,11,1.8,587,1.9
"01007","5","541","75","0","1999","A","","Bibb County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,70,2076464,0,0,567,29488,"",0.41,0.35,0.30,0.00,0.00,0.84,0.84,"",1,7.1,4,6.1,202945,10.8,0,0.0,0,0.0,21,3.8,1101,3.9
"01009","5","541","75","0","1999","A","","Blount County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",39,125,4448362,0,0,684,35587,"",0.50,0.27,0.26,0.00,0.00,0.96,0.96,"",1,2.6,6,5.0,410745,10.2,0,0.0,0,0.0,31,4.7,1634,4.8
"01013","5","541","75","0","1999","A","","Butler County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,63,1174962,0,0,357,18576,"",0.32,0.18,0.10,0.00,0.00,0.56,0.56,"",-3,-15.0,4,6.8,-15762,-1.3,0,0.0,0,0.0,-28,-7.3,-1464,-7.3
"01015","1","541","75","0","1999","A","","Calhoun County, Alabama","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,44,1983449,0,0,859,44656,"",15.77,2.09,2.64,0.00,0.00,1.25,1.25,"",5,166.7,10,29.4,279792,16.4,0,0.0,0,0.0,-102,-10.6,-5329,-10.7
"01015","5","541","75","0","1999","A","","Calhoun County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",177,1100,31920414,0,0,558,29008,"",0.68,0.44,0.31,0.00,0.00,0.71,0.71,"",4,2.3,193,21.3,4771762,17.6,0,0.0,0,0.0,-18,-3.1,-938,-3.1
"01019","5","541","75","0","1999","A","","Cherokee County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,34,859130,0,0,488,25393,"",0.36,0.14,0.10,0.00,0.00,0.73,0.73,"",1,7.1,0,0.0,-105234,-10.9,0,0.0,0,0.0,-63,-11.4,-3251,-11.3
"01023","5","541","75","0","1999","A","","Choctaw County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,64,1098410,0,0,328,17052,"",0.61,0.24,0.07,0.00,0.00,0.30,0.30,"",0,0.0,4,6.7,92740,9.2,0,0.0,0,0.0,6,1.9,314,1.9
"01025","1","541","75","0","1999","A","","Clarke County, Alabama","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,180012,0,0,659,34288,"",6.59,1.15,1.21,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,-6451,-3.5,0,0.0,0,0.0,-96,-12.7,-4967,-12.7
"01025","5","541","75","0","1999","A","","Clarke County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,98,1896293,0,0,374,19449,"",0.38,0.19,0.09,0.00,0.00,0.49,0.49,"",-1,-3.2,2,2.1,13122,0.7,0,0.0,0,0.0,-4,-1.1,-184,-0.9
"01027","5","541","75","0","1999","A","","Clay County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,21,253289,0,0,237,12306,"",0.42,0.08,0.03,0.00,0.00,0.36,0.36,"",0,0.0,1,5.0,53015,26.5,0,0.0,0,0.0,48,25.4,2456,24.9
"01031","5","541","75","0","1999","A","","Coffee County, Alabama","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",53,214,5296525,0,0,476,24760,"",0.54,0.28,0.20,0.00,0.00,0.73,0.73,"",0,0.0,19,9.7,521283,10.9,0,0.0,0,0.0,5,1.1,272,1.1
