"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","622","55","0","1999","A","","Alabama -- Statewide","Federal Government","Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,4162,175766004,0,0,812,42228,"",1.16,1.24,1.37,0.00,0.00,1.10,1.10,"",0,0.0,-203,-4.7,2936245,1.7,0,0.0,0,0.0,51,6.7,2637,6.7
"01000","2","622","55","0","1999","A","","Alabama -- Statewide","State Government","Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",16,11344,348712281,0,0,591,30739,"",0.81,2.37,2.51,0.00,0.00,1.06,1.06,"",-1,-5.9,-119,-1.0,11411329,3.4,0,0.0,0,0.0,25,4.4,1315,4.5
"01000","3","622","55","0","1999","A","","Alabama -- Statewide","Local Government","Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",41,24663,714670119,0,0,557,28977,"",2.17,2.78,3.01,0.00,0.00,1.08,1.08,"",4,10.8,320,1.3,60323927,9.2,0,0.0,0,0.0,40,7.7,2096,7.8
"01000","5","622","55","0","1999","A","","Alabama -- Statewide","Private","Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",104,43551,1253046188,0,0,553,28772,"",1.07,0.76,0.79,0.00,0.00,1.04,1.04,"",1,1.0,-2184,-4.8,-33889896,-2.6,0,0.0,0,0.0,12,2.2,633,2.2
"01073","1","622","75","0","1999","A","","Jefferson County, Alabama","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1646,75597731,0,0,883,45937,"",1.73,2.40,2.47,0.00,0.00,1.03,1.03,"",0,0.0,-105,-6.0,1527532,2.1,0,0.0,0,0.0,69,8.5,3629,8.6
"01073","5","622","75","0","1999","A","","Jefferson County, Alabama","Private","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,17259,532236446,0,0,593,30838,"",1.59,1.47,1.42,0.00,0.00,0.96,0.96,"",0,0.0,-776,-4.3,-40994165,-7.2,0,0.0,0,0.0,-18,-2.9,-947,-3.0
"01087","1","622","75","0","1999","A","","Macon County, Alabama","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1077,41472317,0,0,741,38525,"",108.76,99.95,121.75,0.00,0.00,1.22,1.22,"",0,0.0,-94,-8.0,-1354240,-3.2,0,0.0,0,0.0,37,5.3,1939,5.3
"01097","2","622","75","0","1999","A","","Mobile County, Alabama","State Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,3436,102542123,0,0,574,29846,"",3.46,7.91,8.19,0.00,0.00,1.03,1.03,"",0,0.0,7,0.2,6150047,6.4,0,0.0,0,0.0,33,6.1,1736,6.2
"01101","1","622","75","0","1999","A","","Montgomery County, Alabama","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,545,23557616,0,0,831,43205,"",4.89,2.29,2.59,0.00,0.00,1.13,1.13,"",0,0.0,26,5.0,2443269,11.6,0,0.0,0,0.0,48,6.1,2509,6.2
"01125","1","622","75","0","1999","A","","Tuscaloosa County, Alabama","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,895,35138340,0,0,755,39264,"",8.20,6.58,6.66,0.00,0.00,1.01,1.01,"",0,0.0,-30,-3.2,319684,0.9,0,0.0,0,0.0,31,4.3,1629,4.3
