"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","2","623","55","0","1999","A","","Alabama -- Statewide","State Government","Nursing and residential care facilities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,1541,45823594,0,0,572,29728,"",0.42,0.72,0.89,0.00,0.00,1.23,1.23,"",0,0.0,-67,-4.2,-386691,-0.8,0,0.0,0,0.0,19,3.4,984,3.4
"01000","3","623","55","0","1999","A","","Alabama -- Statewide","Local Government","Nursing and residential care facilities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",39,1490,23902639,0,0,309,16044,"",3.45,1.43,1.18,0.00,0.00,0.83,0.83,"",8,25.8,127,9.3,2773881,13.1,0,0.0,0,0.0,11,3.7,542,3.5
"01000","5","623","55","0","1999","A","","Alabama -- Statewide","Private","Nursing and residential care facilities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",560,32773,560075293,0,0,329,17090,"",0.68,0.88,0.93,0.00,0.00,1.06,1.06,"",21,3.9,320,1.0,25062703,4.7,0,0.0,0,0.0,12,3.8,604,3.7
"01003","5","623","75","0","1999","A","","Baldwin County, Alabama","Private","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,1270,25330773,0,0,384,19945,"",0.62,1.33,2.13,0.00,0.00,1.60,1.59,"",-1,-5.3,78,6.5,2439196,10.7,0,0.0,0,0.0,15,4.1,745,3.9
"01009","5","623","75","0","1999","A","","Blount County, Alabama","Private","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,273,4275119,0,0,301,15660,"",1.20,1.50,1.85,0.00,0.00,1.23,1.23,"",0,0.0,-24,-8.1,-20190,-0.5,0,0.0,0,0.0,22,7.9,1173,8.1
"01015","3","623","75","0","1999","A","","Calhoun County, Alabama","Local Government","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,151,2235075,0,0,285,14818,"",22.78,5.57,4.85,0.00,0.00,0.87,0.87,"",0,0.0,6,4.1,137520,6.6,0,0.0,0,0.0,7,2.5,352,2.4
"01015","5","623","75","0","1999","A","","Calhoun County, Alabama","Private","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,826,13609997,0,0,317,16484,"",0.62,0.86,1.00,0.00,0.00,1.17,1.17,"",0,0.0,-2,-0.2,322749,2.4,0,0.0,0,0.0,8,2.6,432,2.7
"01031","5","623","75","0","1999","A","","Coffee County, Alabama","Private","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,503,8241011,0,0,315,16373,"",0.96,1.67,2.34,0.00,0.00,1.40,1.40,"",0,0.0,4,0.8,486164,6.3,0,0.0,0,0.0,16,5.4,845,5.4
"01033","5","623","75","0","1999","A","","Colbert County, Alabama","Private","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,350,5442646,0,0,299,15573,"",0.75,0.80,0.77,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","623","75","0","1999","A","","Covington County, Alabama","Private","Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,453,7078716,0,0,301,15638,"",1.11,1.68,2.09,0.00,0.00,1.24,1.24,"",1,14.3,15,3.4,473843,7.2,0,0.0,0,0.0,11,3.8,547,3.6
