"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","624","55","0","1999","A","","Alabama -- Statewide","Federal Government","Social assistance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,331,4508287,0,0,262,13607,"",2.60,3.59,3.74,0.00,0.00,1.04,1.04,"",5,500.0,125,60.7,1934192,75.1,0,0.0,0,0.0,21,8.7,1086,8.7
"01000","2","624","55","0","1999","A","","Alabama -- Statewide","State Government","Social assistance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",117,1386,42262362,0,0,586,30496,"",2.72,0.86,0.99,0.00,0.00,1.15,1.15,"",-7,-5.6,-26,-1.8,1292796,3.2,0,0.0,0,0.0,28,5.0,1482,5.1
"01000","3","624","55","0","1999","A","","Alabama -- Statewide","Local Government","Social assistance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",77,1631,32906719,0,0,388,20173,"",2.69,1.20,1.12,0.00,0.00,0.93,0.93,"",6,8.5,87,5.6,3054033,10.2,0,0.0,0,0.0,16,4.3,837,4.3
"01000","5","624","55","0","1999","A","","Alabama -- Statewide","Private","Social assistance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1547,17792,256645386,0,0,277,14425,"",0.99,0.72,0.74,0.00,0.00,1.02,1.02,"",26,1.7,580,3.4,18420910,7.7,0,0.0,0,0.0,11,4.1,585,4.2
"01001","5","624","75","0","1999","A","","Autauga County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,128,1358782,0,0,205,10636,"",1.25,0.92,0.80,0.00,0.00,0.87,0.87,"",0,0.0,-7,-5.2,-31625,-2.3,0,0.0,0,0.0,7,3.5,356,3.5
"01005","5","624","75","0","1999","A","","Barbour County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,44,517505,0,0,224,11651,"",0.73,0.29,0.29,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,38397,8.0,0,0.0,0,0.0,16,7.7,824,7.6
"01009","5","624","75","0","1999","A","","Blount County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,24,334930,0,0,268,13955,"",0.55,0.20,0.25,0.00,0.00,1.25,1.25,"",2,50.0,7,41.2,79109,30.9,0,0.0,0,0.0,-27,-9.2,-1394,-9.1
"01013","5","624","75","0","1999","A","","Butler County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,28,680011,0,0,468,24359,"",0.93,0.31,0.75,0.00,0.00,2.42,2.43,"",0,0.0,0,0.0,-21719,-3.1,0,0.0,0,0.0,-21,-4.3,-1081,-4.2
"01017","5","624","75","0","1999","A","","Chambers County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,140,1619936,0,0,223,11592,"",1.64,0.83,0.78,0.00,0.00,0.94,0.94,"",0,0.0,-1,-0.7,4584,0.3,0,0.0,0,0.0,3,1.4,142,1.2
"01021","5","624","75","0","1999","A","","Chilton County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,80,826073,0,0,200,10380,"",1.10,0.72,0.71,0.00,0.00,0.98,0.98,"",-1,-7.7,0,0.0,15367,1.9,0,0.0,0,0.0,6,3.1,278,2.8
"01025","5","624","75","0","1999","A","","Clarke County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,57,652568,0,0,219,11365,"",1.10,0.43,0.42,0.00,0.00,0.96,0.96,"",1,9.1,5,9.6,-31299,-4.6,0,0.0,0,0.0,-33,-13.1,-1723,-13.2
"01031","5","624","75","0","1999","A","","Coffee County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,122,1269378,0,0,200,10412,"",1.52,0.61,0.62,0.00,0.00,1.01,1.02,"",2,10.5,21,20.8,429022,51.1,0,0.0,0,0.0,41,25.8,2126,25.7
"01033","5","624","75","0","1999","A","","Colbert County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,136,1450673,0,0,205,10673,"",0.70,0.47,0.35,0.00,0.00,0.76,0.76,"",0,0.0,0,0.0,38772,2.7,0,0.0,0,0.0,6,3.0,317,3.1
"01035","5","624","75","0","1999","A","","Conecuh County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,28,368553,0,0,258,13402,"",1.88,0.51,0.54,0.00,0.00,1.09,1.09,"",0,0.0,4,16.7,66312,21.9,0,0.0,0,0.0,13,5.3,676,5.3
"01039","5","624","75","0","1999","A","","Covington County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,63,584931,0,0,178,9260,"",0.59,0.35,0.30,0.00,0.00,0.84,0.84,"",-1,-11.1,0,0.0,72640,14.2,0,0.0,0,0.0,23,14.8,1182,14.6
"01043","5","624","75","0","1999","A","","Cullman County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,150,2007408,0,0,257,13353,"",0.89,0.44,0.49,0.00,0.00,1.10,1.10,"",0,0.0,31,26.1,439806,28.1,0,0.0,0,0.0,3,1.2,161,1.2
"01045","1","624","75","0","1999","A","","Dale County, Alabama","Federal Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,557615,0,0,265,13768,"",50.46,47.96,49.79,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","624","75","0","1999","A","","Elmore County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,117,1427523,0,0,234,12175,"",1.17,0.68,0.72,0.00,0.00,1.06,1.06,"",-3,-15.0,-32,-21.5,-387889,-21.4,0,0.0,0,0.0,-1,-0.4,-29,-0.2
"01053","5","624","75","0","1999","A","","Escambia County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,188,3439859,0,0,352,18321,"",0.85,1.02,1.57,0.00,0.00,1.54,1.54,"",-1,-8.3,7,3.9,178066,5.5,0,0.0,0,0.0,6,1.7,333,1.9
"01067","5","624","75","0","1999","A","","Henry County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,23,238958,0,0,196,10205,"",0.82,0.38,0.35,0.00,0.00,0.91,0.91,"",0,0.0,-5,-17.9,25413,11.9,0,0.0,0,0.0,47,31.5,2440,31.4
"01073","2","624","75","0","1999","A","","Jefferson County, Alabama","State Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,146,4925053,0,0,651,33849,"",0.69,0.44,0.48,0.00,0.00,1.10,1.09,"",-1,-16.7,-12,-7.6,-99121,-2.0,0,0.0,0,0.0,40,6.5,2101,6.6
"01073","5","624","75","0","1999","A","","Jefferson County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",236,3487,59535526,0,0,328,17073,"",0.90,0.69,0.72,0.00,0.00,1.04,1.04,"",1,0.4,-84,-2.4,2807185,4.9,0,0.0,0,0.0,22,7.2,1187,7.5
"01081","5","624","75","0","1999","A","","Lee County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",62,898,12507310,0,0,268,13922,"",2.07,1.69,1.90,0.00,0.00,1.13,1.13,"",1,1.6,73,8.8,1024145,8.9,0,0.0,0,0.0,0,0.0,-1,0.0
"01083","5","624","75","0","1999","A","","Limestone County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,168,2181958,0,0,250,13020,"",1.25,0.61,0.46,0.00,0.00,0.75,0.75,"",2,11.8,9,5.7,70891,3.4,0,0.0,0,0.0,-6,-2.3,-292,-2.2
"01087","5","624","75","0","1999","A","","Macon County, Alabama","Private","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,31,283266,0,0,175,9089,"",1.93,0.39,0.31,0.00,0.00,0.78,0.78,"",-2,-20.0,0,0.0,-2825,-1.0,0,0.0,0,0.0,-1,-0.6,-66,-0.7
"01089","1","624","75","0","1999","A","","Madison County, Alabama","Federal Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,45,806951,0,0,344,17866,"",13.12,6.08,6.78,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
