"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","712","55","0","1999","A","","Alabama -- Statewide","Federal Government","Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,299409,0,0,2094,108876,"",0.16,0.01,0.03,0.00,0.00,3.62,3.62,"",0,0.0,-1,-25.0,-29080,-8.9,0,0.0,0,0.0,371,21.5,19288,21.5
"01000","3","712","55","0","1999","A","","Alabama -- Statewide","Local Government","Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,784,14161557,0,0,347,18056,"",0.85,1.48,1.48,0.00,0.00,1.00,1.00,"",0,0.0,101,14.8,2219486,18.6,0,0.0,0,0.0,11,3.3,569,3.3
"01000","5","712","55","0","1999","A","","Alabama -- Statewide","Private","Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",30,513,8636084,0,0,324,16834,"",0.49,0.33,0.31,0.00,0.00,0.93,0.93,"",1,3.4,65,14.5,1725513,25.0,0,0.0,0,0.0,27,9.1,1400,9.1
"01089","1","712","75","0","1999","A","","Madison County, Alabama","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,299409,0,0,2094,108876,"",2.36,0.11,0.30,0.00,0.00,2.94,2.94,"",0,0.0,-1,-25.0,-29080,-8.9,0,0.0,0,0.0,371,21.5,19288,21.5
"01097","5","712","75","0","1999","A","","Mobile County, Alabama","Private","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,136,1663988,0,0,235,12235,"",0.74,0.96,0.65,0.00,0.00,0.68,0.68,"",0,0.0,31,29.5,445127,36.5,0,0.0,0,0.0,12,5.4,645,5.6
"02000","1","712","55","0","1999","A","","Alaska -- Statewide","Federal Government","Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",29,600,25968377,0,0,832,43257,"",26.58,12.22,14.52,0.00,0.00,1.19,1.19,"",-1,-3.3,-56,-8.5,158053,0.6,0,0.0,0,0.0,76,10.1,3932,10.0
"02000","5","712","55","0","1999","A","","Alaska -- Statewide","Private","Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",30,254,6320288,0,0,479,24899,"",2.87,1.13,1.28,0.00,0.00,1.13,1.13,"",-3,-9.1,55,27.6,1536846,32.1,0,0.0,0,0.0,18,3.9,912,3.8
"02020","1","712","75","0","1999","A","","Anchorage Borough, Alaska","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,184,9582720,0,0,1000,51986,"",4.82,7.91,10.78,0.00,0.00,1.36,1.36,"",0,0.0,12,7.0,934849,10.8,0,0.0,0,0.0,34,3.5,1732,3.4
"02020","5","712","75","0","1999","A","","Anchorage Borough, Alaska","Private","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,118,2897475,0,0,471,24468,"",2.26,1.11,1.18,0.00,0.00,1.06,1.06,"",-2,-18.2,40,51.3,1057245,57.5,0,0.0,0,0.0,20,4.4,1001,4.3
"02068","1","712","75","0","1999","A","","Denali Borough, Alaska","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,120,4641145,0,0,744,38703,"",480.90,299.08,346.60,0.00,0.00,1.16,1.16,"",0,0.0,-6,-4.8,-213544,-4.4,0,0.0,0,0.0,0,0.0,20,0.1
"02090","1","712","75","0","1999","A","","Fairbanks North Star Borough, Alaska","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,30,1341346,0,0,857,44588,"",8.70,5.28,6.90,0.00,0.00,1.30,1.30,"",0,0.0,-1,-3.2,27278,2.1,0,0.0,0,0.0,37,4.5,1970,4.6
"02110","1","712","75","0","1999","A","","Juneau Borough, Alaska","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,128511,0,0,631,32811,"",16.82,1.34,1.24,0.00,0.00,0.95,0.95,"",0,0.0,0,0.0,1202,0.9,0,0.0,0,0.0,43,7.3,2257,7.4
"02122","1","712","75","0","1999","A","","Kenai Peninsula Borough, Alaska","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,34,1164701,0,0,669,34767,"",20.95,11.63,12.00,0.00,0.00,1.05,1.05,"",-1,-33.3,2,6.2,37371,3.3,0,0.0,0,0.0,-1,-0.1,-99,-0.3
