"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","713","55","0","1999","A","","Alabama -- Statewide","Federal Government","Amusements, gambling, and recreation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",15,376,4720737,0,0,242,12572,"",3.58,1.84,1.83,0.00,0.00,0.99,0.99,"",1,7.1,-361,-49.0,-4911150,-51.0,0,0.0,0,0.0,-9,-3.6,-494,-3.8
"01000","3","713","55","0","1999","A","","Alabama -- Statewide","Local Government","Amusements, gambling, and recreation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",16,427,5367173,0,0,242,12582,"",0.47,0.23,0.20,0.00,0.00,0.88,0.88,"",6,60.0,139,48.3,1782453,49.7,0,0.0,0,0.0,2,0.8,121,1.0
"01000","5","713","55","0","1999","A","","Alabama -- Statewide","Private","Amusements, gambling, and recreation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",758,11839,145184269,0,0,236,12263,"",0.86,0.62,0.56,0.00,0.00,0.90,0.90,"",22,3.0,654,5.8,12949841,9.8,0,0.0,0,0.0,9,4.0,440,3.7
"01003","5","713","75","0","1999","A","","Baldwin County, Alabama","Private","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",54,898,12024238,0,0,257,13388,"",1.74,1.84,2.33,0.00,0.00,1.27,1.27,"",3,5.9,50,5.9,814006,7.3,0,0.0,0,0.0,3,1.2,174,1.3
"01009","5","713","75","0","1999","A","","Blount County, Alabama","Private","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,22,133154,0,0,116,6007,"",0.65,0.24,0.13,0.00,0.00,0.56,0.56,"",0,0.0,6,37.5,36688,38.0,0,0.0,0,0.0,-2,-1.7,-150,-2.4
"01015","5","713","75","0","1999","A","","Calhoun County, Alabama","Private","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,199,2006131,0,0,194,10106,"",1.17,0.40,0.34,0.00,0.00,0.85,0.85,"",1,4.3,-8,-3.9,-51825,-2.5,0,0.0,0,0.0,3,1.6,180,1.8
"01017","5","713","75","0","1999","A","","Chambers County, Alabama","Private","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,62,475170,0,0,146,7613,"",1.27,0.47,0.31,0.00,0.00,0.64,0.64,"",1,16.7,8,14.8,56139,13.4,0,0.0,0,0.0,-2,-1.4,-87,-1.1
"01033","5","713","75","0","1999","A","","Colbert County, Alabama","Private","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,59,791966,0,0,259,13480,"",0.71,0.26,0.26,0.00,0.00,1.00,1.00,"",-1,-11.1,-24,-28.9,-103379,-11.5,0,0.0,0,0.0,51,24.5,2638,24.3
"01043","5","713","75","0","1999","A","","Cullman County, Alabama","Private","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,97,1135176,0,0,224,11653,"",0.83,0.37,0.37,0.00,0.00,0.99,0.99,"",0,0.0,5,5.4,-126669,-10.0,0,0.0,0,0.0,-40,-15.2,-2063,-15.0
"01045","1","713","75","0","1999","A","","Dale County, Alabama","Federal Government","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,95,1181117,0,0,240,12488,"",111.22,50.28,49.28,0.00,0.00,0.98,0.98,"",1,33.3,-136,-58.9,-1982391,-62.7,0,0.0,0,0.0,-23,-8.7,-1187,-8.7
