"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","313","55","0","1999","A","","Alabama -- Statewide","Private","Textile mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",116,20515,531290537,0,0,498,25898,"",1.27,3.52,3.78,0.00,0.00,1.07,1.07,"",-15,-11.5,-835,-3.9,411274,0.1,0,0.0,0,0.0,20,4.2,1032,4.2
"01049","5","313","75","0","1999","A","","DeKalb County, Alabama","Private","Textile mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",28,1911,40825603,0,0,411,21369,"",26.47,25.78,28.19,0.00,0.00,1.09,1.09,"",-2,-6.7,93,5.1,4147681,11.3,0,0.0,0,0.0,23,5.9,1193,5.9
"01121","5","313","75","0","1999","A","","Talladega County, Alabama","Private","Textile mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,1991,53173345,0,0,513,26701,"",8.51,25.09,31.07,0.00,0.00,1.24,1.24,"",-1,-9.1,-89,-4.3,-5807098,-9.8,0,0.0,0,0.0,-32,-5.9,-1658,-5.8
"04000","5","313","55","0","1999","A","","Arizona -- Statewide","Private","Textile mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",30,830,24133711,0,0,559,29065,"",0.32,0.12,0.14,0.00,0.00,1.11,1.11,"",-4,-11.8,68,8.9,-10206215,-29.7,0,0.0,0,0.0,-308,-35.5,-16030,-35.5
"04013","5","313","75","0","1999","A","","Maricopa County, Arizona","Private","Textile mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,270,10645105,0,0,757,39390,"",0.29,0.06,0.08,0.00,0.00,1.41,1.41,"",-2,-10.5,-11,-3.9,-1439742,-11.9,0,0.0,0,0.0,-70,-8.5,-3604,-8.4
"05000","5","313","55","0","1999","A","","Arkansas -- Statewide","Private","Textile mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",15,350,13807911,0,0,760,39498,"",0.25,0.10,0.18,0.00,0.00,1.82,1.82,"",1,7.1,18,5.4,829342,6.4,0,0.0,0,0.0,8,1.1,396,1.0
"06000","5","313","55","0","1999","A","","California -- Statewide","Private","Textile mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",769,17907,482551949,0,0,518,26947,"",0.88,0.40,0.33,0.00,0.00,0.84,0.84,"",11,1.5,750,4.4,43211707,9.8,0,0.0,0,0.0,26,5.3,1340,5.2
"06001","5","313","75","0","1999","A","","Alameda County, California","Private","Textile mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,144,4226481,0,0,563,29266,"",0.46,0.07,0.06,0.00,0.00,0.83,0.83,"",2,13.3,-8,-5.3,-721411,-14.6,0,0.0,0,0.0,-61,-9.8,-3197,-9.8
"06013","5","313","75","0","1999","A","","Contra Costa County, California","Private","Textile mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,38,697732,0,0,353,18361,"",0.28,0.04,0.02,0.00,0.00,0.52,0.52,"",-1,-14.3,6,18.8,133425,23.6,0,0.0,0,0.0,12,3.5,634,3.6
"06037","5","313","75","0","1999","A","","Los Angeles County, California","Private","Textile mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",513,14290,382048084,0,0,514,26735,"",2.02,1.13,0.93,0.00,0.00,0.83,0.83,"",8,1.6,777,5.8,40469930,11.8,0,0.0,0,0.0,28,5.8,1458,5.8
