"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","316","55","0","1999","A","","Alabama -- Statewide","Private","Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",12,91,1655126,0,0,348,18122,"",0.45,0.08,0.07,0.00,0.00,0.82,0.82,"",2,20.0,5,5.8,278428,20.2,0,0.0,0,0.0,42,13.7,2191,13.8
"01049","5","316","75","0","1999","A","","DeKalb County, Alabama","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,42,639240,0,0,294,15311,"",16.12,2.97,2.54,0.00,0.00,0.86,0.86,"",0,0.0,1,2.4,30873,5.1,0,0.0,0,0.0,12,4.3,622,4.2
"04000","5","316","55","0","1999","A","","Arizona -- Statewide","Private","Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",27,417,10252112,0,0,473,24595,"",0.99,0.33,0.34,0.00,0.00,1.03,1.03,"",-2,-6.9,-12,-2.8,-657563,-6.0,0,0.0,0,0.0,-17,-3.5,-860,-3.4
"04013","5","316","75","0","1999","A","","Maricopa County, Arizona","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,126,3163922,0,0,484,25177,"",0.69,0.14,0.14,0.00,0.00,0.99,0.99,"",-2,-14.3,-12,-8.7,-231577,-6.8,0,0.0,0,0.0,11,2.3,557,2.3
"04019","5","316","75","0","1999","A","","Pima County, Arizona","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,262,6684473,0,0,490,25497,"",2.26,1.39,1.60,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,-468978,-6.6,0,0.0,0,0.0,-34,-6.5,-1763,-6.5
"05000","5","316","55","0","1999","A","","Arkansas -- Statewide","Private","Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",24,2287,39467437,0,0,332,17255,"",1.39,3.45,3.00,0.00,0.00,0.87,0.87,"",-1,-4.0,-199,-8.0,-4638006,-10.5,0,0.0,0,0.0,-9,-2.6,-489,-2.8
"06000","5","316","55","0","1999","A","","California -- Statewide","Private","Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",267,7013,169911978,0,0,466,24227,"",1.04,0.82,0.67,0.00,0.00,0.83,0.82,"",-5,-1.8,-576,-7.6,4594168,2.8,0,0.0,0,0.0,47,11.2,2444,11.2
"06001","5","316","75","0","1999","A","","Alameda County, California","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,260,13372726,0,0,991,51533,"",0.74,0.65,1.04,0.00,0.00,1.61,1.60,"",1,14.3,-13,-4.8,7062650,111.9,0,0.0,0,0.0,546,122.7,28384,122.6
"06037","5","316","75","0","1999","A","","Los Angeles County, California","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",131,3664,76965998,0,0,404,21007,"",1.76,1.52,1.08,0.00,0.00,0.71,0.71,"",-1,-0.8,-78,-2.1,2030859,2.7,0,0.0,0,0.0,19,4.9,981,4.9
"06059","5","316","75","0","1999","A","","Orange County, California","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,642,16347354,0,0,489,25453,"",1.04,0.80,0.69,0.00,0.00,0.87,0.87,"",-3,-12.5,-102,-13.7,-815920,-4.8,0,0.0,0,0.0,46,10.4,2397,10.4
"06071","5","316","75","0","1999","A","","San Bernardino County, California","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,561,15298325,0,0,524,27258,"",1.22,1.85,2.23,0.00,0.00,1.21,1.21,"",1,11.1,-63,-10.1,-655356,-4.1,0,0.0,0,0.0,32,6.5,1678,6.6
"06073","5","316","75","0","1999","A","","San Diego County, California","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,273,4842948,0,0,341,17713,"",0.97,0.40,0.26,0.00,0.00,0.65,0.65,"",-1,-5.3,-401,-59.5,-7521982,-60.8,0,0.0,0,0.0,-12,-3.4,-642,-3.5
"06075","5","316","75","0","1999","A","","San Francisco County, California","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,377,7600543,0,0,388,20165,"",1.36,1.07,0.54,0.00,0.00,0.50,0.50,"",-1,-6.7,-17,-4.3,-866365,-10.2,0,0.0,0,0.0,-25,-6.1,-1302,-6.1
"08000","5","316","55","0","1999","A","","Colorado -- Statewide","Private","Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",32,1134,48945550,0,0,830,43162,"",0.94,0.91,1.46,0.00,0.00,1.61,1.61,"",4,14.3,-117,-9.4,-1648607,-3.3,0,0.0,0,0.0,52,6.7,2711,6.7
"08013","5","316","75","0","1999","A","","Boulder County, Colorado","Private","Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,238,15766176,0,0,1274,66268,"",2.58,2.40,5.07,0.00,0.00,2.12,2.12,"",1,16.7,41,20.8,8112187,106.0,0,0.0,0,0.0,528,70.8,27465,70.8
