"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","321","55","0","1999","A","","Alabama -- Statewide","Private","Wood product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",541,28279,753017729,0,0,512,26628,"",1.94,3.10,3.47,0.00,0.00,1.12,1.12,"",0,0.0,442,1.6,30980344,4.3,0,0.0,0,0.0,13,2.6,690,2.7
"01003","5","321","75","0","1999","A","","Baldwin County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,298,8491482,0,0,547,28463,"",1.43,1.27,1.97,0.00,0.00,1.55,1.55,"",1,7.7,60,25.2,1987217,30.6,0,0.0,0,0.0,21,4.0,1125,4.1
"01005","5","321","75","0","1999","A","","Barbour County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,655,18967979,0,0,557,28951,"",8.69,11.65,16.90,0.00,0.00,1.45,1.45,"",2,15.4,-4,-0.6,530104,2.9,0,0.0,0,0.0,19,3.5,965,3.4
"01007","5","321","75","0","1999","A","","Bibb County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,367,8176786,0,0,429,22285,"",13.20,19.16,24.09,0.00,0.00,1.26,1.26,"",0,0.0,-23,-5.9,361833,4.6,0,0.0,0,0.0,44,11.4,2247,11.2
"01009","5","321","75","0","1999","A","","Blount County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,136,2624471,0,0,372,19333,"",4.59,3.05,3.14,0.00,0.00,1.03,1.03,"",0,0.0,-6,-4.2,182688,7.5,0,0.0,0,0.0,40,12.0,2077,12.0
"01013","5","321","75","0","1999","A","","Butler County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,617,15691810,0,0,489,25439,"",3.72,18.41,27.73,0.00,0.00,1.50,1.51,"",0,0.0,0,0.0,796596,5.3,0,0.0,0,0.0,25,5.4,1294,5.4
"01015","5","321","75","0","1999","A","","Calhoun County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,384,7628609,0,0,382,19875,"",1.23,1.62,1.55,0.00,0.00,0.96,0.96,"",-1,-11.1,18,4.9,239329,3.2,0,0.0,0,0.0,-6,-1.5,-314,-1.6
"01017","5","321","75","0","1999","A","","Chambers County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,175,4845866,0,0,531,27625,"",2.86,2.80,3.75,0.00,0.00,1.33,1.34,"",0,0.0,-4,-2.2,-413807,-7.9,0,0.0,0,0.0,-34,-6.0,-1759,-6.0
"01023","5","321","75","0","1999","A","","Choctaw County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,124,2935727,0,0,457,23739,"",4.49,4.85,4.01,0.00,0.00,0.83,0.83,"",0,0.0,-2,-1.6,-23935,-0.8,0,0.0,0,0.0,3,0.7,156,0.7
"01025","5","321","75","0","1999","A","","Clarke County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,937,27945703,0,0,574,29825,"",6.17,19.18,28.68,0.00,0.00,1.50,1.50,"",1,9.1,-1,-0.1,1130942,4.2,0,0.0,0,0.0,24,4.4,1243,4.3
"01033","5","321","75","0","1999","A","","Colbert County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,419,11304649,0,0,519,27002,"",2.23,3.88,4.42,0.00,0.00,1.14,1.14,"",-1,-11.1,37,9.7,953868,9.2,0,0.0,0,0.0,-2,-0.4,-82,-0.3
"01043","5","321","75","0","1999","A","","Cullman County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,290,7237949,0,0,481,24987,"",2.37,2.31,2.81,0.00,0.00,1.22,1.22,"",-1,-9.1,-8,-2.7,-128955,-1.8,0,0.0,0,0.0,5,1.1,252,1.0
"01047","5","321","75","0","1999","A","","Dallas County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,330,5112694,0,0,298,15473,"",2.12,3.83,3.20,0.00,0.00,0.84,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","321","75","0","1999","A","","DeKalb County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,45,827586,0,0,354,18425,"",1.55,0.39,0.37,0.00,0.00,0.96,0.96,"",-1,-16.7,0,0.0,121449,17.2,0,0.0,0,0.0,53,17.6,2762,17.6
"01053","5","321","75","0","1999","A","","Escambia County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,515,15371394,0,0,574,29867,"",3.47,7.56,11.28,0.00,0.00,1.49,1.49,"",0,0.0,-10,-1.9,1277760,9.1,0,0.0,0,0.0,58,11.2,3013,11.2
"01055","5","321","75","0","1999","A","","Etowah County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,452,10843954,0,0,461,23991,"",1.46,2.47,2.84,0.00,0.00,1.15,1.15,"",-2,-20.0,71,18.6,2379446,28.1,0,0.0,0,0.0,33,7.7,1750,7.9
"01057","5","321","75","0","1999","A","","Fayette County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,109,1969419,0,0,349,18151,"",3.99,4.06,3.85,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","321","75","0","1999","A","","Franklin County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,913,24126772,0,0,508,26438,"",7.30,16.26,23.23,0.00,0.00,1.43,1.43,"",-2,-14.3,-263,-22.4,-4079976,-14.5,0,0.0,0,0.0,47,10.2,2449,10.2
"01067","5","321","75","0","1999","A","","Henry County, Alabama","Private","Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,289,7985673,0,0,531,27624,"",4.59,12.89,18.81,0.00,0.00,1.46,1.46,"",0,0.0,23,8.6,1440504,22.0,0,0.0,0,0.0,58,12.3,3018,12.3
