"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","325","55","0","1999","A","","Alabama -- Statewide","Private","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",202,12389,652217884,0,0,1012,52646,"",0.90,0.85,0.95,0.00,0.00,1.11,1.11,"",3,1.5,-200,-1.6,-13272708,-2.0,0,0.0,0,0.0,-5,-0.5,-218,-0.4
"01003","5","325","75","0","1999","A","","Baldwin County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,57,2397969,0,0,813,42255,"",1.01,0.15,0.18,0.00,0.00,1.15,1.15,"",0,0.0,2,3.6,331099,16.0,0,0.0,0,0.0,90,12.4,4676,12.4
"01033","5","325","75","0","1999","A","","Colbert County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,360,18732834,0,0,1002,52096,"",2.42,2.10,2.30,0.00,0.00,1.10,1.10,"",0,0.0,-18,-4.8,-643617,-3.3,0,0.0,0,0.0,17,1.7,858,1.7
"01069","5","325","75","0","1999","A","","Houston County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,97,3045843,0,0,604,31400,"",0.85,0.26,0.19,0.00,0.00,0.74,0.74,"",0,0.0,-6,-5.8,-12395,-0.4,0,0.0,0,0.0,32,5.6,1660,5.6
"01073","5","325","75","0","1999","A","","Jefferson County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",31,696,28557513,0,0,790,41060,"",0.82,0.23,0.17,0.00,0.00,0.74,0.74,"",0,0.0,50,7.7,1538423,5.7,0,0.0,0,0.0,-15,-1.9,-781,-1.9
"01089","5","325","75","0","1999","A","","Madison County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,345,12011869,0,0,669,34800,"",0.88,0.30,0.18,0.00,0.00,0.60,0.60,"",1,8.3,57,19.8,-3251558,-21.3,0,0.0,0,0.0,-349,-34.3,-18152,-34.3
"01097","5","325","75","0","1999","A","","Mobile County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,3944,217346339,0,0,1060,55102,"",1.51,2.99,3.49,0.00,0.00,1.17,1.17,"",-1,-3.2,-86,-2.1,-4545389,-2.0,0,0.0,0,0.0,1,0.1,36,0.1
"01101","5","325","75","0","1999","A","","Montgomery County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,85,4413833,0,0,1004,52183,"",0.52,0.08,0.09,0.00,0.00,1.10,1.10,"",1,16.7,27,46.6,1003282,29.4,0,0.0,0,0.0,-119,-10.6,-6200,-10.6
"01103","5","325","75","0","1999","A","","Morgan County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,3105,173125650,0,0,1072,55762,"",2.98,8.13,9.45,0.00,0.00,1.16,1.16,"",1,6.2,-222,-6.7,-94503,-0.1,0,0.0,0,0.0,71,7.1,3689,7.1
"01125","5","325","75","0","1999","A","","Tuscaloosa County, Alabama","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,287,10762199,0,0,722,37543,"",0.63,0.49,0.38,0.00,0.00,0.78,0.78,"",0,0.0,21,7.9,1392560,14.9,0,0.0,0,0.0,44,6.5,2297,6.5
"04000","5","325","55","0","1999","A","","Arizona -- Statewide","Private","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",183,5623,207069756,0,0,708,36823,"",0.80,0.34,0.24,0.00,0.00,0.71,0.71,"",-1,-0.5,-587,-9.5,-5112592,-2.4,0,0.0,0,0.0,51,7.8,2654,7.8
"04013","5","325","75","0","1999","A","","Maricopa County, Arizona","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",136,4744,179714909,0,0,729,37884,"",0.93,0.41,0.28,0.00,0.00,0.69,0.69,"",2,1.5,-541,-10.2,-3454685,-1.9,0,0.0,0,0.0,62,9.3,3223,9.3
"04015","5","325","75","0","1999","A","","Mohave County, Arizona","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,43,1681786,0,0,761,39571,"",1.12,0.14,0.15,0.00,0.00,1.05,1.05,"",2,40.0,-3,-6.5,120855,7.7,0,0.0,0,0.0,112,17.3,5821,17.2
"04019","5","325","75","0","1999","A","","Pima County, Arizona","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,200,8204116,0,0,789,41021,"",0.66,0.08,0.07,0.00,0.00,0.86,0.86,"",-1,-4.3,-55,-21.6,-2444581,-23.0,0,0.0,0,0.0,-14,-1.7,-739,-1.8
"04021","5","325","75","0","1999","A","","Pinal County, Arizona","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,90,2088288,0,0,448,23289,"",1.45,0.32,0.16,0.00,0.00,0.51,0.51,"",-1,-14.3,2,2.3,205498,10.9,0,0.0,0,0.0,37,9.0,1914,9.0
"04027","5","325","75","0","1999","A","","Yuma County, Arizona","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,322,7080305,0,0,424,22023,"",0.95,0.78,0.50,0.00,0.00,0.64,0.64,"",0,0.0,20,6.6,559397,8.6,0,0.0,0,0.0,9,2.2,460,2.1
"05000","1","325","55","0","1999","A","","Arkansas -- Statewide","Federal Government","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,107,4678157,0,0,838,43585,"",36.25,39.13,45.62,0.00,0.00,1.16,1.16,"",0,0.0,-4,-3.6,-417820,-8.2,0,0.0,0,0.0,-46,-5.2,-2394,-5.2
"05000","5","325","55","0","1999","A","","Arkansas -- Statewide","Private","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",124,6456,259994113,0,0,774,40274,"",0.85,0.75,0.70,0.00,0.00,0.94,0.94,"",1,0.8,-150,-2.3,2749611,1.1,0,0.0,0,0.0,25,3.3,1330,3.4
"05007","5","325","75","0","1999","A","","Benton County, Arkansas","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,58,1940584,0,0,642,33362,"",0.90,0.11,0.07,0.00,0.00,0.65,0.65,"",1,20.0,-2,-3.3,-135975,-6.5,0,0.0,0,0.0,-21,-3.2,-1104,-3.2
"05035","5","325","75","0","1999","A","","Crittenden County, Arkansas","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,285,12413183,0,0,837,43542,"",2.12,2.15,2.45,0.00,0.00,1.14,1.14,"",0,0.0,13,4.8,1546969,14.2,0,0.0,0,0.0,69,9.0,3605,9.0
"05069","1","325","75","0","1999","A","","Jefferson County, Arkansas","Federal Government","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,107,4678157,0,0,838,43585,"",1446.72,1247.65,1459.20,0.00,0.00,1.17,1.16,"",0,0.0,-4,-3.6,-417820,-8.2,0,0.0,0,0.0,-46,-5.2,-2394,-5.2
"05069","5","325","75","0","1999","A","","Jefferson County, Arkansas","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,45,1786212,0,0,761,39547,"",1.10,0.17,0.15,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119","5","325","75","0","1999","A","","Pulaski County, Arkansas","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",28,1679,59772165,0,0,685,35595,"",1.09,0.89,0.63,0.00,0.00,0.71,0.71,"",0,0.0,-91,-5.1,-2282951,-3.7,0,0.0,0,0.0,11,1.6,544,1.6
"05139","5","325","75","0","1999","A","","Union County, Arkansas","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,974,47699933,0,0,942,48965,"",2.84,6.01,6.78,0.00,0.00,1.13,1.13,"",0,0.0,-15,-1.5,-240330,-0.5,0,0.0,0,0.0,10,1.1,496,1.0
"05143","5","325","75","0","1999","A","","Washington County, Arkansas","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,44,1424644,0,0,626,32563,"",0.70,0.07,0.05,0.00,0.00,0.76,0.76,"",-1,-14.3,-3,-6.4,131561,10.2,0,0.0,0,0.0,96,18.1,5002,18.1
"06000","5","325","55","0","1999","A","","California -- Statewide","Private","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1964,80178,4831408072,0,0,1159,60258,"",0.92,0.72,0.68,0.00,0.00,0.95,0.95,"",8,0.4,-779,-1.0,706652032,17.1,0,0.0,0,0.0,179,18.3,9308,18.3
"06001","5","325","75","0","1999","A","","Alameda County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",103,4360,319061229,0,0,1407,73188,"",1.13,0.83,0.88,0.00,0.00,1.05,1.05,"",4,4.0,49,1.1,-8371515,-2.6,0,0.0,0,0.0,-54,-3.7,-2771,-3.6
"06007","5","325","75","0","1999","A","","Butte County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,102,3964154,0,0,749,38960,"",0.29,0.19,0.18,0.00,0.00,0.96,0.96,"",-2,-33.3,5,5.2,421308,11.9,0,0.0,0,0.0,47,6.7,2467,6.8
"06013","5","325","75","0","1999","A","","Contra Costa County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",52,2993,192343258,0,0,1236,64255,"",0.98,1.17,1.09,0.00,0.00,0.93,0.93,"",-3,-5.5,-108,-3.5,-7525053,-3.8,0,0.0,0,0.0,-4,-0.3,-201,-0.3
"06019","5","325","75","0","1999","A","","Fresno County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,421,10660003,0,0,487,25341,"",0.43,0.17,0.10,0.00,0.00,0.60,0.60,"",-4,-14.8,58,16.0,6406,0.1,0,0.0,0,0.0,-77,-13.7,-3974,-13.6
"06023","5","325","75","0","1999","A","","Humboldt County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,42,1054218,0,0,481,25001,"",0.36,0.11,0.07,0.00,0.00,0.62,0.62,"",0,0.0,4,10.5,95505,10.0,0,0.0,0,0.0,-11,-2.2,-565,-2.2
"06029","5","325","75","0","1999","A","","Kern County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,118,4145280,0,0,676,35154,"",0.50,0.07,0.05,0.00,0.00,0.78,0.78,"",-1,-6.2,-38,-24.4,-878341,-17.5,0,0.0,0,0.0,55,8.9,2848,8.8
"06037","5","325","75","0","1999","A","","Los Angeles County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",624,26014,1078329649,0,0,797,41451,"",1.00,0.83,0.54,0.00,0.00,0.65,0.65,"",-2,-0.3,-300,-1.1,29489186,2.8,0,0.0,0,0.0,30,3.9,1592,4.0
"06041","5","325","75","0","1999","A","","Marin County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,59,2878797,0,0,941,48931,"",0.46,0.07,0.05,0.00,0.00,0.74,0.74,"",-3,-21.4,-16,-21.3,-734169,-20.3,0,0.0,0,0.0,12,1.3,597,1.2
"06053","5","325","75","0","1999","A","","Monterey County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,214,10821226,0,0,973,50606,"",0.69,0.17,0.18,0.00,0.00,1.05,1.05,"",2,14.3,-23,-9.7,-930990,-7.9,0,0.0,0,0.0,18,1.9,931,1.9
"06059","5","325","75","0","1999","A","","Orange County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",233,9475,522592111,0,0,1061,55153,"",1.38,0.91,0.79,0.00,0.00,0.87,0.87,"",-1,-0.4,206,2.2,63805716,13.9,0,0.0,0,0.0,109,11.4,5654,11.4
"06065","5","325","75","0","1999","A","","Riverside County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",53,2104,85105816,0,0,778,40456,"",0.86,0.61,0.52,0.00,0.00,0.86,0.86,"",-2,-3.6,143,7.3,13031611,18.1,0,0.0,0,0.0,71,10.0,3707,10.1
"06067","5","325","75","0","1999","A","","Sacramento County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,702,55547903,0,0,1522,79119,"",0.46,0.16,0.21,0.00,0.00,1.33,1.33,"",1,2.7,-1577,-69.2,-74853899,-57.4,0,0.0,0,0.0,422,38.4,21896,38.3
"06071","5","325","75","0","1999","A","","San Bernardino County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",80,2197,89705095,0,0,785,40834,"",1.17,0.55,0.46,0.00,0.00,0.84,0.84,"",5,6.7,19,0.9,-354103,-0.4,0,0.0,0,0.0,-10,-1.3,-520,-1.3
"06073","5","325","75","0","1999","A","","San Diego County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",168,5950,294634049,0,0,952,49516,"",1.08,0.66,0.56,0.00,0.00,0.84,0.84,"",15,9.8,232,4.1,21248101,7.8,0,0.0,0,0.0,33,3.6,1702,3.6
"06075","5","325","75","0","1999","A","","San Francisco County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,176,12709518,0,0,1387,72145,"",0.24,0.04,0.03,0.00,0.00,0.83,0.83,"",-1,-4.5,-3,-1.7,-72312,-0.6,0,0.0,0,0.0,11,0.8,605,0.8
"06077","5","325","75","0","1999","A","","San Joaquin County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,367,14838473,0,0,777,40404,"",0.63,0.24,0.21,0.00,0.00,0.86,0.86,"",0,0.0,-30,-7.6,-926765,-5.9,0,0.0,0,0.0,12,1.6,643,1.6
"06079","5","325","75","0","1999","A","","San Luis Obispo County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,458,17471881,0,0,734,38162,"",0.78,0.64,0.54,0.00,0.00,0.84,0.84,"",0,0.0,-9,-1.9,1601044,10.1,0,0.0,0,0.0,80,12.2,4141,12.2
"06081","5","325","75","0","1999","A","","San Mateo County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",51,3839,736187065,0,0,3688,191753,"",1.03,1.38,3.03,0.00,0.00,2.20,2.20,"",0,0.0,-154,-3.9,388069838,111.5,0,0.0,0,0.0,2011,119.9,104567,119.9
"06083","5","325","75","0","1999","A","","Santa Barbara County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,261,10785234,0,0,794,41283,"",0.50,0.20,0.16,0.00,0.00,0.81,0.81,"",2,18.2,13,5.2,1306888,13.8,0,0.0,0,0.0,59,8.0,3051,8.0
"06085","5","325","75","0","1999","A","","Santa Clara County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",107,5250,338131660,0,0,1238,64401,"",1.02,0.69,0.43,0.00,0.00,0.62,0.62,"",-4,-3.6,100,1.9,12498381,3.8,0,0.0,0,0.0,22,1.8,1170,1.9
"06087","5","325","75","0","1999","A","","Santa Cruz County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,566,18973793,0,0,644,33498,"",0.79,0.73,0.46,0.00,0.00,0.64,0.64,"",0,0.0,-12,-2.1,470534,2.5,0,0.0,0,0.0,28,4.5,1476,4.6
"06095","5","325","75","0","1999","A","","Solano County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,1164,62128313,0,0,1026,53360,"",1.23,1.33,1.44,0.00,0.00,1.08,1.08,"",2,10.5,285,32.4,23732929,61.8,0,0.0,0,0.0,186,22.1,9696,22.2
"06097","5","325","75","0","1999","A","","Sonoma County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,296,10135845,0,0,659,34281,"",0.64,0.21,0.13,0.00,0.00,0.63,0.63,"",2,10.5,22,8.0,985294,10.8,0,0.0,0,0.0,17,2.6,915,2.7
"06099","5","325","75","0","1999","A","","Stanislaus County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,135,4092078,0,0,583,30293,"",0.42,0.11,0.07,0.00,0.00,0.67,0.67,"",0,0.0,20,17.4,241619,6.3,0,0.0,0,0.0,-60,-9.3,-3165,-9.5
"06107","5","325","75","0","1999","A","","Tulare County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,125,3427649,0,0,527,27385,"",0.83,0.13,0.09,0.00,0.00,0.71,0.71,"",0,0.0,49,64.5,1051603,44.3,0,0.0,0,0.0,-78,-12.9,-4051,-12.9
"06111","5","325","75","0","1999","A","","Ventura County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",48,6904,666768342,0,0,1857,96572,"",1.22,3.21,5.42,0.00,0.00,1.68,1.69,"",1,2.1,1538,28.7,223360066,50.4,0,0.0,0,0.0,268,16.9,13931,16.9
"06113","5","325","75","0","1999","A","","Yolo County, California","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,679,31329142,0,0,888,46151,"",1.45,1.05,0.89,0.00,0.00,0.85,0.84,"",0,0.0,31,4.8,2735257,9.6,0,0.0,0,0.0,40,4.7,2047,4.6
"08000","1","325","55","0","1999","A","","Colorado -- Statewide","Federal Government","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,107,5882218,0,0,1060,55146,"",18.36,20.73,22.46,0.00,0.00,1.09,1.09,"",0,0.0,-20,-15.7,-822115,-12.3,0,0.0,0,0.0,45,4.4,2356,4.5
"08000","5","325","55","0","1999","A","","Colorado -- Statewide","Private","Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",191,7277,322766007,0,0,853,44352,"",0.67,0.45,0.34,0.00,0.00,0.77,0.77,"",7,3.8,303,4.3,2763196,0.9,0,0.0,0,0.0,-29,-3.3,-1532,-3.3
"08001","1","325","75","0","1999","A","","Adams County, Colorado","Federal Government","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,107,5882218,0,0,1060,55146,"",348.85,314.31,365.98,0.00,0.00,1.17,1.17,"",0,0.0,-20,-15.7,-822115,-12.3,0,0.0,0,0.0,45,4.4,2356,4.5
"08001","5","325","75","0","1999","A","","Adams County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,409,16558730,0,0,778,40478,"",0.99,0.38,0.28,0.00,0.00,0.75,0.75,"",1,7.1,135,49.3,6889510,71.3,0,0.0,0,0.0,98,14.4,5135,14.5
"08005","5","325","75","0","1999","A","","Arapahoe County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,156,5076709,0,0,626,32560,"",0.41,0.07,0.03,0.00,0.00,0.44,0.44,"",2,16.7,91,140.0,2239696,78.9,0,0.0,0,0.0,-209,-25.0,-10864,-25.0
"08013","5","325","75","0","1999","A","","Boulder County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,2124,108211339,0,0,980,50949,"",1.14,1.64,1.23,0.00,0.00,0.75,0.75,"",-4,-13.3,-131,-5.8,4994439,4.8,0,0.0,0,0.0,100,11.4,5171,11.3
"08031","5","325","75","0","1999","A","","Denver County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",44,890,35799237,0,0,773,40216,"",0.92,0.25,0.15,0.00,0.00,0.60,0.60,"",1,2.3,-116,-11.5,-1949092,-5.2,0,0.0,0,0.0,51,7.1,2696,7.2
"08041","5","325","75","0","1999","A","","El Paso County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,258,7696334,0,0,574,29850,"",0.44,0.14,0.08,0.00,0.00,0.57,0.57,"",0,0.0,38,17.3,1775663,30.0,0,0.0,0,0.0,57,11.0,2989,11.1
"08059","5","325","75","0","1999","A","","Jefferson County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,259,9985543,0,0,742,38591,"",0.80,0.16,0.11,0.00,0.00,0.66,0.66,"",3,13.0,-16,-5.8,-6181,-0.1,0,0.0,0,0.0,44,6.3,2312,6.4
"08069","5","325","75","0","1999","A","","Larimer County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,366,16569747,0,0,870,45231,"",0.88,0.42,0.37,0.00,0.00,0.89,0.89,"",2,16.7,-83,-18.5,-4803994,-22.5,0,0.0,0,0.0,-46,-5.0,-2390,-5.0
"08123","5","325","75","0","1999","A","","Weld County, Colorado","Private","Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,2314,105390102,0,0,876,45536,"",0.87,4.46,4.38,0.00,0.00,0.98,0.98,"",0,0.0,406,21.3,-5068477,-4.6,0,0.0,0,0.0,-237,-21.3,-12356,-21.3
