"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","327","55","0","1999","A","","Alabama -- Statewide","Private","Nonmetallic mineral product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",335,9267,328829142,0,0,682,35485,"",1.32,1.15,1.33,0.00,0.00,1.16,1.16,"",4,1.2,-179,-1.9,8751983,2.7,0,0.0,0,0.0,30,4.6,1600,4.7
"01003","5","327","75","0","1999","A","","Baldwin County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,241,6607317,0,0,528,27454,"",1.12,1.17,1.35,0.00,0.00,1.16,1.16,"",1,11.1,-48,-16.6,-863596,-11.6,0,0.0,0,0.0,31,6.2,1603,6.2
"01015","5","327","75","0","1999","A","","Calhoun County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,93,2467826,0,0,510,26536,"",1.01,0.45,0.44,0.00,0.00,0.99,0.99,"",0,0.0,11,13.4,467392,23.4,0,0.0,0,0.0,38,8.1,2016,8.2
"01055","5","327","75","0","1999","A","","Etowah County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,312,10054857,0,0,620,32244,"",1.80,1.93,2.32,0.00,0.00,1.20,1.20,"",0,0.0,-34,-9.8,-485421,-4.6,0,0.0,0,0.0,33,5.6,1737,5.7
"01059","5","327","75","0","1999","A","","Franklin County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,18,527865,0,0,567,29462,"",2.00,0.36,0.45,0.00,0.00,1.24,1.24,"",0,0.0,-1,-5.3,47805,10.0,0,0.0,0,0.0,77,15.7,3972,15.6
"01069","5","327","75","0","1999","A","","Houston County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,72,2446251,0,0,656,34134,"",1.21,0.35,0.43,0.00,0.00,1.25,1.25,"",0,0.0,-3,-4.0,219154,9.8,0,0.0,0,0.0,85,14.9,4439,14.9
"01071","5","327","75","0","1999","A","","Jackson County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,60,1426023,0,0,459,23866,"",2.72,0.79,0.66,0.00,0.00,0.84,0.84,"",-1,-14.3,-1,-1.6,-111932,-7.3,0,0.0,0,0.0,-27,-5.6,-1415,-5.6
"01073","5","327","75","0","1999","A","","Jefferson County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",59,1557,59648766,0,0,737,38314,"",1.38,0.94,1.02,0.00,0.00,1.08,1.08,"",0,0.0,-86,-5.2,-1068352,-1.8,0,0.0,0,0.0,26,3.7,1363,3.7
"01081","5","327","75","0","1999","A","","Lee County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,131,7565526,0,0,1107,57569,"",1.02,0.76,1.63,0.00,0.00,2.15,2.14,"",1,25.0,21,19.1,1740985,29.9,0,0.0,0,0.0,84,8.2,4377,8.2
"01089","5","327","75","0","1999","A","","Madison County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,1005,42952400,0,0,822,42746,"",0.77,1.56,1.77,0.00,0.00,1.14,1.14,"",2,18.2,-14,-1.4,-2427346,-5.3,0,0.0,0,0.0,-35,-4.1,-1809,-4.1
"01095","5","327","75","0","1999","A","","Marshall County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,127,3605156,0,0,546,28406,"",2.39,0.82,0.94,0.00,0.00,1.15,1.15,"",-1,-8.3,-9,-6.6,-1260861,-25.9,0,0.0,0,0.0,-142,-20.6,-7374,-20.6
"01097","5","327","75","0","1999","A","","Mobile County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,707,28471432,0,0,774,40266,"",0.89,0.97,1.28,0.00,0.00,1.32,1.32,"",1,5.3,-10,-1.4,2239083,8.5,0,0.0,0,0.0,70,9.9,3684,10.1
"01101","5","327","75","0","1999","A","","Montgomery County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,254,9382551,0,0,710,36927,"",0.66,0.44,0.54,0.00,0.00,1.21,1.21,"",0,0.0,3,1.2,984429,11.7,0,0.0,0,0.0,65,10.1,3413,10.2
"01103","5","327","75","0","1999","A","","Morgan County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,180,5651030,0,0,604,31409,"",1.24,0.85,0.86,0.00,0.00,1.02,1.02,"",1,14.3,16,9.8,526665,10.3,0,0.0,0,0.0,4,0.7,226,0.7
"01115","5","327","75","0","1999","A","","St. Clair County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,238,10242755,0,0,829,43112,"",1.92,4.23,7.11,0.00,0.00,1.68,1.68,"",0,0.0,-16,-6.3,729373,7.7,0,0.0,0,0.0,108,15.0,5645,15.1
"01117","5","327","75","0","1999","A","","Shelby County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,765,30736219,0,0,773,40182,"",2.15,3.82,4.60,0.00,0.00,1.21,1.21,"",0,0.0,40,5.5,1146495,3.9,0,0.0,0,0.0,-12,-1.5,-645,-1.6
"01121","5","327","75","0","1999","A","","Talladega County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,66,1791078,0,0,519,27001,"",2.76,0.60,0.60,0.00,0.00,0.99,0.99,"",1,12.5,-16,-19.5,-522109,-22.6,0,0.0,0,0.0,-27,-4.9,-1382,-4.9
"01125","5","327","75","0","1999","A","","Tuscaloosa County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,406,11199803,0,0,531,27597,"",1.56,1.24,1.11,0.00,0.00,0.89,0.89,"",0,0.0,-21,-4.9,442313,4.1,0,0.0,0,0.0,46,9.5,2389,9.5
"01127","5","327","75","0","1999","A","","Walker County, Alabama","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,55,1182299,0,0,415,21562,"",1.84,0.70,0.57,0.00,0.00,0.82,0.82,"",2,50.0,7,14.6,102651,9.5,0,0.0,0,0.0,-19,-4.4,-1009,-4.5
"02020","5","327","75","0","1999","A","","Anchorage Borough, Alaska","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,204,9742044,0,0,919,47814,"",0.85,0.37,0.46,0.00,0.00,1.23,1.23,"",-2,-12.5,8,4.1,879195,9.9,0,0.0,0,0.0,50,5.8,2615,5.8
"02090","5","327","75","0","1999","A","","Fairbanks North Star Borough, Alaska","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,42,1177324,0,0,541,28143,"",1.32,0.31,0.25,0.00,0.00,0.81,0.81,"",1,20.0,3,7.7,63878,5.7,0,0.0,0,0.0,-15,-2.7,-778,-2.7
"04000","5","327","55","0","1999","A","","Arizona -- Statewide","Private","Nonmetallic mineral product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",243,8994,329121973,0,0,704,36594,"",0.94,0.97,1.07,0.00,0.00,1.10,1.10,"",-4,-1.6,522,6.2,36288756,12.4,0,0.0,0,0.0,39,5.9,2027,5.9
"04003","5","327","75","0","1999","A","","Cochise County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,181,4831345,0,0,513,26680,"",1.87,1.39,1.39,0.00,0.00,1.00,1.00,"",-1,-10.0,-6,-3.2,-276658,-5.4,0,0.0,0,0.0,-13,-2.5,-648,-2.4
"04013","5","327","75","0","1999","A","","Maricopa County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",142,6559,248844638,0,0,730,37942,"",0.86,1.02,1.09,0.00,0.00,1.07,1.07,"",4,2.9,329,5.3,24489664,10.9,0,0.0,0,0.0,38,5.5,1932,5.4
"04015","5","327","75","0","1999","A","","Mohave County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,260,8956229,0,0,662,34436,"",1.42,1.58,2.25,0.00,0.00,1.42,1.42,"",1,11.1,21,8.8,1758347,24.4,0,0.0,0,0.0,82,14.1,4298,14.3
"04017","5","327","75","0","1999","A","","Navajo County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,56,1673922,0,0,575,29891,"",1.68,0.54,0.63,0.00,0.00,1.17,1.17,"",-3,-33.3,-4,-6.7,-75476,-4.3,0,0.0,0,0.0,16,2.9,815,2.8
"04019","5","327","75","0","1999","A","","Pima County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",42,1139,39101828,0,0,660,34345,"",1.11,0.83,0.93,0.00,0.00,1.12,1.12,"",-3,-6.7,76,7.1,6605567,20.3,0,0.0,0,0.0,72,12.2,3765,12.3
"04021","5","327","75","0","1999","A","","Pinal County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,244,7151498,0,0,563,29259,"",1.49,1.57,1.56,0.00,0.00,1.00,1.00,"",0,0.0,110,82.1,4315841,152.2,0,0.0,0,0.0,157,38.7,8163,38.7
"04025","5","327","75","0","1999","A","","Yavapai County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,320,12790566,0,0,768,39919,"",1.03,1.62,2.64,0.00,0.00,1.63,1.63,"",1,11.1,28,9.6,513401,4.2,0,0.0,0,0.0,-40,-5.0,-2102,-5.0
"04027","5","327","75","0","1999","A","","Yuma County, Arizona","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,74,1603306,0,0,414,21545,"",0.67,0.32,0.32,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,57449,3.7,0,0.0,0,0.0,10,2.5,513,2.4
"05000","5","327","55","0","1999","A","","Arkansas -- Statewide","Private","Nonmetallic mineral product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",246,5236,146917125,0,0,540,28060,"",1.50,1.09,1.11,0.00,0.00,1.02,1.02,"",4,1.7,98,1.9,4755212,3.3,0,0.0,0,0.0,8,1.5,390,1.4
"05005","5","327","75","0","1999","A","","Baxter County, Arkansas","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,78,1598034,0,0,394,20488,"",3.12,1.30,1.12,0.00,0.00,0.86,0.86,"",1,14.3,0,0.0,108970,7.3,0,0.0,0,0.0,27,7.4,1418,7.4
"05007","5","327","75","0","1999","A","","Benton County, Arkansas","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,180,4954438,0,0,530,27563,"",1.60,0.63,0.52,0.00,0.00,0.84,0.84,"",1,9.1,-2,-1.1,112574,2.3,0,0.0,0,0.0,19,3.7,1008,3.8
