"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","311","55","0","2000","A","","Alabama -- Statewide","Private","Food manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",364,36501,834988713,0,0,440,22876,"",0.83,1.62,1.44,0.00,0.00,0.88,0.89,"",-22,-5.7,-618,-1.7,19512528,2.4,0,0.0,0,0.0,18,4.3,907,4.1
"01003","5","311","75","0","2000","A","","Baldwin County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,315,7463147,0,0,456,23724,"",0.57,0.54,0.63,0.00,0.00,1.17,1.17,"",0,0.0,21,7.1,1216204,19.5,0,0.0,0,0.0,47,11.5,2440,11.5
"01015","5","311","75","0","2000","A","","Calhoun County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,267,8172086,0,0,588,30569,"",0.89,0.47,0.64,0.00,0.00,1.36,1.36,"",-1,-10.0,-19,-6.6,-388057,-4.5,0,0.0,0,0.0,12,2.1,621,2.1
"01031","5","311","75","0","2000","A","","Coffee County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,1822,36193641,0,0,382,19867,"",1.31,10.60,11.14,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","311","75","0","2000","A","","Cullman County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,601,12511257,0,0,401,20832,"",2.27,1.92,1.81,0.00,0.00,0.94,0.94,"",0,0.0,1,0.2,42044,0.3,0,0.0,0,0.0,1,0.2,44,0.2
"01045","5","311","75","0","2000","A","","Dale County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,40,657908,0,0,318,16517,"",1.37,0.19,0.12,0.00,0.00,0.64,0.64,"",0,0.0,-1,-2.4,54344,9.0,0,0.0,0,0.0,35,12.4,1826,12.4
"01055","5","311","75","0","2000","A","","Etowah County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,1544,33986327,0,0,423,22013,"",0.94,3.44,3.36,0.00,0.00,0.97,0.98,"",-1,-11.1,-142,-8.4,-1785671,-5.0,0,0.0,0,0.0,15,3.7,798,3.8
"01069","5","311","75","0","2000","A","","Houston County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,1551,36172584,0,0,448,23320,"",0.97,2.73,2.70,0.00,0.00,0.99,0.99,"",0,0.0,20,1.3,1543630,4.5,0,0.0,0,0.0,13,3.0,697,3.1
"01073","5","311","75","0","2000","A","","Jefferson County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",50,4064,108920382,0,0,515,26802,"",0.68,0.88,0.78,0.00,0.00,0.89,0.89,"",-5,-9.1,-167,-3.9,28090,0.0,0,0.0,0,0.0,20,4.0,1065,4.1
"01089","5","311","75","0","2000","A","","Madison County, Alabama","Private","Food manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,566,15502200,0,0,527,27413,"",0.38,0.31,0.26,0.00,0.00,0.86,0.86,"",0,0.0,31,5.8,490170,3.3,0,0.0,0,0.0,-13,-2.4,-673,-2.4
