"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","334","55","0","2000","A","","Alabama -- Statewide","Private","Computer and electronic product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",159,18369,722917126,0,0,757,39354,"",0.49,0.70,0.47,0.00,0.00,0.67,0.67,"",4,2.6,-97,-0.5,15010087,2.1,0,0.0,0,0.0,20,2.7,1019,2.7
"01073","5","334","75","0","2000","A","","Jefferson County, Alabama","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,172,7663050,0,0,858,44617,"",0.22,0.03,0.02,0.00,0.00,0.65,0.65,"",0,0.0,-36,-17.3,-1201048,-13.5,0,0.0,0,0.0,37,4.5,1950,4.6
"01089","5","334","75","0","2000","A","","Madison County, Alabama","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",66,10939,466283931,0,0,820,42625,"",3.07,5.10,3.02,0.00,0.00,0.59,0.59,"",7,11.9,565,5.4,23804058,5.4,0,0.0,0,0.0,0,0.0,-28,-0.1
"01097","5","334","75","0","2000","A","","Mobile County, Alabama","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,939,45787240,0,0,937,48744,"",0.46,0.40,0.34,0.00,0.00,0.84,0.85,"",0,0.0,8,0.9,8616537,23.2,0,0.0,0,0.0,169,22.0,8808,22.1
"01103","5","334","75","0","2000","A","","Morgan County, Alabama","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,90,3149688,0,0,672,34964,"",0.74,0.13,0.08,0.00,0.00,0.60,0.60,"",-2,-25.0,-203,-69.3,-3907354,-55.4,0,0.0,0,0.0,209,45.1,10899,45.3
"01117","5","334","75","0","2000","A","","Shelby County, Alabama","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,218,6818049,0,0,603,31347,"",0.52,0.34,0.17,0.00,0.00,0.49,0.49,"",-1,-16.7,-18,-7.6,-554976,-7.5,0,0.0,0,0.0,2,0.3,72,0.2
"04000","5","334","55","0","2000","A","","Arizona -- Statewide","Private","Computer and electronic product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",420,57886,4199998894,0,0,1395,72556,"",1.26,1.87,2.07,0.00,0.00,1.11,1.11,"",-7,-1.6,1480,2.6,690561146,19.7,0,0.0,0,0.0,199,16.6,10339,16.6
"04013","5","334","75","0","2000","A","","Maricopa County, Arizona","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",318,51152,3786295235,0,0,1423,74020,"",1.49,2.37,2.49,0.00,0.00,1.05,1.05,"",-9,-2.8,610,1.2,589881619,18.5,0,0.0,0,0.0,207,17.0,10777,17.0
"04019","5","334","75","0","2000","A","","Pima County, Arizona","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",59,5991,386284087,0,0,1240,64477,"",1.23,1.31,1.44,0.00,0.00,1.10,1.10,"",-2,-3.3,827,16.0,97940352,34.0,0,0.0,0,0.0,166,15.5,8639,15.5
"04023","5","334","75","0","2000","A","","Santa Cruz County, Arizona","Private","Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,105,3453468,0,0,633,32916,"",1.96,0.64,0.38,0.00,0.00,0.60,0.60,"",0,0.0,5,5.0,186081,5.7,0,0.0,0,0.0,5,0.8,269,0.8
