"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","335","55","0","2000","A","","Alabama -- Statewide","Private","Electrical equipment and appliance mfg.","State, NAICS 3-digit -- by ownership sector","All establishment sizes",108,7631,240345226,0,0,606,31496,"",0.94,0.89,0.84,0.00,0.00,0.94,0.94,"",-3,-2.7,-184,-2.4,-8184488,-3.3,0,0.0,0,0.0,-6,-1.0,-307,-1.0
"01073","5","335","75","0","2000","A","","Jefferson County, Alabama","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,779,29500705,0,0,728,37870,"",1.25,0.44,0.43,0.00,0.00,0.96,0.96,"",-1,-4.0,32,4.3,923209,3.2,0,0.0,0,0.0,-8,-1.1,-382,-1.0
"01089","5","335","75","0","2000","A","","Madison County, Alabama","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,465,17900918,0,0,741,38538,"",1.31,0.66,0.61,0.00,0.00,0.93,0.93,"",-3,-23.1,-64,-12.1,-1183216,-6.2,0,0.0,0,0.0,47,6.8,2451,6.8
"01097","5","335","75","0","2000","A","","Mobile County, Alabama","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,357,7959807,0,0,429,22296,"",0.70,0.46,0.31,0.00,0.00,0.67,0.67,"",0,0.0,83,30.3,1419169,21.7,0,0.0,0,0.0,-30,-6.5,-1582,-6.6
"04000","5","335","55","0","2000","A","","Arizona -- Statewide","Private","Electrical equipment and appliance mfg.","State, NAICS 3-digit -- by ownership sector","All establishment sizes",108,3237,115922006,0,0,689,35816,"",0.91,0.32,0.30,0.00,0.00,0.95,0.95,"",0,0.0,407,14.4,17878408,18.2,0,0.0,0,0.0,23,3.5,1175,3.4
"04013","5","335","75","0","2000","A","","Maricopa County, Arizona","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",73,2202,72289240,0,0,631,32828,"",0.97,0.31,0.25,0.00,0.00,0.81,0.81,"",0,0.0,297,15.6,12257285,20.4,0,0.0,0,0.0,25,4.1,1319,4.2
"04019","5","335","75","0","2000","A","","Pima County, Arizona","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,624,26963208,0,0,831,43187,"",0.94,0.42,0.53,0.00,0.00,1.28,1.28,"",0,0.0,84,15.6,3747414,16.1,0,0.0,0,0.0,4,0.5,182,0.4
"05000","5","335","55","0","2000","A","","Arkansas -- Statewide","Private","Electrical equipment and appliance mfg.","State, NAICS 3-digit -- by ownership sector","All establishment sizes",70,15351,469983400,0,0,589,30615,"",0.96,2.98,2.99,0.00,0.00,1.01,1.01,"",-4,-5.4,-271,-1.7,-1607766,-0.3,0,0.0,0,0.0,8,1.4,426,1.4
"05007","5","335","75","0","2000","A","","Benton County, Arkansas","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,1560,52428218,0,0,646,33610,"",1.76,4.89,4.42,0.00,0.00,0.90,0.91,"",0,0.0,-21,-1.3,2386720,4.8,0,0.0,0,0.0,37,6.1,1950,6.2
"05031","5","335","75","0","2000","A","","Craighead County, Arkansas","Private","Electrical equipment and appliance mfg.","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,1067,29576871,0,0,533,27709,"",3.70,5.95,5.67,0.00,0.00,0.95,0.95,"",0,0.0,-120,-10.1,-3384682,-10.3,0,0.0,0,0.0,-1,-0.2,-64,-0.2
