"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","336","55","0","2000","A","","Alabama -- Statewide","Private","Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",283,33053,1490630103,0,0,867,45098,"",1.23,1.11,1.23,0.00,0.00,1.10,1.10,"",5,1.8,423,1.3,38237246,2.6,0,0.0,0,0.0,11,1.3,587,1.3
"01003","5","336","75","0","2000","A","","Baldwin County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,576,22114896,0,0,739,38405,"",0.85,0.74,0.89,0.00,0.00,1.20,1.20,"",0,0.0,39,7.3,65420,0.3,0,0.0,0,0.0,-51,-6.5,-2687,-6.5
"01015","5","336","75","0","2000","A","","Calhoun County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,1952,61953287,0,0,610,31732,"",1.71,2.60,2.31,0.00,0.00,0.89,0.89,"",0,0.0,121,6.6,2356505,4.0,0,0.0,0,0.0,-16,-2.6,-815,-2.5
"01033","5","336","75","0","2000","A","","Colbert County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,118,2472834,0,0,402,20897,"",2.41,0.34,0.18,0.00,0.00,0.53,0.53,"",1,16.7,-10,-7.8,-220716,-8.2,0,0.0,0,0.0,-1,-0.2,-78,-0.4
"01043","5","336","75","0","2000","A","","Cullman County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,1137,33040288,0,0,559,29053,"",2.03,2.75,2.29,0.00,0.00,0.83,0.83,"",0,0.0,115,11.3,3555667,12.1,0,0.0,0,0.0,4,0.7,191,0.7
"01045","5","336","75","0","2000","A","","Dale County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,3024,110366011,0,0,702,36502,"",3.13,11.05,9.85,0.00,0.00,0.89,0.89,"",0,0.0,86,2.9,4254804,4.0,0,0.0,0,0.0,7,1.0,380,1.1
"01055","5","336","75","0","2000","A","","Etowah County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,729,17023572,0,0,449,23365,"",2.24,1.23,0.81,0.00,0.00,0.65,0.66,"",3,42.9,41,6.0,1921681,12.7,0,0.0,0,0.0,27,6.4,1404,6.4
"01069","5","336","75","0","2000","A","","Houston County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,72,1768046,0,0,474,24642,"",1.34,0.10,0.06,0.00,0.00,0.66,0.66,"",1,14.3,-43,-37.4,-1279159,-42.0,0,0.0,0,0.0,-35,-6.9,-1836,-6.9
"01073","5","336","75","0","2000","A","","Jefferson County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,2031,82317805,0,0,779,40527,"",0.65,0.33,0.28,0.00,0.00,0.85,0.85,"",-3,-10.7,5,0.2,5532971,7.2,0,0.0,0,0.0,50,6.9,2630,6.9
"01077","5","336","75","0","2000","A","","Lauderdale County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,56,994587,0,0,340,17682,"",1.22,0.11,0.06,0.00,0.00,0.54,0.55,"",0,0.0,12,27.3,161962,19.5,0,0.0,0,0.0,-24,-6.6,-1241,-6.6
"01089","5","336","75","0","2000","A","","Madison County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",37,6023,380094089,0,0,1214,63105,"",2.43,2.47,3.09,0.00,0.00,1.25,1.25,"",1,2.8,51,0.9,11329763,3.1,0,0.0,0,0.0,27,2.3,1360,2.2
"01095","5","336","75","0","2000","A","","Marshall County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,729,24605673,0,0,649,33772,"",2.21,1.31,1.32,0.00,0.00,1.01,1.01,"",0,0.0,-104,-12.5,-1774365,-6.7,0,0.0,0,0.0,40,6.6,2097,6.6
"01097","5","336","75","0","2000","A","","Mobile County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",49,2839,108334394,0,0,734,38157,"",2.44,1.06,1.00,0.00,0.00,0.95,0.95,"",-2,-3.9,-100,-3.4,-949012,-0.9,0,0.0,0,0.0,19,2.7,976,2.6
"01103","5","336","75","0","2000","A","","Morgan County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,824,38944542,0,0,909,47258,"",1.91,1.04,1.21,0.00,0.00,1.16,1.16,"",1,10.0,127,18.2,12184808,45.5,0,0.0,0,0.0,170,23.0,8847,23.0
"01121","5","336","75","0","2000","A","","Talladega County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,281,12137832,0,0,832,43272,"",1.37,0.69,0.81,0.00,0.00,1.16,1.17,"",1,33.3,53,23.2,6496491,115.2,0,0.0,0,0.0,356,74.8,18511,74.8
"01125","5","336","75","0","2000","A","","Tuscaloosa County, Alabama","Private","Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,3025,195134373,0,0,1240,64502,"",0.86,2.50,3.94,0.00,0.00,1.57,1.58,"",0,0.0,59,2.0,7605576,4.1,0,0.0,0,0.0,24,2.0,1283,2.0
