"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","337","55","0","2000","A","","Alabama -- Statewide","Private","Furniture and related product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",581,15790,381248759,0,0,464,24144,"",1.55,1.59,1.64,0.00,0.00,1.03,1.03,"",10,1.8,417,2.7,10290332,2.8,0,0.0,0,0.0,0,0.0,13,0.1
"01009","5","337","75","0","2000","A","","Blount County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,67,1079788,0,0,310,16136,"",4.48,1.39,1.23,0.00,0.00,0.88,0.89,"",0,0.0,-7,-9.5,-215218,-16.6,0,0.0,0,0.0,-27,-8.0,-1404,-8.0
"01015","5","337","75","0","2000","A","","Calhoun County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,226,5199298,0,0,443,23048,"",2.10,0.90,1.01,0.00,0.00,1.13,1.13,"",1,5.9,9,4.1,42937,0.8,0,0.0,0,0.0,-14,-3.1,-741,-3.1
"01019","5","337","75","0","2000","A","","Cherokee County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,576760,0,0,832,43257,"",2.94,0.52,1.33,0.00,0.00,2.49,2.49,"",-1,-20.0,1,8.3,271455,88.9,0,0.0,0,0.0,336,67.7,17457,67.7
"01021","5","337","75","0","2000","A","","Chilton County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,183,3577565,0,0,376,19532,"",5.29,4.12,4.58,0.00,0.00,1.11,1.11,"",1,7.7,3,1.7,205114,6.1,0,0.0,0,0.0,17,4.7,839,4.5
"01025","5","337","75","0","2000","A","","Clarke County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,168,3566490,0,0,408,21208,"",2.69,3.18,3.44,0.00,0.00,1.08,1.08,"",2,40.0,-12,-6.7,-63947,-1.8,0,0.0,0,0.0,20,5.2,1039,5.2
"01027","5","337","75","0","2000","A","","Clay County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,1426,33004128,0,0,445,23139,"",6.82,51.71,71.31,0.00,0.00,1.38,1.38,"",0,0.0,75,5.6,1736219,5.6,0,0.0,0,0.0,0,0.0,-5,0.0
"01033","5","337","75","0","2000","A","","Colbert County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,75,1475794,0,0,377,19612,"",2.33,0.65,0.56,0.00,0.00,0.86,0.86,"",0,0.0,4,5.6,166240,12.7,0,0.0,0,0.0,22,6.2,1168,6.3
"01039","5","337","75","0","2000","A","","Covington County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,58,744323,0,0,245,12760,"",2.49,0.84,0.58,0.00,0.00,0.69,0.69,"",0,0.0,11,23.4,137118,22.6,0,0.0,0,0.0,-5,-2.0,-252,-1.9
"01043","5","337","75","0","2000","A","","Cullman County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,337,8737120,0,0,498,25894,"",3.74,2.45,3.17,0.00,0.00,1.29,1.29,"",1,5.0,33,10.9,953779,12.3,0,0.0,0,0.0,6,1.2,291,1.1
"01045","5","337","75","0","2000","A","","Dale County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,76,1434851,0,0,363,18900,"",2.57,0.83,0.67,0.00,0.00,0.80,0.80,"",0,0.0,17,28.8,155490,12.2,0,0.0,0,0.0,-52,-12.5,-2693,-12.5
"01049","5","337","75","0","2000","A","","DeKalb County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,100,1823511,0,0,350,18205,"",1.63,0.78,0.75,0.00,0.00,0.96,0.96,"",0,0.0,3,3.1,91009,5.3,0,0.0,0,0.0,5,1.4,252,1.4
"01051","5","337","75","0","2000","A","","Elmore County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,218,5601364,0,0,495,25734,"",2.81,3.04,4.12,0.00,0.00,1.36,1.36,"",1,11.1,0,0.0,52603,0.9,0,0.0,0,0.0,4,0.8,222,0.9
"01055","5","337","75","0","2000","A","","Etowah County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,130,2516904,0,0,374,19423,"",1.65,0.66,0.62,0.00,0.00,0.95,0.95,"",0,0.0,-12,-8.5,-145193,-5.5,0,0.0,0,0.0,14,3.9,687,3.7
"01059","5","337","75","0","2000","A","","Franklin County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,76,1081669,0,0,274,14232,"",7.03,1.27,1.03,0.00,0.00,0.81,0.81,"",1,7.1,3,4.1,-2349,-0.2,0,0.0,0,0.0,-13,-4.5,-686,-4.6
"01069","5","337","75","0","2000","A","","Houston County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,171,4144912,0,0,465,24204,"",1.34,0.68,0.78,0.00,0.00,1.13,1.13,"",-1,-7.1,21,14.0,287764,7.5,0,0.0,0,0.0,-28,-5.7,-1453,-5.7
"01073","5","337","75","0","2000","A","","Jefferson County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",62,1737,47054330,0,0,521,27089,"",0.99,0.86,0.85,0.00,0.00,0.99,0.99,"",-1,-1.6,-56,-3.1,-73598,-0.2,0,0.0,0,0.0,16,3.2,809,3.1
"01077","5","337","75","0","2000","A","","Lauderdale County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,787,20119981,0,0,491,25552,"",2.11,4.76,6.55,0.00,0.00,1.37,1.37,"",1,7.7,-17,-2.1,-1129930,-5.3,0,0.0,0,0.0,-18,-3.5,-895,-3.4
"01081","5","337","75","0","2000","A","","Lee County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,389,10126537,0,0,501,26049,"",1.54,1.77,2.30,0.00,0.00,1.30,1.30,"",0,0.0,165,73.7,4922391,94.6,0,0.0,0,0.0,53,11.8,2773,11.9
"01089","5","337","75","0","2000","A","","Madison County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,148,3028516,0,0,395,20521,"",0.89,0.18,0.13,0.00,0.00,0.71,0.71,"",0,0.0,-13,-8.1,-281559,-8.5,0,0.0,0,0.0,0,0.0,-38,-0.2
"01093","5","337","75","0","2000","A","","Marion County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,1021,18084477,0,0,341,17707,"",8.21,16.39,14.87,0.00,0.00,0.91,0.91,"",0,0.0,-188,-15.6,-3417464,-15.9,0,0.0,0,0.0,-1,-0.3,-73,-0.4
"01095","5","337","75","0","2000","A","","Marshall County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,252,5768327,0,0,441,22913,"",1.81,1.36,1.62,0.00,0.00,1.19,1.19,"",1,9.1,-93,-27.0,-1224365,-17.5,0,0.0,0,0.0,52,13.4,2659,13.1
"01097","5","337","75","0","2000","A","","Mobile County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",35,520,12074460,0,0,447,23228,"",1.07,0.58,0.58,0.00,0.00,1.01,1.00,"",-1,-2.8,9,1.8,978224,8.8,0,0.0,0,0.0,29,6.9,1510,7.0
"01101","5","337","75","0","2000","A","","Montgomery County, Alabama","Private","Furniture and related product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",31,550,14260170,0,0,499,25939,"",1.42,0.79,0.88,0.00,0.00,1.11,1.11,"",1,3.3,-2,-0.4,1109365,8.4,0,0.0,0,0.0,41,9.0,2108,8.8
