"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","481","55","0","2000","A","","Alabama -- Statewide","Private","Air transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",58,1175,34356687,0,0,562,29244,"",0.68,0.13,0.10,0.00,0.00,0.73,0.73,"",1,1.8,157,15.4,5211777,17.9,0,0.0,0,0.0,12,2.2,619,2.2
"01073","5","481","75","0","2000","A","","Jefferson County, Alabama","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,361,13000582,0,0,692,35996,"",1.39,0.20,0.15,0.00,0.00,0.77,0.77,"",3,17.6,69,23.6,2704311,26.3,0,0.0,0,0.0,14,2.1,745,2.1
"01097","5","481","75","0","2000","A","","Mobile County, Alabama","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,118,3214798,0,0,524,27244,"",1.47,0.15,0.10,0.00,0.00,0.69,0.69,"",0,0.0,17,16.8,49582,1.6,0,0.0,0,0.0,-80,-13.2,-4147,-13.2
"02000","5","481","55","0","2000","A","","Alaska -- Statewide","Private","Air transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",233,6598,270515858,0,0,789,41002,"",16.24,5.11,4.32,0.00,0.00,0.85,0.85,"",-8,-3.3,152,2.4,23101735,9.3,0,0.0,0,0.0,51,6.9,2619,6.8
"02020","5","481","75","0","2000","A","","Anchorage Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",54,3501,174170614,0,0,957,49754,"",10.02,5.75,5.67,0.00,0.00,0.99,0.99,"",-4,-6.9,-3,-0.1,12982824,8.1,0,0.0,0,0.0,72,8.1,3757,8.2
"02050","5","481","75","0","2000","A","","Bethel Census Area, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,262,7406033,0,0,543,28222,"",58.67,9.42,7.51,0.00,0.00,0.80,0.80,"",-1,-6.2,-17,-6.1,-265205,-3.5,0,0.0,0,0.0,14,2.6,710,2.6
"02070","5","481","75","0","2000","A","","Dillingham Census Area, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,57,1406539,0,0,475,24712,"",60.88,5.16,3.16,0.00,0.00,0.61,0.61,"",1,16.7,-6,-9.5,-228482,-14.0,0,0.0,0,0.0,-22,-4.4,-1138,-4.4
"02090","5","481","75","0","2000","A","","Fairbanks North Star Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,842,25197836,0,0,575,29911,"",11.30,5.59,3.63,0.00,0.00,0.65,0.65,"",-2,-10.5,239,39.6,7385732,41.5,0,0.0,0,0.0,6,1.1,347,1.2
"02110","5","481","75","0","2000","A","","Juneau Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,410,15922073,0,0,747,38858,"",10.27,5.26,4.45,0.00,0.00,0.85,0.85,"",0,0.0,19,4.9,2617510,19.7,0,0.0,0,0.0,93,14.2,4867,14.3
"02122","5","481","75","0","2000","A","","Kenai Peninsula Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,108,3434986,0,0,611,31756,"",13.39,1.35,0.92,0.00,0.00,0.68,0.68,"",0,0.0,-8,-6.9,172511,5.3,0,0.0,0,0.0,70,12.9,3631,12.9
"02130","5","481","75","0","2000","A","","Ketchikan Gateway Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,140,4548760,0,0,626,32549,"",15.79,4.22,3.07,0.00,0.00,0.73,0.73,"",2,40.0,-13,-8.5,-101489,-2.2,0,0.0,0,0.0,40,6.8,2089,6.9
"02150","5","481","75","0","2000","A","","Kodiak Island Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,90,2901151,0,0,620,32265,"",19.99,3.49,2.73,0.00,0.00,0.78,0.78,"",0,0.0,-20,-18.2,79,0.0,0,0.0,0,0.0,111,21.8,5771,21.8
"02180","5","481","75","0","2000","A","","Nome Census Area, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,217,6170097,0,0,547,28466,"",40.61,13.64,9.89,0.00,0.00,0.73,0.73,"",1,12.5,5,2.4,609115,11.0,0,0.0,0,0.0,42,8.3,2183,8.3
"02188","5","481","75","0","2000","A","","Northwest Arctic Borough, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,99,3878494,0,0,752,39111,"",66.52,7.42,5.27,0.00,0.00,0.71,0.71,"",-1,-11.1,-12,-10.8,81152,2.1,0,0.0,0,0.0,96,14.6,5003,14.7
"02232","5","481","75","0","2000","A","","Skagway-Hoonah-Angoon Census Area, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,63,1281273,0,0,391,20338,"",60.09,8.87,4.53,0.00,0.00,0.51,0.51,"",0,0.0,5,8.6,24230,1.9,0,0.0,0,0.0,-27,-6.5,-1398,-6.4
"02261","5","481","75","0","2000","A","","Valdez-Cordova Census Area, Alaska","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,40,1271394,0,0,613,31851,"",16.64,1.87,1.13,0.00,0.00,0.61,0.61,"",1,16.7,3,8.1,111014,9.6,0,0.0,0,0.0,11,1.8,560,1.8
"04000","5","481","55","0","2000","A","","Arizona -- Statewide","Private","Air transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",102,15854,691355169,0,0,839,43608,"",1.16,1.52,1.48,0.00,0.00,0.97,0.97,"",8,8.5,-1892,-10.7,-15776038,-2.2,0,0.0,0,0.0,73,9.5,3760,9.4
"04013","5","481","75","0","2000","A","","Maricopa County, Arizona","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",74,13954,642866440,0,0,886,46070,"",1.32,1.92,1.83,0.00,0.00,0.95,0.95,"",5,7.2,-2013,-12.6,-19000366,-2.9,0,0.0,0,0.0,89,11.2,4617,11.1
"04019","5","481","75","0","2000","A","","Pima County, Arizona","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,1726,43108290,0,0,480,24981,"",1.26,1.12,0.70,0.00,0.00,0.62,0.62,"",3,23.1,104,6.4,2789864,6.9,0,0.0,0,0.0,2,0.4,116,0.5
"05000","5","481","55","0","2000","A","","Arkansas -- Statewide","Private","Air transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",54,2060,56184553,0,0,525,27278,"",0.99,0.39,0.29,0.00,0.00,0.75,0.75,"",-2,-3.6,120,6.2,3838803,7.3,0,0.0,0,0.0,6,1.2,291,1.1
"05007","5","481","75","0","2000","A","","Benton County, Arkansas","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,54,1160695,0,0,413,21494,"",1.57,0.16,0.08,0.00,0.00,0.49,0.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119","5","481","75","0","2000","A","","Pulaski County, Arkansas","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,1715,46957520,0,0,526,27375,"",1.47,1.50,0.97,0.00,0.00,0.64,0.65,"",0,0.0,105,6.5,2583359,5.8,0,0.0,0,0.0,-4,-0.8,-195,-0.7
"06000","5","481","55","0","2000","A","","California -- Statewide","Private","Air transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",534,68424,3316579100,0,0,932,48471,"",0.68,0.98,0.83,0.00,0.00,0.85,0.85,"",-22,-4.0,1860,2.8,344840245,11.6,0,0.0,0,0.0,73,8.5,3826,8.6
"06001","5","481","75","0","2000","A","","Alameda County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,4838,243062018,0,0,966,50239,"",0.46,1.48,1.19,0.00,0.00,0.81,0.81,"",2,15.4,236,5.1,38725363,19.0,0,0.0,0,0.0,112,13.1,5839,13.2
"06037","5","481","75","0","2000","A","","Los Angeles County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",175,29692,1494144063,0,0,968,50322,"",0.78,1.54,1.42,0.00,0.00,0.92,0.92,"",-20,-10.3,959,3.3,166330030,12.5,0,0.0,0,0.0,79,8.9,4109,8.9
"06053","5","481","75","0","2000","A","","Monterey County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,151,3764622,0,0,478,24876,"",0.73,0.20,0.12,0.00,0.00,0.60,0.60,"",-1,-14.3,-234,-60.8,-5269233,-58.3,0,0.0,0,0.0,27,6.0,1406,6.0
"06059","5","481","75","0","2000","A","","Orange County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",33,1365,47825497,0,0,674,35033,"",0.56,0.21,0.13,0.00,0.00,0.65,0.65,"",2,6.5,79,6.1,4419650,10.2,0,0.0,0,0.0,25,3.9,1283,3.8
"06065","5","481","75","0","2000","A","","Riverside County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,554,15711605,0,0,545,28348,"",0.45,0.25,0.18,0.00,0.00,0.70,0.70,"",0,0.0,17,3.2,2051844,15.0,0,0.0,0,0.0,56,11.5,2911,11.4
"06067","5","481","75","0","2000","A","","Sacramento County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,849,25154819,0,0,570,29640,"",0.70,0.32,0.18,0.00,0.00,0.57,0.57,"",2,11.1,52,6.5,3613592,16.8,0,0.0,0,0.0,50,9.6,2604,9.6
"06071","5","481","75","0","2000","A","","San Bernardino County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,794,25465415,0,0,617,32059,"",0.77,0.32,0.25,0.00,0.00,0.78,0.78,"",0,0.0,17,2.2,2195004,9.4,0,0.0,0,0.0,41,7.1,2116,7.1
"06073","5","481","75","0","2000","A","","San Diego County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,2429,76182700,0,0,603,31363,"",0.69,0.43,0.26,0.00,0.00,0.61,0.61,"",-5,-11.6,92,3.9,9314621,13.9,0,0.0,0,0.0,53,9.6,2744,9.6
"06075","5","481","75","0","2000","A","","San Francisco County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,2177,69562581,0,0,615,31961,"",1.03,0.76,0.30,0.00,0.00,0.40,0.40,"",-2,-5.9,32,1.5,5691754,8.9,0,0.0,0,0.0,42,7.3,2188,7.3
"06079","5","481","75","0","2000","A","","San Luis Obispo County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,133,3544997,0,0,511,26571,"",0.68,0.30,0.21,0.00,0.00,0.69,0.69,"",0,0.0,15,12.7,504411,16.6,0,0.0,0,0.0,14,2.8,712,2.8
"06081","5","481","75","0","2000","A","","San Mateo County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,21568,1178222307,0,0,1051,54630,"",1.84,12.09,7.15,0.00,0.00,0.59,0.59,"",-1,-3.0,314,1.5,95444764,8.8,0,0.0,0,0.0,71,7.2,3684,7.2
"06083","5","481","75","0","2000","A","","Santa Barbara County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,259,7369088,0,0,548,28489,"",1.51,0.31,0.20,0.00,0.00,0.64,0.64,"",0,0.0,-33,-11.3,-1065746,-12.6,0,0.0,0,0.0,-8,-1.4,-406,-1.4
"06085","5","481","75","0","2000","A","","Santa Clara County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,1964,67467427,0,0,660,34345,"",0.68,0.40,0.13,0.00,0.00,0.33,0.33,"",2,8.7,197,11.1,11376306,20.3,0,0.0,0,0.0,50,8.2,2609,8.2
"06089","5","481","75","0","2000","A","","Shasta County, California","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,112,2157377,0,0,372,19334,"",1.16,0.39,0.20,0.00,0.00,0.52,0.52,"",0,0.0,-24,-17.6,196276,10.0,0,0.0,0,0.0,95,34.3,4949,34.4
"08000","5","481","55","0","2000","A","","Colorado -- Statewide","Private","Air transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",127,16170,779280798,0,0,927,48192,"",1.14,1.58,1.48,0.00,0.00,0.94,0.94,"",5,4.1,1529,10.4,135190465,21.0,0,0.0,0,0.0,81,9.6,4200,9.5
"08005","5","481","75","0","2000","A","","Arapahoe County, Colorado","Private","Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,180,7002258,0,0,747,38847,"",1.27,0.14,0.08,0.00,0.00,0.61,0.61,"",1,6.2,12,7.1,710955,11.3,0,0.0,0,0.0,26,3.6,1380,3.7
