"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","485","55","0","2000","A","","Alabama -- Statewide","Local Government","Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5,137,2703778,0,0,381,19808,"",0.30,0.05,0.03,0.00,0.00,0.60,0.60,"",0,0.0,11,8.7,141971,5.5,0,0.0,0,0.0,-9,-2.3,-484,-2.4
"01000","5","485","55","0","2000","A","","Alabama -- Statewide","Private","Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",98,1407,23624858,0,0,323,16794,"",0.39,0.26,0.27,0.00,0.00,1.02,1.02,"",7,7.7,-71,-4.8,-289359,-1.2,0,0.0,0,0.0,12,3.9,612,3.8
"01073","5","485","75","0","2000","A","","Jefferson County, Alabama","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,422,8168276,0,0,372,19345,"",0.59,0.39,0.39,0.00,0.00,1.01,1.01,"",4,19.0,-35,-7.7,-15567,-0.2,0,0.0,0,0.0,27,7.8,1431,8.0
"01081","5","485","75","0","2000","A","","Lee County, Alabama","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,68,1002548,0,0,285,14798,"",0.62,0.57,0.60,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","485","75","0","2000","A","","Mobile County, Alabama","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,131,1670244,0,0,245,12734,"",0.36,0.27,0.21,0.00,0.00,0.79,0.79,"",1,14.3,5,4.0,-125159,-7.0,0,0.0,0,0.0,-29,-10.6,-1496,-10.5
"01101","5","485","75","0","2000","A","","Montgomery County, Alabama","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,157,3432010,0,0,419,21814,"",0.47,0.42,0.56,0.00,0.00,1.33,1.33,"",0,0.0,-16,-9.2,-176097,-4.9,0,0.0,0,0.0,17,4.2,908,4.3
"02000","5","485","55","0","2000","A","","Alaska -- Statewide","Private","Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",72,1333,22107552,0,0,319,16581,"",1.70,1.70,1.42,0.00,0.00,0.83,0.83,"",-1,-1.4,15,1.1,1309992,6.3,0,0.0,0,0.0,15,4.9,797,5.0
"02020","5","485","75","0","2000","A","","Anchorage Borough, Alaska","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,983,16155739,0,0,316,16437,"",1.07,2.66,2.11,0.00,0.00,0.79,0.79,"",-3,-15.0,1,0.1,810163,5.3,0,0.0,0,0.0,15,5.0,804,5.1
"04000","3","485","55","0","2000","A","","Arizona -- Statewide","Local Government","Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,125,3833390,0,0,590,30688,"",0.36,0.04,0.03,0.00,0.00,0.82,0.82,"",0,0.0,5,4.2,418616,12.3,0,0.0,0,0.0,41,7.5,2132,7.5
"04000","5","485","55","0","2000","A","","Arizona -- Statewide","Private","Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",158,5523,121793551,0,0,424,22052,"",0.61,0.87,1.04,0.00,0.00,1.20,1.20,"",12,8.2,-105,-1.9,1268069,1.1,0,0.0,0,0.0,12,2.9,636,3.0
"04005","5","485","75","0","2000","A","","Coconino County, Arizona","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,101,2054029,0,0,390,20303,"",1.10,0.70,1.01,0.00,0.00,1.44,1.44,"",2,33.3,13,14.8,200065,10.8,0,0.0,0,0.0,-17,-4.2,-845,-4.0
"04013","5","485","75","0","2000","A","","Maricopa County, Arizona","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",71,3108,77015521,0,0,476,24778,"",0.43,0.70,0.88,0.00,0.00,1.25,1.25,"",6,9.2,-354,-10.2,-5034951,-6.1,0,0.0,0,0.0,20,4.4,1075,4.5
"04015","5","485","75","0","2000","A","","Mohave County, Arizona","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,100,1277089,0,0,246,12814,"",0.84,0.89,0.87,0.00,0.00,0.98,0.98,"",-1,-14.3,35,53.8,450731,54.5,0,0.0,0,0.0,2,0.8,133,1.0
"04017","5","485","75","0","2000","A","","Navajo County, Arizona","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,105,1781740,0,0,326,16942,"",1.38,1.50,1.87,0.00,0.00,1.25,1.25,"",2,66.7,25,31.2,340134,23.6,0,0.0,0,0.0,-23,-6.6,-1191,-6.6
"04019","5","485","75","0","2000","A","","Pima County, Arizona","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,1744,34615853,0,0,382,19850,"",1.01,1.86,2.24,0.00,0.00,1.20,1.20,"",1,2.7,114,7.0,3949564,12.9,0,0.0,0,0.0,20,5.5,1036,5.5
"04025","5","485","75","0","2000","A","","Yavapai County, Arizona","Private","Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,112,1357656,0,0,233,12095,"",0.90,0.81,0.74,0.00,0.00,0.91,0.91,"",1,12.5,20,21.7,357728,35.8,0,0.0,0,0.0,23,11.0,1197,11.0
