"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","486","55","0","2000","A","","Alabama -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",58,579,51291254,0,0,1703,88535,"",1.50,0.89,1.01,0.00,0.00,1.14,1.14,"",8,16.0,-134,-18.8,863095,1.7,0,0.0,0,0.0,343,25.2,17825,25.2
"04000","5","486","55","0","2000","A","","Arizona -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",23,284,19706393,0,0,1335,69409,"",0.58,0.37,0.29,0.00,0.00,0.80,0.80,"",1,4.5,14,5.2,210501,1.1,0,0.0,0,0.0,-54,-3.9,-2843,-3.9
"05000","5","486","55","0","2000","A","","Arkansas -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",70,970,45755976,0,0,907,47151,"",2.84,2.46,1.65,0.00,0.00,0.67,0.67,"",-9,-11.4,-3,-0.3,-2597633,-5.4,0,0.0,0,0.0,-49,-5.1,-2544,-5.1
"05145","5","486","75","0","2000","A","","White County, Arkansas","Private","Pipeline transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,48,2589731,0,0,1039,54047,"",10.05,5.79,4.93,0.00,0.00,0.85,0.85,"",0,0.0,0,0.0,-2508,-0.1,0,0.0,0,0.0,-5,-0.5,-241,-0.4
"06000","5","486","55","0","2000","A","","California -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",93,2063,126432241,0,0,1179,61296,"",0.26,0.40,0.22,0.00,0.00,0.55,0.55,"",-1,-1.1,11,0.5,1264927,1.0,0,0.0,0,0.0,6,0.5,288,0.5
"06029","5","486","75","0","2000","A","","Kern County, California","Private","Pipeline transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,123,8348667,0,0,1308,68014,"",2.49,1.47,1.31,0.00,0.00,0.89,0.89,"",2,20.0,-35,-22.2,-2440124,-22.6,0,0.0,0,0.0,-3,-0.2,-162,-0.2
"06037","5","486","75","0","2000","A","","Los Angeles County, California","Private","Pipeline transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,423,28867845,0,0,1313,68272,"",0.22,0.30,0.19,0.00,0.00,0.64,0.64,"",0,0.0,-14,-3.2,-747663,-2.5,0,0.0,0,0.0,10,0.8,502,0.7
"08000","5","486","55","0","2000","A","","Colorado -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",53,786,65651947,0,0,1606,83527,"",1.05,1.03,0.87,0.00,0.00,0.84,0.84,"",9,20.5,-252,-24.3,-11169293,-14.5,0,0.0,0,0.0,183,12.9,9524,12.9
"12000","5","486","55","0","2000","A","","Florida -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",36,250,15983990,0,0,1231,64000,"",0.24,0.10,0.08,0.00,0.00,0.78,0.78,"",3,9.1,13,5.5,3889749,32.2,0,0.0,0,0.0,248,25.2,12880,25.2
"13000","5","486","55","0","2000","A","","Georgia -- Statewide","Private","Pipeline transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",39,360,23604278,0,0,1262,65643,"",0.49,0.26,0.19,0.00,0.00,0.72,0.72,"",0,0.0,-42,-10.4,657835,2.9,0,0.0,0,0.0,165,15.0,8586,15.0
