"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","512","55","0","2000","A","","Alabama -- Statewide","Private","Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",174,1569,20035515,0,0,246,12770,"",0.42,0.28,0.10,0.00,0.00,0.34,0.34,"",2,1.2,-158,-9.1,436323,2.2,0,0.0,0,0.0,28,12.8,1423,12.5
"01073","5","512","75","0","2000","A","","Jefferson County, Alabama","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,400,6585663,0,0,316,16457,"",0.51,0.35,0.13,0.00,0.00,0.38,0.38,"",-2,-5.3,-47,-10.5,-367379,-5.3,0,0.0,0,0.0,17,5.7,893,5.7
"01097","5","512","75","0","2000","A","","Mobile County, Alabama","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,203,2147919,0,0,204,10585,"",0.49,0.41,0.12,0.00,0.00,0.29,0.29,"",0,0.0,-56,-21.6,-58250,-2.6,0,0.0,0,0.0,40,24.4,2056,24.1
"01101","5","512","75","0","2000","A","","Montgomery County, Alabama","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,121,885383,0,0,141,7307,"",0.37,0.31,0.06,0.00,0.00,0.20,0.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","512","75","0","2000","A","","Shelby County, Alabama","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,44,1137960,0,0,497,25863,"",0.72,0.32,0.21,0.00,0.00,0.63,0.63,"",1,12.5,-3,-6.4,130142,12.9,0,0.0,0,0.0,82,19.8,4305,20.0
"02000","5","512","55","0","2000","A","","Alaska -- Statewide","Private","Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",39,462,4538611,0,0,189,9820,"",0.56,0.57,0.12,0.00,0.00,0.22,0.22,"",-3,-7.1,-46,-9.1,62580,1.4,0,0.0,0,0.0,19,11.2,1000,11.3
"02020","5","512","75","0","2000","A","","Anchorage Borough, Alaska","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,293,3408954,0,0,224,11651,"",0.68,0.77,0.19,0.00,0.00,0.25,0.25,"",-4,-18.2,-28,-8.7,100670,3.0,0,0.0,0,0.0,26,13.1,1331,12.9
"04000","5","512","55","0","2000","A","","Arizona -- Statewide","Private","Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",256,3668,66160206,0,0,347,18040,"",0.59,0.56,0.24,0.00,0.00,0.43,0.43,"",-23,-8.2,-395,-9.7,-8742033,-11.7,0,0.0,0,0.0,-8,-2.3,-397,-2.2
"04005","5","512","75","0","2000","A","","Coconino County, Arizona","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,112,3496881,0,0,601,31245,"",0.83,0.75,0.73,0.00,0.00,0.98,0.98,"",-1,-9.1,3,2.8,863347,32.8,0,0.0,0,0.0,134,28.7,6973,28.7
"04013","5","512","75","0","2000","A","","Maricopa County, Arizona","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",173,2622,51731624,0,0,379,19733,"",0.63,0.57,0.25,0.00,0.00,0.44,0.44,"",-17,-8.9,-299,-10.2,-9668634,-15.7,0,0.0,0,0.0,-25,-6.2,-1288,-6.1
"04019","5","512","75","0","2000","A","","Pima County, Arizona","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",44,633,7577647,0,0,230,11977,"",0.71,0.65,0.21,0.00,0.00,0.32,0.32,"",-2,-4.3,-89,-12.3,-293297,-3.7,0,0.0,0,0.0,20,9.5,1082,9.9
"04025","5","512","75","0","2000","A","","Yavapai County, Arizona","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,85,898489,0,0,204,10623,"",0.54,0.60,0.21,0.00,0.00,0.35,0.35,"",-4,-30.8,-37,-30.3,-215328,-19.3,0,0.0,0,0.0,28,15.9,1468,16.0
"05000","5","512","55","0","2000","A","","Arkansas -- Statewide","Private","Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",126,1121,15259894,0,0,262,13619,"",0.47,0.34,0.14,0.00,0.00,0.41,0.41,"",0,0.0,-37,-3.2,142512,0.9,0,0.0,0,0.0,11,4.4,569,4.4
"05045","5","512","75","0","2000","A","","Faulkner County, Arkansas","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,33,243097,0,0,141,7311,"",0.74,0.33,0.07,0.00,0.00,0.22,0.21,"",1,25.0,2,6.5,16818,7.4,0,0.0,0,0.0,1,0.7,12,0.2
"05051","5","512","75","0","2000","A","","Garland County, Arkansas","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,54,633220,0,0,227,11799,"",0.40,0.53,0.21,0.00,0.00,0.39,0.39,"",0,0.0,0,0.0,157945,33.2,0,0.0,0,0.0,57,33.5,2984,33.9
"05119","5","512","75","0","2000","A","","Pulaski County, Arkansas","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,337,8214850,0,0,469,24376,"",0.69,0.47,0.29,0.00,0.00,0.62,0.62,"",-3,-8.6,-30,-8.2,419913,5.4,0,0.0,0,0.0,60,14.7,3112,14.6
"05131","5","512","75","0","2000","A","","Sebastian County, Arkansas","Private","Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,64,550121,0,0,166,8652,"",0.39,0.29,0.07,0.00,0.00,0.25,0.25,"",0,0.0,12,23.1,102403,22.9,0,0.0,0,0.0,2,1.2,110,1.3
