"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","517","55","0","2000","A","","Alabama -- Statewide","Private","Telecommunications","State, NAICS 3-digit -- by ownership sector","All establishment sizes",753,17866,846683386,0,0,911,47390,"",1.34,0.98,0.95,0.00,0.00,0.97,0.97,"",52,7.4,1477,9.0,81341148,10.6,0,0.0,0,0.0,13,1.4,692,1.5
"01003","5","517","75","0","2000","A","","Baldwin County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,383,15107998,0,0,758,39421,"",0.89,0.80,0.83,0.00,0.00,1.03,1.03,"",2,12.5,-46,-10.7,-2319391,-13.3,0,0.0,0,0.0,-22,-2.8,-1163,-2.9
"01009","5","517","75","0","2000","A","","Blount County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,71,3385511,0,0,923,48021,"",0.99,0.80,1.00,0.00,0.00,1.27,1.27,"",0,0.0,14,24.6,1084889,47.2,0,0.0,0,0.0,152,19.7,7952,19.8
"01015","5","517","75","0","2000","A","","Calhoun County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,282,9620352,0,0,656,34105,"",1.24,0.61,0.49,0.00,0.00,0.80,0.80,"",0,0.0,-6,-2.1,-406847,-4.1,0,0.0,0,0.0,-14,-2.1,-732,-2.1
"01021","5","517","75","0","2000","A","","Chilton County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,27,1209777,0,0,854,44395,"",1.76,0.33,0.40,0.00,0.00,1.21,1.21,"",1,16.7,7,35.0,237452,24.4,0,0.0,0,0.0,-85,-9.1,-4425,-9.1
"01031","5","517","75","0","2000","A","","Coffee County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,156,4786808,0,0,592,30767,"",1.43,1.12,0.96,0.00,0.00,0.86,0.86,"",1,16.7,54,52.9,1247337,35.2,0,0.0,0,0.0,-76,-11.4,-3962,-11.4
"01033","5","517","75","0","2000","A","","Colbert County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,92,3983629,0,0,835,43418,"",1.41,0.43,0.39,0.00,0.00,0.92,0.92,"",3,42.9,13,16.5,611100,18.1,0,0.0,0,0.0,11,1.3,547,1.3
"01039","5","517","75","0","2000","A","","Covington County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,88,3036402,0,0,666,34636,"",1.86,0.69,0.62,0.00,0.00,0.90,0.90,"",1,12.5,6,7.3,346856,12.9,0,0.0,0,0.0,33,5.2,1703,5.2
"01043","5","517","75","0","2000","A","","Cullman County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,69,3023226,0,0,841,43709,"",1.07,0.27,0.29,0.00,0.00,1.05,1.05,"",0,0.0,25,56.8,1115289,58.5,0,0.0,0,0.0,-1,-0.1,-68,-0.2
"01049","5","517","75","0","2000","A","","DeKalb County, Alabama","Private","Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,143,6064549,0,0,817,42484,"",0.62,0.60,0.65,0.00,0.00,1.07,1.08,"",0,0.0,6,4.4,581720,10.6,0,0.0,0,0.0,45,5.8,2317,5.8
