"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","522","55","0","2000","A","","Alabama -- Statewide","Federal Government","Credit intermediation and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",21,142,6513310,0,0,883,45895,"",1.58,1.36,1.51,0.00,0.00,1.11,1.11,"",-10,-32.3,-3,-2.1,245457,3.9,0,0.0,0,0.0,51,6.1,2644,6.1
"01000","5","522","55","0","2000","A","","Alabama -- Statewide","Private","Credit intermediation and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3014,40970,1334664715,0,0,626,32576,"",1.33,1.12,1.03,0.00,0.00,0.92,0.92,"",42,1.4,-210,-0.5,47169244,3.7,0,0.0,0,0.0,25,4.2,1311,4.2
"01001","5","522","75","0","2000","A","","Autauga County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",28,221,6493445,0,0,564,29349,"",1.71,1.05,1.00,0.00,0.00,0.95,0.95,"",2,7.7,-3,-1.3,191285,3.0,0,0.0,0,0.0,23,4.3,1204,4.3
"01003","1","522","75","0","2000","A","","Baldwin County, Alabama","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,482237,0,0,869,45210,"",2.10,4.04,5.46,0.00,0.00,1.39,1.40,"",0,0.0,0,0.0,53920,12.6,0,0.0,0,0.0,103,13.4,5367,13.5
"01003","5","522","75","0","2000","A","","Baldwin County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",95,722,19695612,0,0,524,27264,"",1.16,0.75,0.74,0.00,0.00,0.98,0.98,"",3,3.3,-6,-0.8,149836,0.8,0,0.0,0,0.0,7,1.4,400,1.5
"01005","5","522","75","0","2000","A","","Barbour County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,219,6019495,0,0,529,27486,"",1.24,0.94,0.91,0.00,0.00,0.97,0.97,"",0,0.0,5,2.3,649836,12.1,0,0.0,0,0.0,47,9.8,2433,9.7
"01007","5","522","75","0","2000","A","","Bibb County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,71,1769677,0,0,482,25072,"",1.24,0.94,0.89,0.00,0.00,0.95,0.96,"",0,0.0,-3,-4.1,19343,1.1,0,0.0,0,0.0,29,6.4,1498,6.4
"01009","5","522","75","0","2000","A","","Blount County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,249,9182456,0,0,709,36853,"",1.23,1.39,1.86,0.00,0.00,1.34,1.34,"",-2,-9.1,-9,-3.5,215729,2.4,0,0.0,0,0.0,40,6.0,2042,5.9
"01013","5","522","75","0","2000","A","","Butler County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,108,2628822,0,0,470,24435,"",1.38,0.84,0.78,0.00,0.00,0.94,0.94,"",1,7.1,0,0.0,-9089,-0.3,0,0.0,0,0.0,1,0.2,48,0.2
"01015","1","522","75","0","2000","A","","Calhoun County, Alabama","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,260440,0,0,835,43407,"",3.29,2.27,2.73,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,22182,9.3,0,0.0,0,0.0,2,0.2,87,0.2
"01015","5","522","75","0","2000","A","","Calhoun County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",86,772,20952115,0,0,522,27158,"",1.65,0.83,0.73,0.00,0.00,0.88,0.88,"",-2,-2.3,-8,-1.0,453212,2.2,0,0.0,0,0.0,16,3.2,860,3.3
"01017","5","522","75","0","2000","A","","Chambers County, Alabama","Private","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,158,4174113,0,0,508,26391,"",0.96,0.66,0.57,0.00,0.00,0.86,0.86,"",3,30.0,-10,-6.0,-37136,-0.9,0,0.0,0,0.0,25,5.2,1299,5.2
