"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","523","55","0","2000","A","","Alabama -- Statewide","Private","Securities, commodity contracts, investments","State, NAICS 3-digit -- by ownership sector","All establishment sizes",525,3486,301267197,0,0,1662,86432,"",0.57,0.30,0.22,0.00,0.00,0.73,0.73,"",67,14.6,349,11.1,33532347,12.5,0,0.0,0,0.0,21,1.3,1089,1.3
"01003","5","523","75","0","2000","A","","Baldwin County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,65,6204436,0,0,1850,96193,"",0.64,0.21,0.22,0.00,0.00,1.04,1.04,"",1,5.0,3,4.8,1244140,25.1,0,0.0,0,0.0,299,19.3,15538,19.3
"01069","5","523","75","0","2000","A","","Houston County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,73,8894249,0,0,2338,121561,"",0.67,0.25,0.28,0.00,0.00,1.13,1.13,"",1,6.7,4,5.8,2050543,30.0,0,0.0,0,0.0,431,22.6,22377,22.6
"01073","5","523","75","0","2000","A","","Jefferson County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",136,1413,110384199,0,0,1502,78125,"",0.89,0.59,0.33,0.00,0.00,0.57,0.57,"",19,16.2,167,13.4,11642591,11.8,0,0.0,0,0.0,-22,-1.4,-1106,-1.4
"01077","5","523","75","0","2000","A","","Lauderdale County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,48,5517868,0,0,2218,115356,"",0.55,0.25,0.30,0.00,0.00,1.23,1.24,"",0,0.0,7,17.1,476175,9.4,0,0.0,0,0.0,-132,-5.6,-6867,-5.6
"01081","5","523","75","0","2000","A","","Lee County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,20,1999718,0,0,1915,99571,"",0.46,0.08,0.08,0.00,0.00,0.99,0.99,"",2,33.3,-1,-4.8,122687,6.5,0,0.0,0,0.0,203,11.9,10542,11.8
"01089","5","523","75","0","2000","A","","Madison County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",47,257,26675968,0,0,1994,103697,"",0.77,0.27,0.19,0.00,0.00,0.71,0.71,"",11,30.6,33,14.7,4730937,21.6,0,0.0,0,0.0,106,5.6,5546,5.7
"01095","5","523","75","0","2000","A","","Marshall County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,24,1009024,0,0,809,42043,"",0.74,0.11,0.05,0.00,0.00,0.44,0.44,"",2,20.0,5,26.3,92847,10.1,0,0.0,0,0.0,-131,-13.9,-6820,-14.0
"01101","5","523","75","0","2000","A","","Montgomery County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,359,39141589,0,0,2096,108979,"",0.71,0.44,0.41,0.00,0.00,0.93,0.93,"",5,15.2,50,16.2,2312028,6.3,0,0.0,0,0.0,-197,-8.6,-10275,-8.6
"01103","5","523","75","0","2000","A","","Morgan County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,37,2739923,0,0,1440,74895,"",0.44,0.12,0.07,0.00,0.00,0.64,0.64,"",2,25.0,13,54.2,462919,20.3,0,0.0,0,0.0,-397,-21.6,-20644,-21.6
"01125","5","523","75","0","2000","A","","Tuscaloosa County, Alabama","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,82,5102885,0,0,1200,62421,"",0.43,0.17,0.09,0.00,0.00,0.53,0.53,"",3,27.3,13,18.8,954657,23.0,0,0.0,0,0.0,45,3.9,2374,4.0
"02020","5","523","75","0","2000","A","","Anchorage Borough, Alaska","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,354,34590264,0,0,1880,97759,"",0.66,0.44,0.29,0.00,0.00,0.66,0.66,"",3,8.6,43,13.8,7286162,26.7,0,0.0,0,0.0,189,11.2,9847,11.2
"04000","5","523","55","0","2000","A","","Arizona -- Statewide","Private","Securities, commodity contracts, investments","State, NAICS 3-digit -- by ownership sector","All establishment sizes",976,10144,757263134,0,0,1436,74655,"",1.03,0.73,0.41,0.00,0.00,0.56,0.56,"",67,7.4,1767,21.1,168335666,28.6,0,0.0,0,0.0,84,6.2,4349,6.2
"04013","5","523","75","0","2000","A","","Maricopa County, Arizona","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",739,9163,680841634,0,0,1429,74302,"",1.23,0.95,0.50,0.00,0.00,0.52,0.52,"",59,8.7,1705,22.9,158208670,30.3,0,0.0,0,0.0,81,6.0,4227,6.0
"05000","5","523","55","0","2000","A","","Arkansas -- Statewide","Private","Securities, commodity contracts, investments","State, NAICS 3-digit -- by ownership sector","All establishment sizes",457,2894,238405701,0,0,1584,82377,"",0.78,0.41,0.32,0.00,0.00,0.77,0.77,"",19,4.3,186,6.9,20936943,9.6,0,0.0,0,0.0,40,2.6,2073,2.6
"05005","5","523","75","0","2000","A","","Baxter County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,26,2385864,0,0,1770,92059,"",0.76,0.29,0.29,0.00,0.00,1.00,1.00,"",-1,-12.5,2,8.3,261830,12.3,0,0.0,0,0.0,62,3.6,3249,3.7
"05009","5","523","75","0","2000","A","","Boone County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,20,1311970,0,0,1277,66429,"",0.85,0.22,0.15,0.00,0.00,0.69,0.69,"",-1,-12.5,-1,-4.8,79871,6.5,0,0.0,0,0.0,171,15.5,8899,15.5
"05027","5","523","75","0","2000","A","","Columbia County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,33,1939224,0,0,1130,58764,"",1.35,0.53,0.31,0.00,0.00,0.58,0.58,"",0,0.0,9,37.5,560071,40.6,0,0.0,0,0.0,1,0.1,77,0.1
"05031","5","523","75","0","2000","A","","Craighead County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,91,7448859,0,0,1570,81631,"",0.52,0.37,0.30,0.00,0.00,0.80,0.80,"",0,0.0,19,26.4,1038127,16.2,0,0.0,0,0.0,-152,-8.8,-7925,-8.8
"05045","5","523","75","0","2000","A","","Faulkner County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,39,2470330,0,0,1229,63888,"",1.02,0.18,0.11,0.00,0.00,0.59,0.59,"",4,36.4,14,56.0,607146,32.6,0,0.0,0,0.0,-199,-13.9,-10392,-14.0
"05115","5","523","75","0","2000","A","","Pope County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,26,1601109,0,0,1204,62584,"",0.72,0.17,0.10,0.00,0.00,0.59,0.59,"",1,12.5,4,18.2,-252223,-13.6,0,0.0,0,0.0,-435,-26.5,-22627,-26.6
"05119","5","523","75","0","2000","A","","Pulaski County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",129,1636,157279257,0,0,1849,96151,"",1.27,1.08,0.83,0.00,0.00,0.77,0.77,"",8,6.6,67,4.3,12990975,9.0,0,0.0,0,0.0,81,4.6,4209,4.6
"05139","5","523","75","0","2000","A","","Union County, Arkansas","Private","Securities, commodity contracts, investments","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,65,2716399,0,0,809,42060,"",1.60,0.48,0.19,0.00,0.00,0.39,0.39,"",-1,-5.3,-1,-1.5,251878,10.2,0,0.0,0,0.0,95,13.3,4906,13.2
"06000","5","523","55","0","2000","A","","California -- Statewide","Private","Securities, commodity contracts, investments","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8617,87848,13615307679,0,0,2981,154987,"",1.03,0.95,0.87,0.00,0.00,0.92,0.93,"",10,0.1,10779,14.0,3209542546,30.8,0,0.0,0,0.0,384,14.8,19968,14.8
