"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","524","55","0","2000","A","","Alabama -- Statewide","Federal Government","Insurance carriers and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,35,2490390,0,0,1352,70317,"",1.00,0.32,0.37,0.00,0.00,1.15,1.15,"",-1,-33.3,-5,-12.5,24751,1.0,0,0.0,0,0.0,169,14.3,8804,14.3
"01000","5","524","55","0","2000","A","","Alabama -- Statewide","Private","Insurance carriers and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2864,23547,999660452,0,0,816,42455,"",1.12,0.78,0.83,0.00,0.00,1.07,1.07,"",-6,-0.2,31,0.1,36933951,3.8,0,0.0,0,0.0,29,3.7,1516,3.7
"01003","5","524","75","0","2000","A","","Baldwin County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",95,321,11760267,0,0,705,36674,"",1.04,0.41,0.48,0.00,0.00,1.18,1.18,"",5,5.6,11,3.5,465508,4.1,0,0.0,0,0.0,5,0.7,278,0.8
"01007","5","524","75","0","2000","A","","Bibb County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,16,439122,0,0,539,28029,"",0.98,0.26,0.24,0.00,0.00,0.95,0.95,"",0,0.0,0,0.0,24990,6.0,0,0.0,0,0.0,33,6.5,1735,6.6
"01015","5","524","75","0","2000","A","","Calhoun County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",58,245,8231103,0,0,647,33642,"",0.99,0.32,0.31,0.00,0.00,0.97,0.97,"",-3,-4.9,-9,-3.5,225510,2.8,0,0.0,0,0.0,41,6.8,2124,6.7
"01021","5","524","75","0","2000","A","","Chilton County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,76,2419219,0,0,615,31972,"",1.00,0.56,0.60,0.00,0.00,1.07,1.07,"",-1,-5.3,1,1.3,-33738,-1.4,0,0.0,0,0.0,-13,-2.1,-662,-2.0
"01027","5","524","75","0","2000","A","","Clay County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,20,655475,0,0,636,33049,"",1.00,0.24,0.27,0.00,0.00,1.16,1.16,"",-1,-14.3,-1,-4.8,43809,7.2,0,0.0,0,0.0,62,10.8,3212,10.8
"01039","5","524","75","0","2000","A","","Covington County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,97,3072352,0,0,610,31701,"",1.14,0.46,0.47,0.00,0.00,1.01,1.01,"",-2,-7.4,-4,-4.0,-184707,-5.7,0,0.0,0,0.0,-11,-1.8,-600,-1.9
"01053","5","524","75","0","2000","A","","Escambia County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,103,2997198,0,0,557,28982,"",0.73,0.44,0.38,0.00,0.00,0.85,0.86,"",0,0.0,6,6.2,141899,5.0,0,0.0,0,0.0,-7,-1.2,-328,-1.1
"01055","5","524","75","0","2000","A","","Etowah County, Alabama","Private","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",64,348,10851363,0,0,600,31182,"",1.29,0.58,0.52,0.00,0.00,0.90,0.90,"",2,3.2,7,2.1,212533,2.0,0,0.0,0,0.0,0,0.0,-25,-0.1
