"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","533","55","0","2000","A","","Alabama -- Statewide","Private","Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",38,172,6094288,0,0,683,35518,"",0.81,0.41,0.24,0.00,0.00,0.59,0.59,"",-2,-5.0,-20,-10.4,-985650,-13.9,0,0.0,0,0.0,-26,-3.7,-1341,-3.6
"01073","5","533","75","0","2000","A","","Jefferson County, Alabama","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,18,1199866,0,0,1253,65151,"",1.28,0.21,0.20,0.00,0.00,0.92,0.92,"",0,0.0,-3,-14.3,-295681,-19.8,0,0.0,0,0.0,-139,-10.0,-7214,-10.0
"04000","5","533","55","0","2000","A","","Arizona -- Statewide","Private","Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",56,1453,69590485,0,0,921,47908,"",1.16,2.94,2.07,0.00,0.00,0.70,0.71,"",2,3.7,84,6.1,7258350,11.6,0,0.0,0,0.0,46,5.3,2385,5.2
"04013","5","533","75","0","2000","A","","Maricopa County, Arizona","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",45,1397,67522327,0,0,930,48348,"",1.47,4.06,2.68,0.00,0.00,0.66,0.66,"",1,2.3,74,5.6,6907484,11.4,0,0.0,0,0.0,49,5.6,2546,5.6
"05000","5","533","55","0","2000","A","","Arkansas -- Statewide","Private","Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",25,142,13533123,0,0,1833,95304,"",0.84,0.57,0.98,0.00,0.00,1.73,1.74,"",-4,-13.8,-88,-38.3,4224369,45.4,0,0.0,0,0.0,1055,135.6,54846,135.6
"06000","5","533","55","0","2000","A","","California -- Statewide","Private","Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",399,4035,539803522,0,0,2573,133772,"",0.93,1.22,1.89,0.00,0.00,1.55,1.55,"",-45,-10.1,-70,-1.7,132874953,32.7,0,0.0,0,0.0,667,35.0,34646,35.0
"06001","5","533","75","0","2000","A","","Alameda County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,155,19276285,0,0,2385,124030,"",0.72,1.00,1.32,0.00,0.00,1.32,1.32,"",0,0.0,-5,-3.1,1544803,8.7,0,0.0,0,0.0,256,12.0,13324,12.0
"06013","5","533","75","0","2000","A","","Contra Costa County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,89,6679750,0,0,1443,75053,"",0.86,1.19,0.99,0.00,0.00,0.84,0.84,"",0,0.0,-21,-19.1,-1910546,-22.2,0,0.0,0,0.0,-57,-3.8,-2922,-3.7
"06037","5","533","75","0","2000","A","","Los Angeles County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",159,1124,209987362,0,0,3593,186849,"",1.30,1.23,2.78,0.00,0.00,2.25,2.26,"",-12,-7.0,-129,-10.3,49633391,31.0,0,0.0,0,0.0,1133,46.1,58907,46.0
"06041","5","533","75","0","2000","A","","Marin County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,121,9850147,0,0,1568,81518,"",2.39,4.84,4.41,0.00,0.00,0.91,0.91,"",0,0.0,39,47.6,3782965,62.4,0,0.0,0,0.0,147,10.3,7603,10.3
"06059","5","533","75","0","2000","A","","Orange County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",39,548,34870698,0,0,1223,63594,"",1.21,1.77,1.37,0.00,0.00,0.77,0.78,"",-9,-18.8,-115,-17.3,-3776789,-9.8,0,0.0,0,0.0,101,9.0,5266,9.0
"06067","5","533","75","0","2000","A","","Sacramento County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,25,911361,0,0,703,36576,"",0.51,0.20,0.09,0.00,0.00,0.46,0.46,"",-3,-27.3,-1,-3.8,39647,4.5,0,0.0,0,0.0,66,10.4,3473,10.5
"06073","5","533","75","0","2000","A","","San Diego County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,696,40103959,0,0,1108,57600,"",1.19,2.61,1.93,0.00,0.00,0.74,0.74,"",-3,-7.7,38,5.8,6009047,17.6,0,0.0,0,0.0,111,11.1,5751,11.1
"06075","5","533","75","0","2000","A","","San Francisco County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,148,10499715,0,0,1368,71144,"",0.83,1.09,0.64,0.00,0.00,0.59,0.59,"",-6,-30.0,-12,-7.5,-481434,-4.4,0,0.0,0,0.0,49,3.7,2548,3.7
"06081","5","533","75","0","2000","A","","San Mateo County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,65,4527326,0,0,1338,69562,"",1.05,0.77,0.38,0.00,0.00,0.50,0.50,"",-2,-16.7,15,30.0,1307558,40.6,0,0.0,0,0.0,93,7.5,4843,7.5
"06085","5","533","75","0","2000","A","","Santa Clara County, California","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,362,83332259,0,0,4422,229935,"",1.19,1.57,2.27,0.00,0.00,1.44,1.44,"",-1,-4.0,34,10.4,43421827,108.8,0,0.0,0,0.0,2083,89.1,108319,89.1
"08000","5","533","55","0","2000","A","","Colorado -- Statewide","Private","Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",95,682,59475002,0,0,1678,87260,"",1.56,1.40,1.58,0.00,0.00,1.12,1.12,"",14,17.3,70,11.4,10096118,20.4,0,0.0,0,0.0,126,8.1,6543,8.1
"08001","5","533","75","0","2000","A","","Adams County, Colorado","Private","Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,1705073,0,0,924,48030,"",1.53,1.12,0.76,0.00,0.00,0.69,0.69,"",1,25.0,10,38.5,-653011,-27.7,0,0.0,0,0.0,-854,-48.0,-44444,-48.1
