"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","562","55","0","2000","A","","Alabama -- Statewide","Federal Government","Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,299297,0,0,395,20523,"",3.87,6.49,8.30,0.00,0.00,1.32,1.32,"",-2,-66.7,-8,-34.8,-119801,-28.6,0,0.0,0,0.0,37,10.3,1896,10.2
"01000","3","562","55","0","2000","A","","Alabama -- Statewide","Local Government","Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,138,3788838,0,0,529,27505,"",0.49,0.27,0.27,0.00,0.00,1.01,1.01,"",1,14.3,4,3.0,220164,6.2,0,0.0,0,0.0,16,3.1,807,3.0
"01000","5","562","55","0","2000","A","","Alabama -- Statewide","Private","Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",240,3314,108808591,0,0,631,32831,"",0.84,0.73,0.75,0.00,0.00,1.02,1.02,"",13,5.7,-104,-3.0,-6423447,-5.6,0,0.0,0,0.0,-17,-2.6,-878,-2.6
"01003","5","562","75","0","2000","A","","Baldwin County, Alabama","Private","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,36,1150356,0,0,613,31881,"",0.68,0.30,0.39,0.00,0.00,1.27,1.27,"",2,40.0,11,44.0,367762,47.0,0,0.0,0,0.0,5,0.8,261,0.8
"01015","1","562","75","0","2000","A","","Calhoun County, Alabama","Federal Government","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,299297,0,0,395,20523,"",168.94,256.26,375.66,0.00,0.00,1.51,1.51,"",-1,-50.0,-2,-11.8,-24718,-7.6,0,0.0,0,0.0,17,4.5,886,4.5
"01015","5","562","75","0","2000","A","","Calhoun County, Alabama","Private","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,87,3140371,0,0,696,36200,"",1.52,0.76,0.98,0.00,0.00,1.29,1.29,"",2,25.0,-10,-10.3,-479049,-13.2,0,0.0,0,0.0,-25,-3.5,-1307,-3.5
"01073","5","562","75","0","2000","A","","Jefferson County, Alabama","Private","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,563,21254293,0,0,727,37780,"",0.62,0.61,0.61,0.00,0.00,1.01,1.01,"",1,3.4,-13,-2.3,-333879,-1.5,0,0.0,0,0.0,6,0.8,295,0.8
"01077","5","562","75","0","2000","A","","Lauderdale County, Alabama","Private","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,30,567564,0,0,361,18762,"",1.57,0.40,0.29,0.00,0.00,0.74,0.74,"",0,0.0,4,15.4,123309,27.8,0,0.0,0,0.0,38,11.8,1945,11.6
"01081","5","562","75","0","2000","A","","Lee County, Alabama","Private","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,123,3716961,0,0,583,30322,"",1.64,1.22,1.35,0.00,0.00,1.10,1.10,"",-1,-10.0,-21,-14.6,-627456,-14.4,0,0.0,0,0.0,2,0.3,100,0.3
"01089","5","562","75","0","2000","A","","Madison County, Alabama","Private","Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,162,5832564,0,0,691,35930,"",0.37,0.44,0.40,0.00,0.00,0.91,0.91,"",-1,-12.5,-19,-10.5,-1458165,-20.0,0,0.0,0,0.0,-82,-10.6,-4258,-10.6
