"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","711","55","0","2000","A","","Alabama -- Statewide","Local Government","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5,631,10128674,0,0,309,16048,"",2.58,5.70,6.92,0.00,0.00,1.21,1.21,"",0,0.0,33,5.5,967821,10.6,0,0.0,0,0.0,14,4.7,733,4.8
"01000","5","711","55","0","2000","A","","Alabama -- Statewide","Private","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",233,2896,45925334,0,0,305,15856,"",0.44,0.54,0.20,0.00,0.00,0.37,0.37,"",11,5.0,140,5.1,2398951,5.5,0,0.0,0,0.0,1,0.3,65,0.4
"01097","5","711","75","0","2000","A","","Mobile County, Alabama","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,361,5673654,0,0,302,15713,"",0.56,0.74,0.27,0.00,0.00,0.37,0.37,"",0,0.0,28,8.4,122252,2.2,0,0.0,0,0.0,-18,-5.6,-950,-5.7
"01117","5","711","75","0","2000","A","","Shelby County, Alabama","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,34,1328980,0,0,759,39475,"",0.82,0.26,0.21,0.00,0.00,0.83,0.83,"",1,8.3,3,9.7,306747,30.0,0,0.0,0,0.0,128,20.3,6676,20.4
"02000","5","711","55","0","2000","A","","Alaska -- Statewide","Private","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",72,441,8266927,0,0,361,18753,"",0.80,0.56,0.20,0.00,0.00,0.36,0.36,"",10,16.1,127,40.4,2460403,42.4,0,0.0,0,0.0,5,1.4,266,1.4
"02020","5","711","75","0","2000","A","","Anchorage Borough, Alaska","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,253,4764334,0,0,362,18813,"",0.89,0.68,0.23,0.00,0.00,0.34,0.34,"",5,20.0,104,69.8,1651297,53.0,0,0.0,0,0.0,-40,-10.0,-2068,-9.9
"04000","5","711","55","0","2000","A","","Arizona -- Statewide","Private","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",552,6164,398416787,0,0,1243,64634,"",1.00,0.96,1.28,0.00,0.00,1.33,1.33,"",5,0.9,196,3.3,62952201,18.8,0,0.0,0,0.0,162,15.0,8424,15.0
"04013","5","711","75","0","2000","A","","Maricopa County, Arizona","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",383,4798,375110807,0,0,1504,78187,"",1.09,1.08,1.61,0.00,0.00,1.49,1.49,"",-2,-0.5,148,3.2,62776842,20.1,0,0.0,0,0.0,212,16.4,11011,16.4
"04019","5","711","75","0","2000","A","","Pima County, Arizona","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",83,1001,16564916,0,0,318,16550,"",1.05,1.06,0.40,0.00,0.00,0.38,0.38,"",0,0.0,-64,-6.0,9666,0.1,0,0.0,0,0.0,19,6.4,1009,6.5
"04025","5","711","75","0","2000","A","","Yavapai County, Arizona","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",28,71,2084322,0,0,567,29460,"",1.32,0.51,0.43,0.00,0.00,0.84,0.84,"",0,0.0,3,4.4,-20063,-1.0,0,0.0,0,0.0,-27,-4.5,-1411,-4.6
"05000","5","711","55","0","2000","A","","Arkansas -- Statewide","Private","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",161,2176,31039030,0,0,274,14264,"",0.47,0.67,0.24,0.00,0.00,0.36,0.36,"",-7,-4.2,291,15.4,4958132,19.0,0,0.0,0,0.0,8,3.0,424,3.1
"05015","5","711","75","0","2000","A","","Carroll County, Arkansas","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,267,2865122,0,0,206,10737,"",2.77,9.42,3.51,0.00,0.00,0.37,0.37,"",2,25.0,8,3.1,176174,6.6,0,0.0,0,0.0,6,3.0,342,3.3
"05031","5","711","75","0","2000","A","","Craighead County, Arkansas","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,27,585937,0,0,425,22111,"",0.44,0.24,0.14,0.00,0.00,0.59,0.59,"",0,0.0,0,0.0,-13456,-2.2,0,0.0,0,0.0,-10,-2.3,-508,-2.2
"05051","5","711","75","0","2000","A","","Garland County, Arkansas","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,501,6854278,0,0,263,13686,"",2.01,5.06,1.98,0.00,0.00,0.39,0.39,"",-4,-13.3,20,4.2,480689,7.5,0,0.0,0,0.0,8,3.1,438,3.3
"06000","1","711","55","0","2000","A","","California -- Statewide","Federal Government","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",0.76,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"06000","3","711","55","0","2000","A","","California -- Statewide","Local Government","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",46,1942,37287568,0,0,369,19204,"",2.59,2.21,2.26,0.00,0.00,1.02,1.02,"",0,0.0,6,0.3,3186045,9.3,0,0.0,0,0.0,30,8.8,1590,9.0
"06000","5","711","55","0","2000","A","","California -- Statewide","Private","Performing arts and spectator sports","State, NAICS 3-digit -- by ownership sector","All establishment sizes",9013,57611,4860087734,0,0,1622,84361,"",1.84,1.34,1.84,0.00,0.00,1.37,1.37,"",-744,-7.6,4691,8.9,493671738,11.3,0,0.0,0,0.0,35,2.2,1851,2.2
"06001","5","711","75","0","2000","A","","Alameda County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",165,2247,194365008,0,0,1663,86493,"",0.80,1.12,1.44,0.00,0.00,1.28,1.28,"",-14,-7.8,181,8.8,6607860,3.5,0,0.0,0,0.0,-85,-4.9,-4387,-4.8
"06007","5","711","75","0","2000","A","","Butte County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,67,978642,0,0,280,14570,"",0.43,0.32,0.13,0.00,0.00,0.39,0.39,"",-1,-7.1,-13,-16.2,-23447,-2.3,0,0.0,0,0.0,38,15.7,1965,15.6
"06013","5","711","75","0","2000","A","","Contra Costa County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",78,323,8510839,0,0,506,26315,"",0.65,0.33,0.14,0.00,0.00,0.41,0.41,"",-5,-6.0,-35,-9.8,2833689,49.9,0,0.0,0,0.0,201,65.9,10457,65.9
"06019","5","711","75","0","2000","A","","Fresno County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,686,9223607,0,0,259,13447,"",0.29,0.73,0.25,0.00,0.00,0.34,0.34,"",-10,-21.7,142,26.1,799667,9.5,0,0.0,0,0.0,-39,-13.1,-2031,-13.1
"06037","5","711","75","0","2000","A","","Los Angeles County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6055,27866,3423493946,0,0,2363,122855,"",4.32,2.36,4.88,0.00,0.00,2.07,2.07,"",-520,-7.9,2314,9.1,365942511,12.0,0,0.0,0,0.0,62,2.7,3193,2.7
"06041","5","711","75","0","2000","A","","Marin County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",93,493,33789461,0,0,1317,68492,"",1.77,1.52,1.63,0.00,0.00,1.07,1.07,"",3,3.3,103,26.4,7900569,30.5,0,0.0,0,0.0,39,3.1,2053,3.1
"06045","5","711","75","0","2000","A","","Mendocino County, California","Private","Performing arts and spectator sports","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,40,489865,0,0,234,12145,"",0.92,0.42,0.14,0.00,0.00,0.34,0.33,"",1,6.2,-4,-9.1,130826,36.4,0,0.0,0,0.0,76,48.1,3923,47.7
