"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","314","55","0","2000","A","","Alabama -- Statewide","Private","Textile product mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",153,12376,320988162,0,0,499,25935,"",1.22,3.92,4.81,0.00,0.00,1.23,1.23,"",8,5.5,-225,-1.8,-8391803,-2.5,0,0.0,0,0.0,-4,-0.8,-205,-0.8
"01015","5","314","75","0","2000","A","","Calhoun County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,1074,26747947,0,0,479,24905,"",2.09,13.44,18.16,0.00,0.00,1.35,1.35,"",0,0.0,-234,-17.9,-4332720,-13.9,0,0.0,0,0.0,22,4.8,1137,4.8
"01069","5","314","75","0","2000","A","","Houston County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,132,2740653,0,0,401,20841,"",1.55,1.65,1.78,0.00,0.00,1.08,1.08,"",0,0.0,-13,-9.0,78808,3.0,0,0.0,0,0.0,47,13.3,2441,13.3
"01071","5","314","75","0","2000","A","","Jackson County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,2600,69834598,0,0,517,26859,"",5.64,85.72,120.03,0.00,0.00,1.40,1.40,"",0,0.0,287,12.4,3618192,5.5,0,0.0,0,0.0,-34,-6.2,-1775,-6.2
"01073","5","314","75","0","2000","A","","Jefferson County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",28,173,3801633,0,0,422,21932,"",1.34,0.27,0.24,0.00,0.00,0.89,0.89,"",3,12.0,-1,-0.6,-168258,-4.2,0,0.0,0,0.0,-18,-4.1,-927,-4.1
"01089","5","314","75","0","2000","A","","Madison County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,477,8726498,0,0,352,18304,"",1.09,1.84,1.29,0.00,0.00,0.70,0.70,"",2,28.6,-19,-3.8,-983655,-10.1,0,0.0,0,0.0,-25,-6.6,-1276,-6.5
"01097","5","314","75","0","2000","A","","Mobile County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,170,3178320,0,0,360,18714,"",1.56,0.60,0.54,0.00,0.00,0.90,0.90,"",2,13.3,10,6.2,257890,8.8,0,0.0,0,0.0,8,2.3,433,2.4
"01101","5","314","75","0","2000","A","","Montgomery County, Alabama","Private","Textile product mills","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,134,2209615,0,0,317,16479,"",0.82,0.60,0.47,0.00,0.00,0.78,0.78,"",-1,-14.3,13,10.7,141001,6.8,0,0.0,0,0.0,-12,-3.6,-617,-3.6
"02000","5","314","55","0","2000","A","","Alaska -- Statewide","Private","Textile product mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,50,733839,0,0,283,14701,"",0.53,0.11,0.06,0.00,0.00,0.57,0.57,"",-2,-15.4,8,19.0,108665,17.4,0,0.0,0,0.0,-7,-2.4,-363,-2.4
"04000","5","314","55","0","2000","A","","Arizona -- Statewide","Private","Textile product mills","State, NAICS 3-digit -- by ownership sector","All establishment sizes",105,1400,32352513,0,0,444,23108,"",0.82,0.37,0.36,0.00,0.00,0.97,0.97,"",-4,-3.7,-8,-0.6,2199322,7.3,0,0.0,0,0.0,32,7.8,1690,7.9
