"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","315","55","0","2000","A","","Alabama -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",317,28174,560735827,0,0,383,19902,"",1.31,3.88,4.29,0.00,0.00,1.11,1.11,"",-25,-7.3,-2646,-8.6,-47155634,-7.8,0,0.0,0,0.0,4,1.1,178,0.9
"01015","5","315","75","0","2000","A","","Calhoun County, Alabama","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,547,7398570,0,0,260,13530,"",1.45,2.97,2.57,0.00,0.00,0.86,0.86,"",0,0.0,-64,-10.5,-1094736,-12.9,0,0.0,0,0.0,-8,-3.0,-382,-2.7
"01019","5","315","75","0","2000","A","","Cherokee County, Alabama","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,372,6385602,0,0,330,17154,"",9.10,20.35,26.19,0.00,0.00,1.29,1.29,"",-1,-11.1,-106,-22.2,-1612065,-20.2,0,0.0,0,0.0,9,2.8,437,2.6
"01049","5","315","75","0","2000","A","","DeKalb County, Alabama","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",117,6109,120755050,0,0,380,19766,"",42.27,64.77,87.86,0.00,0.00,1.35,1.36,"",2,1.7,147,2.5,5934005,5.2,0,0.0,0,0.0,10,2.7,507,2.6
"01073","5","315","75","0","2000","A","","Jefferson County, Alabama","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,82,1389027,0,0,325,16905,"",0.37,0.06,0.04,0.00,0.00,0.80,0.80,"",-2,-11.8,-32,-28.1,-1080930,-43.8,0,0.0,0,0.0,-93,-22.2,-4841,-22.3
"01077","5","315","75","0","2000","A","","Lauderdale County, Alabama","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,2698,51547735,0,0,367,19106,"",2.56,22.24,29.81,0.00,0.00,1.34,1.34,"",0,0.0,-26,-1.0,-2845441,-5.2,0,0.0,0,0.0,-17,-4.4,-865,-4.3
"04000","5","315","55","0","2000","A","","Arizona -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",56,880,17938156,0,0,392,20378,"",0.23,0.10,0.10,0.00,0.00,1.01,1.01,"",-8,-12.5,-153,-14.8,-634507,-3.4,0,0.0,0,0.0,46,13.3,2399,13.3
"04013","5","315","75","0","2000","A","","Maricopa County, Arizona","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",34,697,14374593,0,0,397,20638,"",0.22,0.12,0.11,0.00,0.00,0.95,0.95,"",-6,-15.0,-70,-9.1,408119,2.9,0,0.0,0,0.0,47,13.4,2429,13.3
"04019","5","315","75","0","2000","A","","Pima County, Arizona","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,56,1029892,0,0,356,18529,"",0.25,0.04,0.04,0.00,0.00,1.02,1.03,"",-2,-18.2,-82,-59.4,-980109,-48.8,0,0.0,0,0.0,76,27.1,3973,27.3
"05000","5","315","55","0","2000","A","","Arkansas -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",59,6024,105013137,0,0,335,17432,"",0.39,1.38,1.47,0.00,0.00,1.07,1.07,"",-9,-13.2,-747,-11.0,-14714201,-12.3,0,0.0,0,0.0,-5,-1.5,-251,-1.4
"06000","5","315","55","0","2000","A","","California -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5868,122831,2407923238,0,0,377,19604,"",2.66,2.13,1.63,0.00,0.00,0.77,0.77,"",-1071,-15.4,-2572,-2.1,-5574759,-0.2,0,0.0,0,0.0,7,1.9,358,1.9
"06001","5","315","75","0","2000","A","","Alameda County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",124,2202,41886514,0,0,366,19026,"",1.34,0.82,0.55,0.00,0.00,0.68,0.68,"",-20,-13.9,-208,-8.6,1004760,2.5,0,0.0,0,0.0,40,12.3,2061,12.1
"06013","5","315","75","0","2000","A","","Contra Costa County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,101,3018799,0,0,578,30038,"",0.22,0.08,0.09,0.00,0.00,1.13,1.13,"",-3,-20.0,49,94.2,1302353,75.9,0,0.0,0,0.0,-56,-8.8,-2918,-8.9
"06019","5","315","75","0","2000","A","","Fresno County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,54,763690,0,0,272,14121,"",0.18,0.04,0.04,0.00,0.00,0.87,0.87,"",-1,-9.1,4,8.0,154338,25.3,0,0.0,0,0.0,38,16.2,1934,15.9
"06037","5","315","75","0","2000","A","","Los Angeles County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4336,92697,1784198068,0,0,370,19248,"",6.86,5.82,4.56,0.00,0.00,0.78,0.78,"",-838,-16.2,-1080,-1.2,13441856,0.8,0,0.0,0,0.0,7,1.9,365,1.9
"06041","5","315","75","0","2000","A","","Marin County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,85,2648487,0,0,600,31220,"",0.51,0.20,0.23,0.00,0.00,1.17,1.18,"",-2,-14.3,-18,-17.5,-306757,-10.4,0,0.0,0,0.0,50,9.1,2621,9.2
"06055","5","315","75","0","2000","A","","Napa County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,194,3566596,0,0,354,18432,"",0.97,0.83,0.74,0.00,0.00,0.90,0.90,"",0,0.0,4,2.1,406997,12.9,0,0.0,0,0.0,34,10.6,1773,10.6
"06059","5","315","75","0","2000","A","","Orange County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",461,10530,206295710,0,0,377,19592,"",2.77,1.95,1.57,0.00,0.00,0.80,0.80,"",-55,-10.7,1122,11.9,21115532,11.4,0,0.0,0,0.0,-2,-0.5,-90,-0.5
"06065","5","315","75","0","2000","A","","Riverside County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,245,3695902,0,0,291,15111,"",0.60,0.13,0.11,0.00,0.00,0.84,0.84,"",-4,-9.5,-9,-3.5,292717,8.6,0,0.0,0,0.0,33,12.8,1699,12.7
"06067","5","315","75","0","2000","A","","Sacramento County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,415,9816256,0,0,455,23673,"",0.25,0.19,0.19,0.00,0.00,1.01,1.01,"",-10,-33.3,-12,-2.8,-191091,-1.9,0,0.0,0,0.0,5,1.1,255,1.1
"06071","5","315","75","0","2000","A","","San Bernardino County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",59,671,7833087,0,0,225,11678,"",0.85,0.33,0.21,0.00,0.00,0.63,0.63,"",-17,-22.4,-107,-13.8,-959920,-10.9,0,0.0,0,0.0,8,3.7,375,3.3
"06073","5","315","75","0","2000","A","","San Diego County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",201,4169,87944631,0,0,406,21093,"",1.29,0.90,0.82,0.00,0.00,0.91,0.91,"",-34,-14.5,-358,-7.9,-3963928,-4.3,0,0.0,0,0.0,16,4.1,789,3.9
"06075","5","315","75","0","2000","A","","San Francisco County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",307,8181,181448403,0,0,427,22179,"",3.52,3.45,2.14,0.00,0.00,0.62,0.62,"",-68,-18.1,-1593,-16.3,-42396764,-18.9,0,0.0,0,0.0,-13,-3.0,-722,-3.2
"06079","5","315","75","0","2000","A","","San Luis Obispo County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,274,6090255,0,0,428,22248,"",0.42,0.74,0.95,0.00,0.00,1.28,1.28,"",-3,-30.0,-16,-5.5,370392,6.5,0,0.0,0,0.0,49,12.9,2541,12.9
"06081","5","315","75","0","2000","A","","San Mateo County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,156,4041788,0,0,497,25854,"",0.31,0.11,0.07,0.00,0.00,0.62,0.62,"",-1,-6.2,89,132.8,2313941,133.9,0,0.0,0,0.0,1,0.2,65,0.3
"06083","5","315","75","0","2000","A","","Santa Barbara County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,214,3563414,0,0,321,16677,"",0.46,0.31,0.26,0.00,0.00,0.83,0.83,"",2,20.0,47,28.1,934528,35.5,0,0.0,0,0.0,18,5.9,904,5.7
"06085","5","315","75","0","2000","A","","Santa Clara County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",29,247,9749438,0,0,759,39458,"",0.28,0.06,0.05,0.00,0.00,0.83,0.83,"",-7,-19.4,6,2.5,3857485,65.5,0,0.0,0,0.0,289,61.5,14993,61.3
"06087","5","315","75","0","2000","A","","Santa Cruz County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,92,2069164,0,0,434,22593,"",0.61,0.23,0.24,0.00,0.00,1.02,1.02,"",0,0.0,3,3.4,182153,9.7,0,0.0,0,0.0,25,6.1,1311,6.2
"06097","5","315","75","0","2000","A","","Sonoma County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,172,5688306,0,0,637,33120,"",0.34,0.23,0.35,0.00,0.00,1.49,1.49,"",-4,-26.7,-33,-16.1,259005,4.8,0,0.0,0,0.0,128,25.1,6657,25.2
"06111","5","315","75","0","2000","A","","Ventura County, California","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,564,14150842,0,0,482,25086,"",0.59,0.51,0.55,0.00,0.00,1.09,1.09,"",-2,-8.0,-1,-0.2,552514,4.1,0,0.0,0,0.0,19,4.1,1025,4.3
"08000","5","315","55","0","2000","A","","Colorado -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",113,1558,37027145,0,0,457,23773,"",0.36,0.18,0.19,0.00,0.00,1.03,1.03,"",-4,-3.4,-367,-19.1,-3716562,-9.1,0,0.0,0,0.0,50,12.3,2607,12.3
"08005","5","315","75","0","2000","A","","Arapahoe County, Colorado","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,62,1113031,0,0,348,18074,"",0.35,0.06,0.04,0.00,0.00,0.63,0.63,"",-2,-13.3,-13,-17.3,-425612,-27.7,0,0.0,0,0.0,-49,-12.3,-2556,-12.4
"08013","5","315","75","0","2000","A","","Boulder County, Colorado","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,264,7900209,0,0,576,29944,"",0.51,0.38,0.40,0.00,0.00,1.06,1.06,"",2,18.2,-40,-13.2,127808,1.6,0,0.0,0,0.0,84,17.1,4349,17.0
"08031","5","315","75","0","2000","A","","Denver County, Colorado","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,793,20664910,0,0,501,26056,"",0.53,0.44,0.41,0.00,0.00,0.95,0.95,"",3,12.5,-228,-22.3,-2748288,-11.7,0,0.0,0,0.0,60,13.6,3117,13.6
"08041","5","315","75","0","2000","A","","El Paso County, Colorado","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,106,2037285,0,0,370,19235,"",0.43,0.12,0.11,0.00,0.00,0.94,0.94,"",-1,-7.1,-17,-13.8,-167293,-7.6,0,0.0,0,0.0,26,7.6,1372,7.7
"08067","5","315","75","0","2000","A","","La Plata County, Colorado","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,529900,0,0,280,14551,"",1.17,0.44,0.41,0.00,0.00,0.93,0.93,"",0,0.0,-5,-12.2,-133657,-20.1,0,0.0,0,0.0,-30,-9.7,-1568,-9.7
"08077","5","315","75","0","2000","A","","Mesa County, Colorado","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,73,1226345,0,0,324,16857,"",0.63,0.38,0.39,0.00,0.00,1.03,1.04,"",0,0.0,-1,-1.4,-111257,-8.3,0,0.0,0,0.0,-26,-7.4,-1321,-7.3
"09000","5","315","55","0","2000","A","","Connecticut -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",55,1228,43856494,0,0,687,35711,"",0.24,0.19,0.24,0.00,0.00,1.27,1.27,"",-6,-9.8,-373,-23.3,-14783276,-25.2,0,0.0,0,0.0,-17,-2.4,-916,-2.5
"09001","5","315","75","0","2000","A","","Fairfield County, Connecticut","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,704,29127283,0,0,795,41354,"",0.29,0.42,0.46,0.00,0.00,1.09,1.09,"",0,0.0,-116,-14.1,-5165860,-15.1,0,0.0,0,0.0,-10,-1.2,-492,-1.2
"09009","5","315","75","0","2000","A","","New Haven County, Connecticut","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,201,8187652,0,0,782,40667,"",0.30,0.14,0.24,0.00,0.00,1.72,1.72,"",-3,-17.6,-260,-56.4,-9628019,-54.0,0,0.0,0,0.0,38,5.1,1979,5.1
"10000","5","315","55","0","2000","A","","Delaware -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,793,24501943,0,0,594,30901,"",0.15,0.50,0.68,0.00,0.00,1.36,1.36,"",0,0.0,-37,-4.5,-2189918,-8.2,0,0.0,0,0.0,-24,-3.9,-1245,-3.9
"12000","5","315","55","0","2000","A","","Florida -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",578,11529,245057689,0,0,409,21255,"",0.61,0.42,0.47,0.00,0.00,1.12,1.12,"",-52,-8.3,-1777,-13.4,-7963194,-3.1,0,0.0,0,0.0,43,11.7,2240,11.8
"12011","5","315","75","0","2000","A","","Broward County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",65,632,13346206,0,0,406,21112,"",0.61,0.25,0.26,0.00,0.00,1.02,1.02,"",-3,-4.4,6,1.0,1547714,13.1,0,0.0,0,0.0,44,12.2,2265,12.0
"12031","5","315","75","0","2000","A","","Duval County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,147,2912792,0,0,380,19759,"",0.24,0.09,0.09,0.00,0.00,0.97,0.97,"",-3,-23.1,-10,-6.4,46734,1.6,0,0.0,0,0.0,28,8.0,1465,8.0
"12057","5","315","75","0","2000","A","","Hillsborough County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,2114,58885857,0,0,536,27850,"",0.37,0.93,1.31,0.00,0.00,1.41,1.42,"",2,10.5,-125,-5.6,5170485,9.6,0,0.0,0,0.0,75,16.3,3859,16.1
"12086","5","315","75","0","2000","A","","Miami-Dade County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",304,6943,140990502,0,0,391,20308,"",2.00,1.83,1.77,0.00,0.00,0.97,0.97,"",-27,-8.2,-898,-11.5,-5429445,-3.7,0,0.0,0,0.0,32,8.9,1635,8.8
"12095","5","315","75","0","2000","A","","Orange County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,87,1732897,0,0,385,19995,"",0.28,0.04,0.04,0.00,0.00,1.04,1.04,"",1,7.1,-24,-21.6,-33043,-1.9,0,0.0,0,0.0,78,25.4,4050,25.4
"12099","5","315","75","0","2000","A","","Palm Beach County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,170,4202238,0,0,476,24768,"",0.31,0.09,0.10,0.00,0.00,1.13,1.13,"",1,4.3,10,6.2,396949,10.4,0,0.0,0,0.0,17,3.7,923,3.9
"12103","5","315","75","0","2000","A","","Pinellas County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,387,6083835,0,0,302,15710,"",0.42,0.23,0.19,0.00,0.00,0.81,0.81,"",-3,-11.5,16,4.3,681880,12.6,0,0.0,0,0.0,22,7.9,1153,7.9
"12117","5","315","75","0","2000","A","","Seminole County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,28,479962,0,0,331,17193,"",0.28,0.05,0.05,0.00,0.00,0.90,0.90,"",-2,-25.0,-5,-15.2,-27558,-5.4,0,0.0,0,0.0,37,12.6,1891,12.4
"12127","5","315","75","0","2000","A","","Volusia County, Florida","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,106,1631085,0,0,295,15351,"",0.55,0.19,0.19,0.00,0.00,0.99,0.99,"",-2,-14.3,-21,-16.5,-270829,-14.2,0,0.0,0,0.0,7,2.4,356,2.4
"13000","5","315","55","0","2000","A","","Georgia -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",265,16172,321005564,0,0,382,19849,"",0.53,1.07,1.00,0.00,0.00,0.94,0.94,"",-31,-10.5,-3251,-16.7,-25256764,-7.3,0,0.0,0,0.0,39,11.4,2021,11.3
"13013","5","315","75","0","2000","A","","Barrow County, Georgia","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,427,9653762,0,0,435,22608,"",5.37,9.47,13.00,0.00,0.00,1.37,1.37,"",-1,-10.0,22,5.4,3327533,52.6,0,0.0,0,0.0,135,45.0,6984,44.7
"13045","5","315","75","0","2000","A","","Carroll County, Georgia","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,1401,25307105,0,0,347,18060,"",2.92,11.37,12.59,0.00,0.00,1.11,1.11,"",-1,-8.3,-118,-7.8,-1827305,-6.7,0,0.0,0,0.0,4,1.2,200,1.1
"13067","5","315","75","0","2000","A","","Cobb County, Georgia","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,117,3494304,0,0,577,29994,"",0.21,0.10,0.12,0.00,0.00,1.25,1.25,"",-3,-27.3,19,19.4,-244079,-6.5,0,0.0,0,0.0,-160,-21.7,-8316,-21.7
"13089","5","315","75","0","2000","A","","DeKalb County, Georgia","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,126,5832847,0,0,887,46140,"",0.31,0.10,0.20,0.00,0.00,1.93,1.94,"",-1,-8.3,-18,-12.5,-1163638,-16.6,0,0.0,0,0.0,-48,-5.1,-2503,-5.1
"13121","5","315","75","0","2000","A","","Fulton County, Georgia","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,334,24524030,0,0,1412,73407,"",0.33,0.11,0.29,0.00,0.00,2.51,2.51,"",-2,-7.7,60,21.9,9364816,61.8,0,0.0,0,0.0,349,32.8,18132,32.8
"13135","5","315","75","0","2000","A","","Gwinnett County, Georgia","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,401,13943022,0,0,669,34807,"",0.38,0.37,0.52,0.00,0.00,1.43,1.44,"",2,16.7,114,39.7,6257469,81.4,0,0.0,0,0.0,155,30.2,8067,30.2
"15000","5","315","55","0","2000","A","","Hawaii -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",131,1734,35662428,0,0,396,20570,"",1.81,0.81,0.88,0.00,0.00,1.08,1.09,"",6,4.8,129,8.0,2665542,8.1,0,0.0,0,0.0,1,0.3,7,0.0
"15003","5","315","75","0","2000","A","","Honolulu County, Hawaii","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",119,1684,34694143,0,0,396,20603,"",2.50,1.07,1.12,0.00,0.00,1.04,1.05,"",6,5.3,120,7.7,2674607,8.4,0,0.0,0,0.0,2,0.5,131,0.6
"16000","5","315","55","0","2000","A","","Idaho -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",23,228,3794794,0,0,320,16662,"",0.24,0.10,0.10,0.00,0.00,0.97,0.97,"",-2,-8.0,-30,-11.6,-124696,-3.2,0,0.0,0,0.0,27,9.2,1446,9.5
"17000","5","315","55","0","2000","A","","Illinois -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",283,8468,216945611,0,0,493,25619,"",0.41,0.37,0.40,0.00,0.00,1.09,1.09,"",-14,-4.7,-185,-2.1,3805905,1.8,0,0.0,0,0.0,19,4.0,986,4.0
"17031","5","315","75","0","2000","A","","Cook County, Illinois","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",171,5758,163003355,0,0,544,28309,"",0.63,0.55,0.59,0.00,0.00,1.06,1.07,"",-11,-6.0,-77,-1.3,2407101,1.5,0,0.0,0,0.0,15,2.8,785,2.9
"17043","5","315","75","0","2000","A","","DuPage County, Illinois","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,82,2136757,0,0,504,26218,"",0.24,0.04,0.04,0.00,0.00,0.99,0.99,"",-1,-5.9,-3,-3.5,287095,15.5,0,0.0,0,0.0,83,19.7,4350,19.9
"18000","5","315","55","0","2000","A","","Indiana -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",82,1843,44334763,0,0,463,24061,"",0.25,0.16,0.20,0.00,0.00,1.25,1.25,"",-2,-2.4,-90,-4.7,835772,1.9,0,0.0,0,0.0,30,6.9,1560,6.9
"18003","5","315","75","0","2000","A","","Allen County, Indiana","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,146,2700451,0,0,357,18549,"",0.40,0.20,0.19,0.00,0.00,0.93,0.93,"",0,0.0,12,9.0,516408,23.6,0,0.0,0,0.0,43,13.7,2230,13.7
"19000","5","315","55","0","2000","A","","Iowa -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",62,2737,60325124,0,0,424,22041,"",0.30,0.49,0.62,0.00,0.00,1.27,1.27,"",-5,-7.5,-362,-11.7,-6937800,-10.3,0,0.0,0,0.0,7,1.7,337,1.6
"19153","5","315","75","0","2000","A","","Polk County, Iowa","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,44,909493,0,0,399,20749,"",0.29,0.04,0.04,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,118625,15.0,0,0.0,0,0.0,51,14.7,2638,14.6
"20000","5","315","55","0","2000","A","","Kansas -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",40,1679,42969203,0,0,492,25593,"",0.23,0.33,0.46,0.00,0.00,1.41,1.41,"",1,2.6,-107,-6.0,-2827951,-6.2,0,0.0,0,0.0,-1,-0.2,-48,-0.2
"20091","5","315","75","0","2000","A","","Johnson County, Kansas","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,854,28236495,0,0,636,33064,"",0.24,0.77,1.10,0.00,0.00,1.43,1.43,"",0,0.0,9,1.1,-679581,-2.4,0,0.0,0,0.0,-22,-3.3,-1139,-3.3
"21000","5","315","55","0","2000","A","","Kentucky -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",114,12812,249859252,0,0,375,19502,"",0.50,1.88,2.05,0.00,0.00,1.09,1.09,"",-14,-10.9,-1103,-7.9,-6379179,-2.5,0,0.0,0,0.0,21,5.9,1088,5.9
"21067","5","315","75","0","2000","A","","Fayette County, Kentucky","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,39,834327,0,0,409,21257,"",0.48,0.06,0.07,0.00,0.00,1.12,1.12,"",1,12.5,-9,-18.8,48665,6.2,0,0.0,0,0.0,92,29.0,4775,29.0
"21111","5","315","75","0","2000","A","","Jefferson County, Kentucky","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,229,6141862,0,0,516,26830,"",0.19,0.13,0.17,0.00,0.00,1.29,1.30,"",0,0.0,79,52.7,3248756,112.3,0,0.0,0,0.0,146,39.5,7575,39.3
"22000","5","315","55","0","2000","A","","Louisiana -- Statewide","Private","Apparel manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",97,5870,104167102,0,0,341,17747,"",0.39,0.81,0.83,0.00,0.00,1.02,1.03,"",-4,-4.0,-733,-11.1,-18887734,-15.3,0,0.0,0,0.0,-17,-4.7,-890,-4.8
"22033","5","315","75","0","2000","A","","East Baton Rouge Parish, Louisiana","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,100,1835344,0,0,354,18430,"",0.32,0.10,0.11,0.00,0.00,1.02,1.02,"",0,0.0,-1,-1.0,44402,2.5,0,0.0,0,0.0,14,4.1,771,4.4
"22051","5","315","75","0","2000","A","","Jefferson Parish, Louisiana","Private","Apparel manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,257,3888408,0,0,291,15135,"",0.50,0.31,0.27,0.00,0.00,0.87,0.87,"",0,0.0,-24,-8.5,264427,7.3,0,0.0,0,0.0,43,17.3,2254,17.5
