"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","322","55","0","2000","A","","Alabama -- Statewide","Private","Paper manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",124,18094,1000853834,0,0,1064,55315,"",1.23,2.07,3.11,0.00,0.00,1.50,1.50,"",-5,-3.9,-1024,-5.4,-18956681,-1.9,0,0.0,0,0.0,38,3.7,1971,3.7
"01043","5","322","75","0","2000","A","","Cullman County, Alabama","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,435,15452801,0,0,683,35524,"",3.95,3.58,4.05,0.00,0.00,1.13,1.13,"",0,0.0,47,12.1,2127756,16.0,0,0.0,0,0.0,23,3.5,1181,3.4
"01073","5","322","75","0","2000","A","","Jefferson County, Alabama","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,812,28423422,0,0,674,35026,"",0.94,0.45,0.37,0.00,0.00,0.81,0.81,"",-1,-5.9,38,4.9,1272427,4.7,0,0.0,0,0.0,-1,-0.1,-72,-0.2
"01097","5","322","75","0","2000","A","","Mobile County, Alabama","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,2786,163343330,0,0,1128,58635,"",1.02,3.54,5.71,0.00,0.00,1.62,1.62,"",-1,-10.0,-755,-21.3,-43091850,-20.9,0,0.0,0,0.0,7,0.6,331,0.6
"01103","5","322","75","0","2000","A","","Morgan County, Alabama","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,348,11241378,0,0,621,32303,"",3.17,1.50,1.32,0.00,0.00,0.88,0.88,"",1,14.3,17,5.1,788884,7.5,0,0.0,0,0.0,13,2.1,677,2.1
"04000","5","322","55","0","2000","A","","Arizona -- Statewide","Private","Paper manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",47,2779,106586598,0,0,737,38349,"",0.45,0.27,0.25,0.00,0.00,0.93,0.93,"",-3,-6.0,24,0.9,4433844,4.3,0,0.0,0,0.0,24,3.4,1268,3.4
"04013","5","322","75","0","2000","A","","Maricopa County, Arizona","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,2063,72952624,0,0,680,35370,"",0.60,0.29,0.23,0.00,0.00,0.79,0.80,"",-1,-2.4,86,4.4,5914049,8.8,0,0.0,0,0.0,28,4.3,1465,4.3
"05000","5","322","55","0","2000","A","","Arkansas -- Statewide","Private","Paper manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",89,14422,628016606,0,0,837,43545,"",1.39,2.74,3.58,0.00,0.00,1.30,1.30,"",-4,-4.3,31,0.2,25289745,4.2,0,0.0,0,0.0,32,4.0,1664,4.0
"05045","5","322","75","0","2000","A","","Faulkner County, Arkansas","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,1380,52904022,0,0,737,38341,"",3.70,8.75,9.93,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,1626018,3.2,0,0.0,0,0.0,22,3.1,1181,3.2
"05119","5","322","75","0","2000","A","","Pulaski County, Arkansas","Private","Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,1239,43722082,0,0,679,35293,"",1.07,1.09,0.99,0.00,0.00,0.90,0.90,"",0,0.0,31,2.6,-246446,-0.6,0,0.0,0,0.0,-21,-3.0,-1107,-3.0
