"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","211","55","0","2000","A","","Alabama -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",24,568,36154377,0,0,1225,63699,"",0.20,0.32,0.28,0.00,0.00,0.86,0.87,"",-3,-11.1,-8,-1.4,6154647,20.5,0,0.0,0,0.0,224,22.4,11654,22.4
"01053","5","211","75","0","2000","A","","Escambia County, Alabama","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,82,4369720,0,0,1020,53020,"",6.13,5.96,5.06,0.00,0.00,0.84,0.85,"",0,0.0,4,5.1,649564,17.5,0,0.0,0,0.0,102,11.1,5275,11.0
"01097","5","211","75","0","2000","A","","Mobile County, Alabama","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,254,15922955,0,0,1208,62792,"",0.57,1.59,1.38,0.00,0.00,0.87,0.86,"",-1,-14.3,-25,-9.0,633750,4.1,0,0.0,0,0.0,154,14.6,7959,14.5
"02000","5","211","55","0","2000","A","","Alaska -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",29,2718,333740941,0,0,2361,122793,"",1.44,10.48,14.42,0.00,0.00,1.37,1.38,"",-1,-3.3,-102,-3.6,18274232,5.8,0,0.0,0,0.0,210,9.8,10942,9.8
"05000","5","211","55","0","2000","A","","Arkansas -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",86,350,14494767,0,0,797,41453,"",1.12,0.33,0.20,0.00,0.00,0.62,0.62,"",-1,-1.1,30,9.4,803704,5.9,0,0.0,0,0.0,-25,-3.0,-1309,-3.1
"05027","5","211","75","0","2000","A","","Columbia County, Arkansas","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,44,1549138,0,0,685,35612,"",16.72,4.64,2.59,0.00,0.00,0.56,0.56,"",-1,-7.1,8,22.2,264561,20.6,0,0.0,0,0.0,2,0.3,94,0.3
"05103","5","211","75","0","2000","A","","Ouachita County, Arkansas","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,17,308077,0,0,350,18211,"",6.94,2.21,0.67,0.00,0.00,0.30,0.30,"",-1,-16.7,-8,-32.0,-451553,-59.4,0,0.0,0,0.0,-225,-39.1,-11676,-39.1
"05139","5","211","75","0","2000","A","","Union County, Arkansas","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",35,115,4065129,0,0,679,35323,"",23.64,5.68,3.00,0.00,0.00,0.53,0.53,"",0,0.0,31,36.9,1214775,42.6,0,0.0,0,0.0,29,4.5,1524,4.5
"06000","5","211","55","0","2000","A","","California -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",239,7509,622839136,0,0,1595,82948,"",0.22,0.54,0.42,0.00,0.00,0.79,0.79,"",-20,-7.7,34,0.5,36987743,6.3,0,0.0,0,0.0,88,5.8,4571,5.8
"06029","5","211","75","0","2000","A","","Kern County, California","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",66,2660,163872660,0,0,1185,61600,"",4.40,11.79,10.08,0.00,0.00,0.85,0.85,"",-4,-5.7,189,7.6,958611,0.6,0,0.0,0,0.0,-83,-6.5,-4344,-6.6
"06037","5","211","75","0","2000","A","","Los Angeles County, California","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",56,1989,165657696,0,0,1602,83283,"",0.18,0.51,0.43,0.00,0.00,0.83,0.83,"",-9,-13.8,-45,-2.2,6910767,4.4,0,0.0,0,0.0,101,6.7,5233,6.7
"06059","5","211","75","0","2000","A","","Orange County, California","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,336,26280682,0,0,1503,78178,"",0.31,0.26,0.20,0.00,0.00,0.78,0.78,"",0,0.0,-147,-30.4,-13399994,-33.8,0,0.0,0,0.0,-76,-4.8,-3906,-4.8
"06083","5","211","75","0","2000","A","","Santa Barbara County, California","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,381,27807743,0,0,1403,72970,"",1.00,2.28,2.02,0.00,0.00,0.88,0.89,"",-2,-13.3,-60,-13.6,-3999703,-12.6,0,0.0,0,0.0,16,1.2,858,1.2
"06111","5","211","75","0","2000","A","","Ventura County, California","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,186,11693793,0,0,1211,62983,"",0.61,0.69,0.46,0.00,0.00,0.67,0.67,"",0,0.0,-122,-39.6,-13412112,-53.4,0,0.0,0,0.0,-354,-22.6,-18420,-22.6
"08000","5","211","55","0","2000","A","","Colorado -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",382,3709,310914330,0,0,1612,83831,"",2.43,1.80,1.60,0.00,0.00,0.89,0.89,"",-4,-1.0,-95,-2.5,27807451,9.8,0,0.0,0,0.0,181,12.6,9401,12.6
"08001","5","211","75","0","2000","A","","Adams County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,45,3183873,0,0,1368,71148,"",0.95,0.33,0.28,0.00,0.00,0.84,0.84,"",1,14.3,-29,-39.2,-2089504,-39.6,0,0.0,0,0.0,-6,-0.4,-275,-0.4
"08005","5","211","75","0","2000","A","","Arapahoe County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",55,373,29211506,0,0,1507,78350,"",2.94,1.40,0.93,0.00,0.00,0.67,0.67,"",-1,-1.8,-23,-5.8,270090,0.9,0,0.0,0,0.0,100,7.1,5189,7.1
"08031","5","211","75","0","2000","A","","Denver County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",201,2373,229153402,0,0,1857,96581,"",7.94,5.37,4.61,0.00,0.00,0.86,0.86,"",-6,-2.9,-73,-3.0,23175886,11.3,0,0.0,0,0.0,237,14.6,12365,14.7
"08045","5","211","75","0","2000","A","","Garfield County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,35,2152819,0,0,1191,61952,"",1.43,1.93,1.59,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08059","5","211","75","0","2000","A","","Jefferson County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,74,3777838,0,0,986,51283,"",1.29,0.37,0.21,0.00,0.00,0.56,0.56,"",-2,-8.0,10,15.6,883356,30.5,0,0.0,0,0.0,120,13.9,6233,13.8
"08067","5","211","75","0","2000","A","","La Plata County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,70,5345371,0,0,1474,76636,"",2.82,3.51,4.18,0.00,0.00,1.19,1.20,"",-2,-25.0,2,2.9,705274,15.2,0,0.0,0,0.0,168,12.9,8732,12.9
"08123","5","211","75","0","2000","A","","Weld County, Colorado","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,322,15698115,0,0,938,48790,"",2.89,4.93,3.24,0.00,0.00,0.66,0.66,"",1,8.3,20,6.6,3460134,28.3,0,0.0,0,0.0,158,20.3,8211,20.2
"11000","5","211","55","0","2000","A","","District of Columbia","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",12,46,11063672,0,0,4642,241389,"",0.39,0.08,0.14,0.00,0.00,1.80,1.80,"",-1,-7.7,0,0.0,3660762,49.5,0,0.0,0,0.0,1569,51.1,81614,51.1
"11001","5","211","75","0","2000","A","","District of Columbia","Private","Oil and gas extraction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,46,11063672,0,0,4642,241389,"",0.39,0.08,0.14,0.00,0.00,1.80,1.80,"",-1,-7.7,0,0.0,3660762,49.5,0,0.0,0,0.0,1569,51.1,81614,51.1
"12000","5","211","55","0","2000","A","","Florida -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",16,187,14243860,0,0,1464,76136,"",0.03,0.03,0.03,0.00,0.00,0.98,0.98,"",1,6.7,57,43.8,6767182,90.5,0,0.0,0,0.0,361,32.7,18770,32.7
"17000","5","211","55","0","2000","A","","Illinois -- Statewide","Private","Oil and gas extraction","State, NAICS 3-digit -- by ownership sector","All establishment sizes",183,763,24883176,0,0,627,32619,"",0.54,0.14,0.05,0.00,0.00,0.34,0.34,"",-2,-1.1,24,3.2,4974003,25.0,0,0.0,0,0.0,109,21.0,5684,21.1
