"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","212","55","0","2000","A","","Alabama -- Statewide","Private","Mining, except oil and gas","State, NAICS 3-digit -- by ownership sector","All establishment sizes",208,6552,334785856,0,0,983,51099,"",1.77,2.03,2.68,0.00,0.00,1.32,1.32,"",-4,-1.9,-977,-13.0,-32782649,-8.9,0,0.0,0,0.0,44,4.7,2275,4.7
"01005","5","212","75","0","2000","A","","Barbour County, Alabama","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,89,3767875,0,0,810,42138,"",9.87,4.35,5.96,0.00,0.00,1.36,1.36,"",1,16.7,10,12.7,115273,3.2,0,0.0,0,0.0,-83,-9.3,-4293,-9.2
"01047","5","212","75","0","2000","A","","Dallas County, Alabama","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,37,926916,0,0,485,25222,"",4.25,1.23,0.99,0.00,0.00,0.81,0.81,"",1,25.0,-1,-2.6,145034,18.5,0,0.0,0,0.0,93,23.7,4825,23.7
"01073","5","212","75","0","2000","A","","Jefferson County, Alabama","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",34,1814,117560310,0,0,1247,64822,"",1.72,2.75,3.93,0.00,0.00,1.43,1.43,"",3,9.7,283,18.5,25684084,28.0,0,0.0,0,0.0,93,8.1,4818,8.0
"01097","5","212","75","0","2000","A","","Mobile County, Alabama","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,27,1011937,0,0,732,38067,"",0.58,0.09,0.09,0.00,0.00,1.00,1.00,"",0,0.0,-1,-3.6,-219811,-17.8,0,0.0,0,0.0,-104,-12.4,-5406,-12.4
"01117","5","212","75","0","2000","A","","Shelby County, Alabama","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,230,10140963,0,0,848,44075,"",2.85,2.90,3.00,0.00,0.00,1.03,1.03,"",-1,-9.1,2,0.9,473966,4.9,0,0.0,0,0.0,32,3.9,1660,3.9
"01125","5","212","75","0","2000","A","","Tuscaloosa County, Alabama","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,1796,104822887,0,0,1122,58357,"",3.13,13.69,20.59,0.00,0.00,1.50,1.50,"",-5,-27.8,-485,-21.3,-22268951,-17.5,0,0.0,0,0.0,51,4.8,2643,4.7
"02000","5","212","55","0","2000","A","","Alaska -- Statewide","Private","Mining, except oil and gas","State, NAICS 3-digit -- by ownership sector","All establishment sizes",75,1400,88720946,0,0,1219,63395,"",3.81,2.96,3.99,0.00,0.00,1.35,1.35,"",0,0.0,40,2.9,3480605,4.1,0,0.0,0,0.0,13,1.1,699,1.1
"02170","5","212","75","0","2000","A","","Matanuska-Susitna Borough, Alaska","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,31,989020,0,0,620,32251,"",5.95,1.48,1.28,0.00,0.00,0.87,0.88,"",0,0.0,8,34.8,277401,39.0,0,0.0,0,0.0,36,6.2,1862,6.1
"04000","5","212","55","0","2000","A","","Arizona -- Statewide","Private","Mining, except oil and gas","State, NAICS 3-digit -- by ownership sector","All establishment sizes",126,9554,445152805,0,0,896,46595,"",1.04,2.50,2.68,0.00,0.00,1.07,1.07,"",-7,-5.3,-1321,-12.1,-91893063,-17.1,0,0.0,0,0.0,-54,-5.7,-2787,-5.6
"04005","5","212","75","0","2000","A","","Coconino County, Arizona","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,76,2154494,0,0,543,28225,"",2.66,0.87,0.74,0.00,0.00,0.85,0.85,"",0,0.0,-13,-14.6,-473019,-18.0,0,0.0,0,0.0,-26,-4.6,-1353,-4.6
"04013","5","212","75","0","2000","A","","Maricopa County, Arizona","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,1180,79702605,0,0,1299,67573,"",0.47,0.44,0.64,0.00,0.00,1.44,1.45,"",-1,-2.7,472,66.7,23957173,43.0,0,0.0,0,0.0,-214,-14.1,-11126,-14.1
"04015","5","212","75","0","2000","A","","Mohave County, Arizona","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,102,3766258,0,0,708,36834,"",1.80,1.50,1.80,0.00,0.00,1.20,1.20,"",-2,-25.0,-4,-3.8,13017,0.3,0,0.0,0,0.0,29,4.3,1509,4.3
"04019","5","212","75","0","2000","A","","Pima County, Arizona","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,1746,75802006,0,0,835,43404,"",1.21,3.09,3.45,0.00,0.00,1.11,1.12,"",-1,-4.5,-106,-5.7,-13885772,-15.5,0,0.0,0,0.0,-96,-10.3,-5028,-10.4
"04021","5","212","75","0","2000","A","","Pinal County, Arizona","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,1292,63017364,0,0,938,48788,"",4.58,21.35,29.13,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","212","55","0","2000","A","","Arkansas -- Statewide","Private","Mining, except oil and gas","State, NAICS 3-digit -- by ownership sector","All establishment sizes",101,2043,69834193,0,0,657,34186,"",1.35,1.05,1.02,0.00,0.00,0.97,0.97,"",6,6.3,-22,-1.1,-846719,-1.2,0,0.0,0,0.0,-1,-0.2,-45,-0.1
"05051","5","212","75","0","2000","A","","Garland County, Arkansas","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,200,6674532,0,0,641,33317,"",4.57,3.39,3.62,0.00,0.00,1.07,1.07,"",1,8.3,-1,-0.5,276011,4.3,0,0.0,0,0.0,28,4.6,1431,4.5
"05059","5","212","75","0","2000","A","","Hot Spring County, Arkansas","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,112,3920267,0,0,676,35159,"",7.77,8.47,9.29,0.00,0.00,1.10,1.10,"",0,0.0,6,5.7,463800,13.4,0,0.0,0,0.0,49,7.8,2551,7.8
"06000","5","212","55","0","2000","A","","California -- Statewide","Private","Mining, except oil and gas","State, NAICS 3-digit -- by ownership sector","All establishment sizes",269,7291,392522347,0,0,1035,53838,"",0.25,0.28,0.28,0.00,0.00,0.98,0.98,"",-18,-6.3,-196,-2.6,-12847421,-3.2,0,0.0,0,0.0,-6,-0.6,-306,-0.6
"06001","5","212","75","0","2000","A","","Alameda County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,306,21102516,0,0,1327,68981,"",0.13,0.26,0.29,0.00,0.00,1.14,1.15,"",0,0.0,9,3.0,2121336,11.2,0,0.0,0,0.0,100,8.1,5161,8.1
"06013","5","212","75","0","2000","A","","Contra Costa County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,157,7863611,0,0,961,49981,"",0.38,0.27,0.24,0.00,0.00,0.87,0.87,"",0,0.0,10,6.8,733939,10.3,0,0.0,0,0.0,28,3.0,1480,3.1
"06029","5","212","75","0","2000","A","","Kern County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,1184,65509555,0,0,1064,55321,"",0.95,2.88,4.20,0.00,0.00,1.46,1.46,"",-1,-6.7,154,15.0,6302209,10.6,0,0.0,0,0.0,-41,-3.7,-2148,-3.7
"06037","5","212","75","0","2000","A","","Los Angeles County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,767,41061815,0,0,1030,53553,"",0.10,0.11,0.11,0.00,0.00,1.01,1.01,"",-4,-11.1,-55,-6.7,242482,0.6,0,0.0,0,0.0,75,7.9,3894,7.8
"06059","5","212","75","0","2000","A","","Orange County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,122,5994658,0,0,946,49170,"",0.11,0.05,0.05,0.00,0.00,0.94,0.94,"",-4,-30.8,7,6.1,469283,8.5,0,0.0,0,0.0,19,2.0,984,2.0
"06065","5","212","75","0","2000","A","","Riverside County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,471,24748838,0,0,1010,52499,"",0.49,0.58,0.79,0.00,0.00,1.35,1.35,"",-1,-6.2,-47,-9.1,-1127991,-4.4,0,0.0,0,0.0,50,5.2,2576,5.2
"06067","5","212","75","0","2000","A","","Sacramento County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,188,10181255,0,0,1039,54036,"",0.13,0.19,0.20,0.00,0.00,1.07,1.07,"",-1,-16.7,-8,-4.1,-321453,-3.1,0,0.0,0,0.0,7,0.7,359,0.7
"06071","5","212","75","0","2000","A","","San Bernardino County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,743,39538882,0,0,1023,53215,"",0.59,0.82,1.09,0.00,0.00,1.33,1.33,"",-2,-9.1,-39,-5.0,-4824236,-10.9,0,0.0,0,0.0,-68,-6.2,-3521,-6.2
"06077","5","212","75","0","2000","A","","San Joaquin County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,125,8009739,0,0,1231,64035,"",0.45,0.36,0.59,0.00,0.00,1.63,1.64,"",1,20.0,25,25.0,1781170,28.6,0,0.0,0,0.0,28,2.3,1489,2.4
"06083","5","212","75","0","2000","A","","Santa Barbara County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,427,21095312,0,0,950,49394,"",0.55,1.40,1.60,0.00,0.00,1.14,1.14,"",1,16.7,-27,-5.9,-811402,-3.7,0,0.0,0,0.0,22,2.4,1150,2.4
"06097","5","212","75","0","2000","A","","Sonoma County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,183,9124765,0,0,958,49794,"",0.63,0.56,0.58,0.00,0.00,1.04,1.04,"",0,0.0,-1,-0.5,476719,5.5,0,0.0,0,0.0,55,6.1,2815,6.0
"06111","5","212","75","0","2000","A","","Ventura County, California","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,211,8989332,0,0,819,42587,"",0.47,0.43,0.37,0.00,0.00,0.86,0.86,"",1,12.5,-3,-1.4,-809201,-8.3,0,0.0,0,0.0,-63,-7.1,-3272,-7.1
"08000","5","212","55","0","2000","A","","Colorado -- Statewide","Private","Mining, except oil and gas","State, NAICS 3-digit -- by ownership sector","All establishment sizes",234,5401,313477208,0,0,1116,58044,"",1.53,1.44,1.68,0.00,0.00,1.17,1.17,"",-6,-2.5,-313,-5.5,-85800985,-21.5,0,0.0,0,0.0,-228,-17.0,-11831,-16.9
"08001","5","212","75","0","2000","A","","Adams County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,188,9565965,0,0,976,50770,"",1.58,0.76,0.86,0.00,0.00,1.13,1.14,"",1,8.3,12,6.8,1300922,15.7,0,0.0,0,0.0,75,8.3,3898,8.3
"08005","5","212","75","0","2000","A","","Arapahoe County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,219,30130120,0,0,2647,137633,"",0.93,0.45,1.00,0.00,0.00,2.23,2.23,"",2,13.3,-63,-22.3,-84178038,-73.6,0,0.0,0,0.0,-5148,-66.0,-267715,-66.0
"08013","5","212","75","0","2000","A","","Boulder County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,194,8129919,0,0,807,41943,"",0.97,0.63,0.43,0.00,0.00,0.69,0.69,"",4,50.0,47,32.0,1813981,28.7,0,0.0,0,0.0,-22,-2.7,-1145,-2.7
"08031","5","212","75","0","2000","A","","Denver County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,325,47437789,0,0,2806,145925,"",0.73,0.40,0.99,0.00,0.00,2.46,2.46,"",-4,-18.2,-3,-0.9,3402260,7.7,0,0.0,0,0.0,225,8.7,11739,8.7
"08041","5","212","75","0","2000","A","","El Paso County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,69,2511891,0,0,701,36448,"",0.34,0.17,0.14,0.00,0.00,0.83,0.83,"",-1,-16.7,5,7.8,122932,5.1,0,0.0,0,0.0,-13,-1.8,-686,-1.8
"08045","5","212","75","0","2000","A","","Garfield County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,154,8141854,0,0,1015,52755,"",4.38,4.64,6.28,0.00,0.00,1.35,1.35,"",0,0.0,42,37.5,2652995,48.3,0,0.0,0,0.0,72,7.6,3711,7.6
"08059","5","212","75","0","2000","A","","Jefferson County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,280,15120532,0,0,1037,53938,"",1.38,0.77,0.87,0.00,0.00,1.11,1.11,"",-2,-7.7,-48,-14.6,-6423279,-29.8,0,0.0,0,0.0,-225,-17.8,-11711,-17.8
"08069","5","212","75","0","2000","A","","Larimer County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,251,8318454,0,0,637,33108,"",1.41,1.23,0.94,0.00,0.00,0.76,0.77,"",-1,-7.7,26,11.6,1083755,15.0,0,0.0,0,0.0,18,2.9,894,2.8
"08081","5","212","75","0","2000","A","","Moffat County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,482,27003000,0,0,1077,56023,"",15.90,59.39,87.02,0.00,0.00,1.46,1.47,"",-1,-12.5,-38,-7.3,-2076333,-7.1,0,0.0,0,0.0,2,0.2,101,0.2
"08123","5","212","75","0","2000","A","","Weld County, Colorado","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,224,7292872,0,0,627,32582,"",3.64,1.88,1.57,0.00,0.00,0.83,0.83,"",1,6.7,33,17.3,1198119,19.7,0,0.0,0,0.0,14,2.3,728,2.3
