"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","213","55","0","2000","A","","Alabama -- Statewide","Private","Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",93,926,39252666,0,0,815,42401,"",0.71,0.39,0.40,0.00,0.00,1.05,1.05,"",7,8.1,-288,-23.7,-17499948,-30.8,0,0.0,0,0.0,-84,-9.3,-4347,-9.3
"01057","5","213","75","0","2000","A","","Fayette County, Alabama","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,51,1299282,0,0,494,25686,"",8.60,7.23,5.85,0.00,0.00,0.81,0.82,"",1,33.3,23,82.1,646982,99.2,0,0.0,0,0.0,53,12.0,2731,11.9
"01097","5","213","75","0","2000","A","","Mobile County, Alabama","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,202,11617639,0,0,1107,57561,"",0.88,0.93,1.34,0.00,0.00,1.44,1.44,"",0,0.0,-91,-31.1,-4571485,-28.2,0,0.0,0,0.0,43,4.0,2245,4.1
"02000","5","213","55","0","2000","A","","Alaska -- Statewide","Private","Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",99,5825,446048133,0,0,1473,76573,"",4.53,16.55,25.79,0.00,0.00,1.56,1.56,"",-7,-6.6,885,17.9,103685206,30.3,0,0.0,0,0.0,140,10.5,7264,10.5
"02020","5","213","75","0","2000","A","","Anchorage Borough, Alaska","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",41,1255,92926991,0,0,1425,74075,"",5.00,7.56,10.95,0.00,0.00,1.45,1.45,"",0,0.0,-59,-4.5,-6577694,-6.6,0,0.0,0,0.0,-31,-2.1,-1632,-2.2
"02090","5","213","75","0","2000","A","","Fairbanks North Star Borough, Alaska","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,557,46417557,0,0,1603,83372,"",4.37,13.57,24.23,0.00,0.00,1.78,1.79,"",-1,-9.1,258,86.3,23630646,103.7,0,0.0,0,0.0,138,9.4,7183,9.4
"02122","5","213","75","0","2000","A","","Kenai Peninsula Borough, Alaska","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,1043,65573875,0,0,1209,62875,"",9.31,47.99,63.57,0.00,0.00,1.32,1.32,"",1,5.9,216,26.1,22523461,52.3,0,0.0,0,0.0,208,20.8,10803,20.7
"04019","5","213","75","0","2000","A","","Pima County, Arizona","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,52,2643347,0,0,978,50834,"",0.72,0.12,0.15,0.00,0.00,1.25,1.25,"",-4,-22.2,-11,-17.5,-3077145,-53.8,0,0.0,0,0.0,-759,-43.7,-39490,-43.7
"05000","5","213","55","0","2000","A","","Arkansas -- Statewide","Private","Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",110,1093,40186420,0,0,707,36753,"",1.33,0.76,0.76,0.00,0.00,1.00,1.00,"",-6,-5.2,94,9.4,7765554,24.0,0,0.0,0,0.0,83,13.3,4300,13.2
"05027","5","213","75","0","2000","A","","Columbia County, Arkansas","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,272,9581900,0,0,678,35260,"",21.36,21.14,21.40,0.00,0.00,1.01,1.01,"",-1,-5.3,34,14.3,1946632,25.5,0,0.0,0,0.0,62,10.1,3213,10.0
