"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","324","55","0","2000","A","","Alabama -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",46,2133,92379449,0,0,833,43315,"",1.21,1.20,1.02,0.00,0.00,0.85,0.85,"",1,2.2,60,2.9,1764368,1.9,0,0.0,0,0.0,-8,-1.0,-394,-0.9
"01073","5","324","75","0","2000","A","","Jefferson County, Alabama","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,501,25406115,0,0,975,50702,"",0.78,1.37,1.17,0.00,0.00,0.85,0.85,"",0,0.0,58,13.1,1034115,4.2,0,0.0,0,0.0,-83,-7.8,-4324,-7.9
"01097","5","324","75","0","2000","A","","Mobile County, Alabama","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,230,11421409,0,0,957,49748,"",2.41,1.43,1.41,0.00,0.00,0.99,0.99,"",1,14.3,-13,-5.3,3890,0.0,0,0.0,0,0.0,55,6.1,2827,6.0
"01125","5","324","75","0","2000","A","","Tuscaloosa County, Alabama","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,959,40515939,0,0,813,42255,"",8.94,13.20,10.91,0.00,0.00,0.83,0.83,"",0,0.0,1,0.1,12121,0.0,0,0.0,0,0.0,0,0.0,-21,0.0
"04000","5","324","55","0","2000","A","","Arizona -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",19,229,10406637,0,0,875,45477,"",0.49,0.11,0.09,0.00,0.00,0.79,0.79,"",0,0.0,33,16.8,2614361,33.6,0,0.0,0,0.0,110,14.4,5704,14.3
"04013","5","324","75","0","2000","A","","Maricopa County, Arizona","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,118,6583124,0,0,1072,55750,"",0.56,0.08,0.07,0.00,0.00,0.90,0.91,"",-1,-6.7,7,6.3,2172313,49.2,0,0.0,0,0.0,307,40.1,15983,40.2
"05000","5","324","55","0","2000","A","","Arkansas -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",23,884,36314089,0,0,790,41091,"",0.95,0.82,0.73,0.00,0.00,0.89,0.89,"",-1,-4.2,-31,-3.4,582575,1.6,0,0.0,0,0.0,39,5.2,2033,5.2
"06000","5","324","55","0","2000","A","","California -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",322,16319,1293539662,0,0,1524,79267,"",0.92,1.15,1.26,0.00,0.00,1.09,1.09,"",17,5.6,-1380,-7.8,-100091882,-7.2,0,0.0,0,0.0,10,0.7,524,0.7
"06001","5","324","75","0","2000","A","","Alameda County, California","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,262,13095460,0,0,960,49935,"",0.82,0.40,0.25,0.00,0.00,0.63,0.63,"",1,9.1,31,13.4,1009547,8.4,0,0.0,0,0.0,-46,-4.6,-2385,-4.6
"06013","5","324","75","0","2000","A","","Contra Costa County, California","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,6614,496782368,0,0,1444,75114,"",4.24,20.59,20.50,0.00,0.00,1.00,1.00,"",2,5.9,-191,-2.8,-22204750,-4.3,0,0.0,0,0.0,-23,-1.6,-1154,-1.5
