"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","331","55","0","2000","A","","Alabama -- Statewide","Private","Primary metal manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",155,24416,1042057180,0,0,821,42679,"",1.69,2.71,3.14,0.00,0.00,1.16,1.16,"",2,1.3,-131,-0.5,-4575117,-0.4,0,0.0,0,0.0,1,0.1,41,0.1
"01015","5","331","75","0","2000","A","","Calhoun County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,1229,39811466,0,0,623,32402,"",3.81,5.39,5.44,0.00,0.00,1.01,1.01,"",1,14.3,-59,-4.6,1045092,2.7,0,0.0,0,0.0,44,7.6,2310,7.7
"01073","5","331","75","0","2000","A","","Jefferson County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",42,9267,451240412,0,0,936,48692,"",2.73,5.03,5.69,0.00,0.00,1.13,1.13,"",-2,-4.5,164,1.8,25483188,6.0,0,0.0,0,0.0,37,4.1,1921,4.1
"01081","5","331","75","0","2000","A","","Lee County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,313,8925773,0,0,549,28532,"",2.84,1.57,1.42,0.00,0.00,0.90,0.90,"",0,0.0,2,0.6,164745,1.9,0,0.0,0,0.0,8,1.5,377,1.3
"01103","5","331","75","0","2000","A","","Morgan County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,2035,92542101,0,0,875,45483,"",3.49,8.51,10.53,0.00,0.00,1.24,1.24,"",0,0.0,126,6.6,-3785899,-3.9,0,0.0,0,0.0,-95,-9.8,-4968,-9.8
"01115","5","331","75","0","2000","A","","St. Clair County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,104,3054580,0,0,563,29277,"",5.32,1.63,1.57,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,199781,7.0,0,0.0,0,0.0,33,6.2,1717,6.2
"01117","5","331","75","0","2000","A","","Shelby County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,1004,55669808,0,0,1067,55466,"",3.67,4.54,6.20,0.00,0.00,1.37,1.37,"",2,25.0,-44,-4.2,-4297483,-7.2,0,0.0,0,0.0,-33,-3.0,-1750,-3.1
"01121","5","331","75","0","2000","A","","Talladega County, Alabama","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,401,11238381,0,0,540,28055,"",9.47,3.26,2.73,0.00,0.00,0.84,0.84,"",0,0.0,3,0.8,598228,5.6,0,0.0,0,0.0,26,5.1,1304,4.9
"04000","5","331","55","0","2000","A","","Arizona -- Statewide","Private","Primary metal manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",71,6146,230468974,0,0,721,37499,"",0.75,0.58,0.52,0.00,0.00,0.91,0.91,"",6,9.2,-76,-1.2,5764731,2.6,0,0.0,0,0.0,27,3.9,1386,3.8
"04013","5","331","75","0","2000","A","","Maricopa County, Arizona","Private","Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",45,4234,155086432,0,0,704,36632,"",0.75,0.57,0.47,0.00,0.00,0.82,0.82,"",5,12.5,107,2.6,7198815,4.9,0,0.0,0,0.0,15,2.2,799,2.2
