"SAGDP6N Taxes on production and imports 1/"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2006"
"00000","United States *","1","All industry total",997040084
"00000","United States *","2","  Private industries",996608084
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",7020927
"00000","United States *","4","      Farms",5870934
"00000","United States *","5","      Forestry, fishing, and related activities",1149993
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",30099011
"00000","United States *","7","      Oil and gas extraction",24701998
"00000","United States *","8","      Mining (except oil and gas)",4174010
"00000","United States *","9","      Support activities for mining",1223003
"00000","United States *","10","    Utilities",48122930
"00000","United States *","11","    Construction",8258038
"00000","United States *","12","    Manufacturing",61609174
"00000","United States *","13","      Durable goods manufacturing",23831704
"00000","United States *","14","        Wood product manufacturing",723998
"00000","United States *","15","        Nonmetallic mineral product manufacturing",1236999
"00000","United States *","16","        Primary metal manufacturing",2065995
"00000","United States *","17","        Fabricated metal product manufacturing",2500590
"00000","United States *","18","        Machinery manufacturing",2936991
"00000","United States *","19","        Computer and electronic product manufacturing",6378709
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",1119994
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",2915582
"00000","United States *","22","        Other transportation equipment manufacturing",2042988
"00000","United States *","23","        Furniture and related product manufacturing",414999
"00000","United States *","24","        Miscellaneous manufacturing",1494859
"00000","United States *","25","      Nondurable goods manufacturing",37777470
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",21471512
"00000","United States *","27","        Textile mills and textile product mills",673999
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",318001
"00000","United States *","29","        Paper manufacturing",1764997
"00000","United States *","30","        Printing and related support activities",850998
"00000","United States *","31","        Petroleum and coal products manufacturing",2319353
"00000","United States *","32","        Chemical manufacturing",8848027
"00000","United States *","33","        Plastics and rubber products manufacturing",1530583
"00000","United States *","34","    Wholesale trade",171521827
"00000","United States *","35","    Retail trade",179048065
"00000","United States *","36","    Transportation and warehousing",25677147
"00000","United States *","37","      Air transportation",15139535
"00000","United States *","38","      Rail transportation",1131995
"00000","United States *","39","      Water transportation",693504
"00000","United States *","40","      Truck transportation",3515288
"00000","United States *","41","      Transit and ground passenger transportation",987804
"00000","United States *","42","      Pipeline transportation",1576000
"00000","United States *","43","      Other transportation and support activities",2089018
"00000","United States *","44","      Warehousing and storage",544002
"00000","United States *","45","    Information",48628039
"00000","United States *","46","      Publishing industries (except Internet)",3324010
"00000","United States *","47","      Motion picture and sound recording industries",5844012
"00000","United States *","48","      Broadcasting (except Internet) and telecommunications",37533010
"00000","United States *","49","      Data processing, hosting, and other information services",1927007
"00000","United States *","50","    Finance, insurance, real estate, rental, and leasing",253059146
"00000","United States *","51","      Finance and insurance",40219997
"00000","United States *","52","        Monetary Authorities- central bank, credit intermediation, and related services",14033786
"00000","United States *","53","        Securities, commodity contracts, and other financial investments and related activities",4519199
"00000","United States *","54","        Insurance carriers and related activities",20894025
"00000","United States *","55","        Funds, trusts, and other financial vehicles",772988
"00000","United States *","56","      Real estate and rental and leasing",212839149
"00000","United States *","57","        Real estate",199085009
"00000","United States *","58","        Rental and leasing services and lessors of nonfinancial intangible assets",13754140
"00000","United States *","59","    Professional and business services",52864225
"00000","United States *","60","      Professional, scientific, and technical services",36841176
"00000","United States *","61","        Legal services",24301022
"00000","United States *","62","        Computer systems design and related services",3179045
"00000","United States *","63","        Miscellaneous professional, scientific, and technical services",9361109
"00000","United States *","64","      Management of companies and enterprises",7318981
"00000","United States *","65","      Administrative and support and waste management and remediation services",8704068
"00000","United States *","66","        Administrative and support services",6295073
"00000","United States *","67","        Waste management and remediation services",2408995
"00000","United States *","68","    Educational services, health care, and social assistance",27186137
"00000","United States *","69","      Educational services",5899040
"00000","United States *","70","      Health care and social assistance",21287097
"00000","United States *","71","        Ambulatory health care services",6788022
"00000","United States *","72","        Hospitals",9500187
"00000","United States *","73","        Nursing, and residential care facilities",3709864
"00000","United States *","74","        Social assistance",1289023
"00000","United States *","75","    Arts, entertainment, recreation, accommodation, and food services",66851938
"00000","United States *","76","      Arts, entertainment, and recreation",13437807
"00000","United States *","77","        Performing arts, spectator sports, museums, and related activities",6144029
"00000","United States *","78","        Amusement, gambling, and recreation industries",7293778
"00000","United States *","79","      Accommodation and food services",53414130
"00000","United States *","80","        Accommodation",17914054
"00000","United States *","81","        Food services and drinking places",35500076
"00000","United States *","82","    Other services (except government and government enterprises)",16661480
"00000","United States *","83","  Government and government enterprises",432000
"00000","United States *","84","    Federal civilian",0
"00000","United States *","85","    Military",0
"00000","United States *","86","    State and local",432000
"00000","United States *","","Addenda:",""
"00000","United States *","87","Natural resources and mining",37119938
"00000","United States *","88","Trade",350569892
"00000","United States *","89","Transportation and utilities",73800077
"00000","United States *","91","Private goods-producing industries 2/",106987149
"00000","United States *","92","Private services-providing industries 3/",889620934
"00000","United States *","100","All industry total, overseas activity",0
"00000","United States *","101","Government and government enterprises, overseas activity",0
"00000","United States *","102","Federal civilian, overseas activity",0
"00000","United States *","103","Military, overseas activity",0
"01000","Alabama","1","All industry total",10571439
"01000","Alabama","2","  Private industries",10571439
"01000","Alabama","3","    Agriculture, forestry, fishing and hunting",55100
"01000","Alabama","4","      Farms",30993
"01000","Alabama","5","      Forestry, fishing, and related activities",24107
"01000","Alabama","6","    Mining, quarrying, and oil and gas extraction",264952
"01000","Alabama","7","      Oil and gas extraction",193415
"01000","Alabama","8","      Mining (except oil and gas)",68732
"01000","Alabama","9","      Support activities for mining",2805
"01000","Alabama","10","    Utilities",1069617
"01000","Alabama","11","    Construction",95152
"01000","Alabama","12","    Manufacturing",434998
"01000","Alabama","13","      Durable goods manufacturing",221779
"01000","Alabama","14","        Wood product manufacturing",11336
"01000","Alabama","15","        Nonmetallic mineral product manufacturing",10546
