GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",25744.8,24170.4,24732.6,26778.3,28420.4,29605.3,31799.7,34970.7,39774.8,44435.3,48972.6,54752.4,49585.9,52882.5,56259.9,57670.1,56622.8,55547.4,50615.0,49429.4,51686.7,54011.2
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",20589.0,18925.0,19351.7,21173.6,22500.5,23203.3,24980.6,27850.6,32222.6,36524.8,40740.3,46198.9,40539.7,43555.6,46420.0,47420.8,46529.9,45073.7,40080.8,38857.2,41000.9,43137.1
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",431.8,341.9,364.3,417.4,353.6,312.3,336.0,304.1,345.2,370.2,337.4,373.5,371.9,459.8,538.1,497.5,509.1,480.8,453.2,396.3,362.9,361.6
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",25.3,24.8,25.5,29.4,28.0,27.7,19.3,20.3,20.2,17.9,16.6,14.4,16.4,15.6,15.6,20.3,19.2,24.5,23.5,25.1,23.9,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",406.5,317.1,338.9,388.0,325.6,284.6,316.8,283.8,324.9,352.3,320.8,359.1,355.5,444.2,522.5,477.1,490.0,456.4,429.7,371.2,339.0,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",5680.3,3252.6,3236.1,4488.1,4037.3,4560.3,5219.7,7247.8,10398.9,13820.1,16463.6,20374.8,14420.5,15688.1,18197.5,18212.6,16288.8,13890.1,7545.2,6362.4,7894.7,8676.1
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",4659.5,2186.2,2358.0,3466.0,2871.7,3653.8,4301.6,6124.7,9071.8,11304.7,13295.4,17271.9,11279.1,11901.9,14062.6,14389.5,12639.3,10191.0,4557.9,3909.9,5303.4,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",516.5,490.6,478.1,408.8,282.0,251.4,310.2,458.1,562.3,1316.3,1806.2,1441.7,1617.6,2114.8,2307.5,1881.5,1745.2,1646.0,1285.2,1448.6,1751.7,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",504.4,575.8,400.1,613.4,883.6,655.1,608.0,664.9,764.8,1199.1,1362.1,1661.2,1523.8,1671.4,1827.3,1941.6,1904.3,2053.1,1702.1,1003.9,839.5,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",404.7,390.4,422.5,414.0,412.8,397.3,422.0,446.3,447.6,510.4,506.1,541.6,620.2,660.8,747.4,741.6,749.2,787.6,764.0,783.3,778.5,839.9
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",1119.4,1164.0,1213.7,1277.2,1430.3,1543.7,1713.5,1842.6,2038.5,2038.4,2125.5,2073.6,2176.0,2134.1,2044.7,2007.1,1906.1,2012.4,2130.2,1972.5,1816.5,1974.5
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",869.7,1118.9,883.0,829.1,947.4,918.6,1101.2,1222.0,1265.3,1398.8,1546.2,1475.6,1451.2,1102.9,963.2,983.2,1315.9,1594.3,1814.0,1552.8,1633.8,1717.4
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",106.0,112.6,107.0,108.2,111.6,112.3,127.7,136.7,156.4,161.9,178.1,181.8,189.4,170.4,157.4,195.0,208.6,220.6,253.7,239.9,234.4,238.7
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",29.3,35.4,25.8,20.3,20.6,11.6,9.6,11.4,12.8,14.8,19.2,21.7,18.3,12.8,8.4,34.6,36.0,64.0,75.0,58.0,51.3,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",24.0,25.8,32.0,35.8,42.2,45.4,57.6,58.0,67.1,63.9,63.7,57.9,57.7,49.4,37.7,37.6,34.5,35.6,48.2,61.5,60.5,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",0.9,0.7,1.1,1.7,0.9,0.9,1.3,2.4,1.7,1.3,4.0,4.1,3.5,3.5,4.1,2.5,1.9,2.2,2.3,1.9,1.8,(NA)
 "02000","Alaska",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",21.1,20.8,20.7,24.5,23.2,23.7,26.8,28.9,31.4,32.9,35.5,39.1,41.4,35.7,44.9,57.2,61.1,46.7,42.2,33.5,32.8,(NA)
