GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",132418.0,143392.4,155344.5,164611.6,171474.2,179413.3,192751.2,205420.8,228231.2,248230.7,262322.0,259366.7,243929.4,248210.0,257947.8,268288.8,275199.1,284573.8,297095.9,311396.6,326539.2,346791.9
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",114513.1,124349.5,135267.2,143472.0,148676.4,155165.9,166767.6,177830.1,198493.3,216405.4,228512.2,223621.5,208884.8,211726.7,220930.0,230468.0,236535.7,245693.0,257668.0,270893.8,284869.6,304435.4
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1499.4,1622.3,1547.4,1582.7,1518.3,1598.9,1615.1,2192.4,2003.8,1827.5,2136.2,1636.4,1338.4,1677.7,2414.9,1903.9,2359.7,2141.9,2294.2,2582.4,2815.7,2655.3
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1167.9,1255.2,1170.3,1214.5,1123.8,1196.8,1197.5,1765.4,1567.7,1272.1,1563.2,1125.7,840.6,1156.4,1875.1,1372.4,1841.2,1575.1,1690.4,1967.3,2200.1,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",331.5,367.1,377.1,368.3,394.5,402.1,417.6,427.0,436.1,555.5,572.9,510.6,497.8,521.3,539.9,531.5,518.5,566.8,603.8,615.1,615.6,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1610.7,1452.4,1477.0,1514.5,1286.7,1239.9,1395.6,1927.4,3125.0,4372.5,4929.6,5359.7,4798.5,6092.8,7183.1,6433.2,5770.5,5661.8,4277.3,3908.1,4895.9,4738.4
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",2.5,2.9,2.5,3.7,0.5,0.6,0.6,0.4,0.6,0.8,1.0,2.0,3.1,4.6,11.9,37.5,37.9,30.2,12.6,11.8,9.7,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",1574.1,1422.8,1450.1,1479.2,1268.3,1218.8,1378.1,1911.6,3105.7,4338.2,4894.4,5284.1,4711.5,5992.4,7068.3,6271.0,5627.9,5512.5,4167.5,3835.0,4811.2,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",34.1,26.8,24.4,31.7,17.9,20.4,16.9,15.4,18.7,33.5,34.2,73.6,84.0,95.8,102.8,124.8,104.6,119.0,97.2,61.4,75.0,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",3129.7,2987.1,3381.2,3446.7,3507.2,3382.5,3516.6,3843.8,3932.3,4664.1,5094.3,5276.6,5749.0,6041.9,6306.0,6200.1,6335.2,6416.4,6442.7,6756.4,6832.6,7048.5
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",6768.8,8055.9,9031.9,10182.1,10926.9,11266.1,12181.1,14270.9,18287.2,21606.2,22111.9,17757.4,11863.9,9809.1,9623.7,9304.0,10392.8,10889.5,11650.8,12963.1,14615.3,16729.9
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",21446.3,22209.4,23913.7,22978.5,22223.3,22328.7,25642.2,21530.0,20572.1,22580.6,24545.8,23502.9,20726.2,22162.4,23243.7,24413.4,22161.2,23965.7,25676.1,26265.3,27392.6,29862.8
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",18720.1,19429.4,20733.4,19933.2,19303.0,19565.5,23032.4,18909.7,17689.5,19246.9,20392.8,19493.3,16227.4,17894.3,18911.1,20313.0,18669.2,20062.2,21248.8,21765.5,22615.7,24394.7
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",267.5,327.5,325.1,293.0,329.9,277.9,329.8,386.4,491.5,443.1,361.3,296.4,214.8,168.3,167.6,172.0,204.3,261.3,251.9,291.3,308.1,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",554.7,611.1,770.2,747.4,637.0,630.5,672.9,747.8,959.9,1226.3,1484.2,907.6,583.2,575.0,522.0,600.0,652.6,770.6,718.0,836.0,898.2,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",361.2,364.2,353.2,420.0,438.1,373.0,448.3,543.7,360.4,696.9,1095.4,630.2,561.9,482.2,971.1,826.4,852.0,943.6,917.9,676.3,698.5,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",1307.7,1461.6,1329.2,1478.1,1285.2,1369.8,1227.8,1489.8,1453.7,1391.8,1466.7,1527.5,1271.4,1191.9,1209.7,1388.5,1428.0,1501.9,1723.3,1770.7,1926.4,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",18,"333","    Machinery manufacturing",645.5,615.0,614.7,691.8,531.0,547.1,604.9,576.2,608.1,639.4,722.8,628.5,639.5,792.3,753.2,720.0,905.9,816.3,818.4,740.2,821.1,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",11393.9,11532.3,11016.6,11486.2,8691.3,11797.1,14487.1,10677.8,8169.6,9070.1,8117.7,8517.4,7155.6,7975.5,8447.1,9004.4,7630.0,8318.2,9110.3,8392.9,8296.0,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",193.0,175.5,189.6,207.9,170.1,193.7,221.2,148.7,173.9,226.0,317.4,324.0,341.3,348.7,283.7,278.9,260.4,274.6,384.9,357.7,443.3,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",435.6,463.0,427.1,423.0,398.7,390.7,378.5,384.4,351.3,339.8,363.9,335.8,162.4,223.8,307.2,428.8,419.7,453.5,512.3,670.5,722.7,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",2676.0,2922.1,4678.6,3123.6,5749.0,2911.3,3613.8,2913.9,3960.0,3829.9,5060.6,5073.7,3996.4,4669.3,4683.1,5312.8,4568.0,5053.7,5029.7,6279.5,6641.1,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",23,"337","    Furniture and related product manufacturing",321.7,404.0,408.2,420.8,433.3,354.4,344.2,393.0,466.8,586.4,461.2,344.6,338.2,281.6,260.9,272.5,324.8,346.2,391.4,399.7,421.6,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",24,"339","    Miscellaneous manufacturing",563.4,553.0,620.9,641.6,639.4,719.8,703.8,648.0,694.3,797.4,941.7,907.7,962.8,1185.7,1305.5,1308.6,1423.5,1322.2,1390.6,1350.8,1438.7,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",2726.2,2780.0,3180.3,3045.3,2920.3,2763.2,2609.8,2620.3,2882.7,3333.7,4153.0,4009.6,4498.7,4268.1,4332.6,4100.4,3492.1,3903.5,4427.3,4499.8,4776.9,5468.1
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",685.8,683.7,922.9,999.0,977.0,1094.7,1133.0,966.1,946.2,1186.1,1426.6,1551.4,1637.1,1522.7,1520.8,1534.0,1537.1,1783.9,1860.3,1935.1,2083.0,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",77.8,75.0,73.9,72.7,64.9,81.3,77.2,131.0,98.9,94.2,118.1,113.0,106.4,79.9,81.4,102.1,91.9,120.8,142.4,127.4,127.2,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",42.0,47.3,38.0,48.9,39.3,38.0,32.3,23.0,18.6,15.9,18.7,22.0,19.2,21.5,19.6,18.9,22.6,15.1,23.5,30.5,25.9,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",29,"322","    Paper manufacturing",243.6,256.6,259.9,272.8,202.6,202.2,196.6,230.2,271.9,262.8,248.7,225.9,209.9,235.5,234.9,241.4,195.7,190.8,201.7,245.1,257.8,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",30,"323","    Printing and related support activities",370.3,399.9,388.0,392.1,339.7,384.5,363.1,401.6,475.4,501.1,469.0,417.2,414.4,441.8,434.7,422.7,452.4,452.5,502.8,488.0,482.5,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",19.0,25.9,20.7,30.2,26.1,25.3,45.2,96.9,111.1,125.6,180.2,198.6,116.6,97.9,101.4,70.6,83.6,119.0,151.5,100.6,113.5,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",32,"325","    Chemical manufacturing",866.2,855.8,996.9,856.1,810.9,478.0,392.9,419.7,645.6,769.1,1373.6,1075.6,1615.3,1418.2,1491.5,1168.7,612.8,765.6,908.9,1008.6,1081.0,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",421.7,435.7,480.1,373.6,459.8,459.3,369.5,351.8,315.0,378.9,318.1,405.8,379.9,450.7,448.4,542.0,496.0,455.9,636.2,564.5,606.1,(NA)
 "04000","Arizona",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",34,"42","  Wholesale trade",8047.5,8828.6,9289.1,10006.3,10041.6,10128.9,10735.9,11866.8,12825.8,13844.6,15186.4,15294.4,14521.6,14865.2,15327.6,16698.3,16550.1,16739.3,17200.6,17905.1,18675.1,20215.7
