GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",136675.3,150381.7,164226.8,180605.5,187571.9,190962.8,196483.7,203980.2,219907.9,231205.9,246043.5,255566.8,248593.6,255140.5,264431.6,273519.5,288305.2,306362.0,318230.4,329097.3,347195.7,368795.1
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",117741.4,130749.9,143447.4,158857.4,164142.4,165783.0,170302.0,176943.3,191546.6,202228.8,216366.7,223730.8,215725.5,221241.2,230257.6,238837.8,252661.5,269115.8,278649.6,288322.4,304922.3,325184.0
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1490.4,1532.6,1525.6,1484.7,1838.6,1512.7,1565.8,2043.3,2079.0,1938.8,2447.5,2182.3,2041.4,2288.2,2801.2,2559.7,2662.5,2700.7,2732.4,2536.0,2332.3,2195.7
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1365.8,1400.2,1379.9,1331.9,1673.9,1350.8,1395.3,1867.2,1891.0,1714.4,2222.7,1957.7,1783.0,2010.9,2516.1,2244.8,2335.1,2361.8,2379.0,2191.0,1965.2,(NA)
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",124.7,132.4,145.7,152.8,164.7,161.9,170.5,176.1,188.0,224.4,224.8,224.6,258.3,277.3,285.0,314.9,327.4,338.9,353.4,345.0,367.1,(NA)
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1884.1,1809.3,1792.3,2423.6,2747.4,2656.3,4311.0,5704.9,9516.4,10959.3,11277.4,15819.6,10666.4,11662.2,13309.9,12347.3,13641.7,16430.8,10386.9,8430.7,10914.3,13087.0
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",1012.1,777.3,783.0,1372.3,1523.7,1461.2,2950.5,4119.4,6785.4,7503.3,6909.8,10704.5,6697.5,7589.4,8620.6,7655.5,9222.5,11309.4,6578.9,6001.3,7816.8,(NA)
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",665.8,816.1,836.7,809.8,836.9,892.4,990.6,1033.5,1801.1,1808.5,2091.5,2100.3,2294.5,2173.8,2148.4,1868.4,1722.8,1698.2,1409.2,1088.3,1267.8,(NA)
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",206.1,215.9,172.7,241.5,386.8,302.7,369.8,552.1,929.9,1647.5,2276.1,3014.7,1674.3,1899.0,2540.8,2823.4,2696.4,3423.2,2398.8,1341.1,1829.7,(NA)
 "08000","Colorado",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",2055.0,1968.3,2177.5,2161.8,2296.5,2243.7,2480.5,2799.4,2876.8,3444.3,3084.5,3320.3,3297.9,3881.6,3978.7,3765.2,3717.3,4045.8,4068.9,3987.2,3916.1,4157.4
