GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",138648.8,145495.4,152338.1,165898.7,173127.2,176208.2,181339.7,198662.4,208766.2,222889.1,237542.7,240910.9,236393.2,237653.4,236523.7,243801.0,246632.0,248954.2,259697.9,262978.6,265535.4,274179.5
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",125375.5,131596.9,137485.8,150090.6,156086.0,158194.2,162788.2,179061.9,187767.5,201109.1,214435.7,216746.8,212747.3,213620.3,212227.0,219550.6,221583.2,223186.5,232912.0,236024.9,238215.1,246398.2
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",298.9,316.0,324.4,384.9,356.2,321.9,334.6,379.7,366.7,352.3,377.1,385.1,353.8,375.2,375.6,409.3,427.0,353.8,378.4,318.3,345.1,325.9
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",235.8,252.9,258.5,305.9,280.3,252.4,268.2,315.9,304.7,277.2,311.5,322.0,295.6,317.0,326.4,358.6,378.4,294.0,311.3,251.2,284.7,(NA)
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",63.1,63.1,65.9,79.0,76.0,69.5,66.4,63.9,62.0,75.1,65.6,63.1,58.2,58.2,49.3,50.7,48.6,59.8,67.1,67.1,60.3,(NA)
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",61.3,79.1,79.0,90.8,98.1,99.5,114.4,114.0,120.0,151.4,162.2,124.6,109.6,152.8,131.5,155.9,145.9,169.7,240.4,329.3,213.2,167.4
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",0.9,0.6,0.4,0.5,0.0,0.0,0.0,0.5,0.6,0.2,0.1,0.1,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",57.4,75.3,74.7,85.4,93.2,94.7,110.5,109.1,117.2,145.9,158.4,119.0,105.9,146.3,122.0,148.2,138.0,160.7,234.2,325.9,208.1,(NA)
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",3.0,3.3,3.9,4.8,4.9,4.9,3.9,4.4,2.1,5.3,3.8,5.5,3.7,6.5,9.6,7.8,7.8,8.9,6.2,3.3,5.1,(NA)
 "09000","Connecticut",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",2725.8,2625.4,2846.4,2807.0,2731.8,2530.4,2761.0,3123.3,3655.1,4042.8,4324.3,4690.4,4929.2,4611.4,4345.7,4791.6,4859.2,5190.7,4714.9,4316.7,4263.7,4369.5
