GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",52451.9,54879.8,58832.1,61095.5,65565.9,70054.7,74090.3,80471.3,85304.9,88517.2,93970.0,99478.5,100894.6,106120.3,110076.2,112736.5,114891.0,119994.4,125176.5,129816.6,134901.4,140279.9
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",31762.1,34213.6,37122.0,39194.2,42231.4,44721.6,47360.4,52244.7,55149.9,57960.5,62452.7,66035.8,65175.2,67732.5,70666.4,73329.2,75305.5,79281.0,83543.5,86675.6,90638.0,95657.2
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",0.7,0.9,0.9,1.0,0.7,0.6,0.6,0.6,0.5,0.7,0.3,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.8,1.2,1.2
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",0.7,0.9,0.9,1.0,0.7,0.6,0.6,0.6,0.5,0.7,0.3,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.8,1.2,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",12.9,13.9,17.4,21.4,17.9,17.9,11.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",8.8,11.4,13.1,18.0,14.0,16.8,11.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",4.1,2.5,3.0,2.1,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,1.3,1.3,1.4,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",608.7,610.1,706.3,747.8,750.7,758.0,822.0,880.2,1003.3,1110.1,1206.5,1264.4,1441.7,1503.5,1370.2,1211.3,1230.7,1257.5,1304.8,1308.3,1310.7,1416.4
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",446.4,511.6,571.9,714.3,818.7,991.8,1022.4,1060.4,1073.8,1052.6,1052.9,1093.5,995.4,959.7,1094.5,1359.0,1430.1,1469.1,1454.8,1420.1,1539.4,(D)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",291.3,307.2,272.6,282.3,297.4,282.8,293.9,327.5,284.8,265.3,263.5,251.2,252.0,239.9,281.8,229.7,241.5,219.0,252.3,278.0,295.0,(D)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",112.2,119.3,120.6,122.8,113.6,135.3,131.8,152.8,123.1,108.1,88.8,80.6,80.5,69.5,67.2,69.8,85.8,88.3,109.9,134.3,141.8,(D)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",1.3,2.1,1.9,0.6,0.6,0.6,1.2,1.8,0.7,1.3,0.3,0.3,0.5,0.4,0.7,1.5,1.3,0.9,0.7,0.5,0.2,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",9.2,8.0,7.3,8.2,7.8,8.7,10.1,11.6,13.5,11.9,11.7,12.5,12.6,10.0,11.7,14.6,22.5,30.7,36.5,42.5,40.2,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",2.0,2.4,2.3,2.6,3.1,3.2,3.6,7.1,5.2,6.1,5.9,4.7,4.3,1.7,1.8,2.2,2.3,1.1,2.9,1.2,6.6,(NA)
 "11000","District of Columbia",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",7.0,8.6,9.1,8.7,2.0,8.4,8.3,8.6,6.8,7.5,10.7,11.3,11.7,10.5,9.0,10.4,8.7,8.1,9.3,9.1,9.0,(NA)
