GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",32967.7,36783.2,40363.6,43389.4,46448.3,45757.9,47761.6,51449.4,52154.1,55067.4,56278.5,54787.5,56871.2,57447.4,60357.4,61975.8,60666.1,67178.9,70896.2,70379.8,72167.2,74973.3
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",29897.1,33520.3,36877.7,39669.2,42507.7,41390.2,43250.0,46740.2,47046.6,49906.5,50707.2,48914.3,50690.9,51273.3,54015.8,55617.1,54234.0,60758.2,64298.3,63635.7,65219.6,67921.0
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",194.7,227.0,215.0,227.3,287.3,167.6,266.1,396.4,411.8,325.2,337.8,334.9,398.0,379.6,371.0,417.0,581.3,652.1,484.2,456.8,566.9,(D)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",174.0,205.2,191.7,205.8,271.6,152.8,247.4,375.3,390.9,303.5,319.5,315.4,377.7,355.4,342.4,386.4,550.8,618.1,447.2,419.4,533.4,(NA)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",20.7,21.8,23.3,21.6,15.7,14.8,18.6,21.1,20.8,21.8,18.4,19.4,20.3,24.3,28.5,30.6,30.6,34.1,37.1,37.4,33.5,(NA)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",11.8,11.2,11.3,11.9,10.3,9.1,5.0,4.9,1.8,1.4,0.5,0.8,0.7,1.3,0.1,0.2,2.8,3.0,3.6,3.7,4.0,(D)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",3.2,2.9,3.2,3.7,0.4,0.7,0.8,1.2,1.0,0.8,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",6.9,6.7,6.7,6.6,9.9,8.1,4.0,3.6,0.6,0.4,0.4,0.6,0.7,0.1,0.1,0.2,2.8,3.0,3.6,3.7,3.6,(NA)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",1.7,1.6,1.4,1.6,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,(L),0.0,0.0,0.0,0.4,(NA)
 "10000","Delaware",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",592.4,573.6,622.1,569.4,578.5,611.3,606.9,656.1,633.2,813.3,837.1,822.7,880.5,958.4,917.5,868.9,880.8,995.4,1036.0,1041.7,1046.7,1021.3
