GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",29439.0,30983.9,34138.2,37992.8,37384.1,38715.3,40341.8,43739.0,47962.9,50976.3,53852.1,55546.0,53775.0,55170.7,56488.1,57764.4,61017.7,63614.9,66338.9,69312.5,72442.4,77004.2
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",25002.3,26317.1,29142.9,32665.8,31801.6,32852.5,34202.3,37194.2,41020.9,43665.6,46274.7,47672.3,45752.0,47186.0,48514.1,49561.1,52628.9,55097.0,57275.1,59987.6,62715.1,66968.5
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1683.2,1783.9,1784.2,1822.6,1933.4,1959.4,1802.8,2529.1,2212.0,2279.3,2898.8,2978.1,2194.2,2644.0,3438.4,3444.5,3799.3,3976.2,3602.0,3407.7,3307.9,3079.0
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1320.7,1406.7,1407.9,1453.8,1581.2,1602.0,1433.9,2143.3,1822.3,1815.9,2442.8,2540.5,1791.7,2203.8,2992.3,2998.8,3321.6,3469.0,3072.4,2896.9,2780.9,(NA)
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",362.6,377.2,376.3,368.8,352.2,357.4,368.9,385.7,389.7,463.4,455.9,437.6,402.4,440.1,446.1,445.7,477.7,507.1,529.6,510.8,526.9,(NA)
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",167.2,189.4,196.6,178.9,149.8,152.1,178.3,209.4,588.4,543.2,570.2,910.3,866.7,1210.4,1296.8,727.4,911.9,1011.5,553.4,579.1,243.1,239.4
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.1,0.2,0.7,1.8,1.7,2.9,3.4,4.4,8.2,32.6,16.7,15.3,13.7,17.3,13.1,14.4,14.7,35.0,25.3,(NA)
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",163.9,186.1,193.9,174.8,145.7,147.6,173.4,202.0,579.7,528.1,542.7,851.2,836.0,1163.8,1236.7,651.8,841.9,935.0,490.1,511.0,196.5,(NA)
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",3.3,3.3,2.5,3.8,3.4,2.7,3.2,4.5,5.4,10.7,19.3,26.5,14.0,31.3,46.4,58.2,57.0,62.0,48.7,33.1,21.3,(NA)
 "16000","Idaho",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",528.4,501.7,553.6,558.3,576.5,635.2,580.9,635.8,601.3,717.3,723.2,826.0,977.7,1173.8,1205.2,1235.7,1314.7,1307.9,1297.4,1327.5,1367.0,1443.3
