GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",159335.8,169980.1,180207.0,192106.3,205449.8,218299.3,228690.0,246762.0,265929.5,279468.3,287872.8,296435.4,302507.3,316451.5,328058.4,334821.6,341255.3,352524.3,367226.1,384155.8,398415.6,412920.9
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",126484.6,135304.1,144085.8,154008.0,165425.7,174497.8,182681.6,198561.7,214653.6,225272.5,230794.5,236334.1,239623.2,250136.5,258669.2,264747.5,269573.8,278430.9,290586.6,306203.7,318180.4,331125.9
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",606.3,618.5,619.7,691.7,712.7,540.2,620.7,872.9,784.0,770.3,775.9,860.9,839.6,807.6,955.6,1044.0,1254.3,1112.5,932.0,867.2,992.7,963.4
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",532.3,540.4,534.8,597.8,617.2,445.5,524.6,756.9,666.1,626.4,652.0,741.9,728.0,691.4,846.8,932.0,1142.2,990.9,800.2,730.8,849.9,(NA)
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",74.0,78.1,85.0,93.9,95.5,94.7,96.1,116.0,118.0,143.8,123.9,119.0,111.6,116.2,108.8,112.0,112.1,121.5,131.8,136.4,142.9,(NA)
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",143.6,158.0,152.2,173.7,187.8,193.1,205.1,252.2,303.0,367.2,392.7,351.2,198.5,385.4,315.3,291.2,246.8,254.7,301.3,268.4,328.3,335.2
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",1.3,1.2,1.3,2.5,14.9,7.7,8.1,3.9,3.2,1.8,0.6,0.5,0.4,0.4,0.3,0.2,0.7,2.0,2.0,2.3,0.5,(NA)
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",140.3,152.8,145.9,164.2,165.3,177.8,188.3,235.7,277.5,331.2,357.0,310.8,159.6,334.7,247.4,217.6,182.8,192.1,249.6,226.8,294.4,(NA)
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",2.0,4.0,5.1,7.0,7.6,7.6,8.6,12.6,22.3,34.2,35.1,39.9,38.5,50.3,67.6,73.3,63.3,60.6,49.7,39.3,33.4,(NA)
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",3131.3,2964.8,3286.2,3180.2,3091.0,2936.1,3285.1,3918.3,3680.5,4415.3,5333.3,5235.6,5727.3,6758.1,6764.0,6094.1,6020.0,6247.7,6730.4,6885.4,7088.4,7276.2
 "24000","Maryland",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",7949.0,8618.0,9504.7,10659.6,11693.1,11947.6,12614.3,14368.8,15373.0,16085.0,16272.4,15474.7,14112.7,13201.2,13498.8,14129.6,14359.8,15122.7,15841.9,17108.8,17475.7,17801.5
