GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",1627119.8,1699551.6,1799489.4,1904911.1,1993334.1,2046227.7,2116127.8,2238502.8,2364793.2,2485301.1,2588309.7,2627297.9,2676977.9,2788427.9,2852655.9,2993044.9,3069981.2,3205017.2,3330595.7,3431413.0,3555596.1,3717914.1
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",1417898.5,1481239.1,1570080.8,1665153.9,1742658.0,1780956.9,1837771.8,1944667.5,2056818.0,2166918.6,2253007.2,2276344.9,2313105.7,2411428.3,2473666.1,2612078.0,2673579.0,2800856.6,2918492.2,3012630.9,3125202.3,3269094.1
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",5004.5,5269.5,5138.2,5726.4,5836.7,4862.8,5791.2,7307.1,6985.0,6876.6,7556.9,7711.2,6543.6,7532.9,8828.4,8863.6,10104.4,10488.8,8564.7,7391.8,8430.4,(D)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",3995.2,4334.2,4165.3,4663.7,4806.3,3873.3,4768.3,6209.1,5846.7,5560.3,6373.6,6541.5,5384.9,6324.3,7646.1,7625.2,8872.8,9145.7,7113.0,5909.2,6913.7,(NA)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",1009.3,935.3,972.9,1062.8,1030.4,989.5,1022.9,1097.9,1138.3,1316.2,1183.2,1169.7,1158.7,1208.6,1182.4,1238.5,1231.6,1343.1,1451.6,1482.7,1516.7,(NA)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",2518.0,2905.4,2840.5,3024.6,3078.1,2950.8,3277.0,3844.2,4854.0,5781.1,6940.3,7932.2,8006.8,10211.2,12728.1,13395.7,14957.9,19044.9,13735.1,13262.5,16679.3,(D)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",224.5,215.8,231.6,331.3,284.2,298.3,405.3,510.1,694.5,696.9,877.0,1663.2,1843.0,3009.3,4575.3,5696.9,7753.9,11294.2,7121.5,8181.0,10887.1,(NA)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",2148.7,2535.4,2465.0,2507.3,2547.1,2416.8,2596.5,2983.9,3666.1,4272.3,4926.1,5010.7,5009.8,5379.9,5394.6,4758.5,4464.2,4437.1,4264.6,3875.3,4203.5,(NA)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",144.9,154.1,143.8,186.1,246.9,235.7,275.2,350.2,493.4,811.9,1137.1,1258.4,1154.0,1821.9,2758.2,2940.3,2739.8,3313.6,2349.1,1206.1,1588.7,(NA)
 "92000","Mideast",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",32129.3,30665.4,33013.1,32143.7,33355.7,32100.4,33876.2,38036.3,37126.2,40536.4,42108.5,42964.8,46212.8,50496.5,50860.4,48416.5,50170.8,53266.9,53967.5,52868.3,53160.3,55900.5
