GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",30630.6,32166.6,34382.1,36841.0,38500.8,40183.7,41838.5,44526.3,45874.8,47921.1,49148.6,49973.8,50556.5,51710.7,51866.7,52874.0,53719.0,55875.1,57484.9,59604.0,61720.1,64350.7
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",26318.9,27734.2,29691.4,31825.1,33200.6,34565.0,35896.4,38266.6,39343.2,41093.1,42050.6,42602.2,43081.8,44154.6,44499.2,45503.6,46200.0,48025.1,49445.0,51214.7,53084.2,55565.6
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",658.4,741.0,796.0,884.3,855.5,770.3,772.4,767.5,745.3,801.8,764.0,749.4,707.0,817.6,827.1,828.6,828.2,823.8,894.5,817.4,859.0,851.0
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",200.0,269.6,275.9,300.4,289.9,243.9,256.7,302.4,288.2,297.3,323.6,344.0,318.7,399.8,407.0,413.6,429.5,382.2,381.0,308.6,321.8,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",458.4,471.4,520.1,583.9,565.6,526.4,515.7,465.1,457.1,504.5,440.4,405.4,388.3,417.9,420.1,415.1,398.7,441.6,513.4,508.8,537.1,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",3.7,4.7,7.0,7.0,8.3,8.3,7.6,9.3,8.6,9.9,12.5,21.3,15.7,19.3,20.4,31.8,30.5,22.6,27.0,25.9,27.7,29.4
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",2.7,4.3,6.5,6.5,8.2,8.2,7.5,9.3,8.6,9.9,9.8,17.8,15.6,18.8,19.3,31.0,29.5,21.0,27.0,25.9,27.7,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",0.9,0.4,0.5,0.6,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.2,0.5,1.1,0.8,1.0,1.7,0.0,0.0,(L),(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",793.0,701.0,740.7,645.2,773.2,694.9,662.5,706.6,743.1,869.7,924.9,926.4,946.7,986.5,954.3,941.1,974.3,994.6,955.5,964.6,992.3,964.2
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",1213.8,1394.0,1635.9,1821.3,1994.9,2043.1,2226.8,2429.0,2494.5,2514.3,2462.3,2239.5,2209.6,2137.7,2043.5,1979.1,1896.9,1981.6,2052.8,2135.1,2225.6,2384.5
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",4501.8,4375.5,4828.0,5278.9,4663.8,4500.3,4494.6,4925.7,5064.4,5212.4,5392.4,5408.5,5472.5,5570.9,5359.3,5423.6,5388.3,5521.0,5424.8,5684.2,5951.8,6306.3
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",1894.2,1777.1,2020.5,2301.6,2147.2,2066.5,2144.9,2497.2,2553.6,2484.0,2448.1,2481.1,2590.5,2744.8,2691.1,2490.3,2762.6,2828.3,2865.8,3017.7,3131.7,3256.2
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",287.1,288.3,350.4,359.0,271.9,357.3,352.7,506.7,490.9,416.5,332.9,342.0,235.1,315.1,321.8,309.2,358.4,369.1,312.6,375.0,399.5,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",66.8,68.5,68.6,67.5,73.2,82.5,97.6,111.8,120.7,127.1,104.6,97.1,83.4,91.2,86.3,89.3,93.4,95.9,115.3,132.4,139.9,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",28.5,31.4,25.0,24.4,25.8,25.5,22.6,24.7,23.1,24.4,25.4,39.9,26.1,21.1,24.0,24.9,24.4,20.0,24.8,24.9,25.1,(NA)
 "23000","Maine",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",314.3,263.5,292.3,359.9,336.6,302.1,305.2,351.2,409.9,404.3,464.1,492.9,559.2,546.9,500.6,552.4,490.8,520.8,527.9,517.3,536.9,(NA)
