GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",299843.2,312611.0,337561.2,351572.7,348529.0,362271.1,373839.3,381228.9,394229.0,395451.0,403735.8,386053.9,365591.7,386625.9,401105.4,418857.4,432717.6,448964.4,473987.7,490183.4,505844.8,528008.4
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",267405.1,279669.3,302332.8,314125.9,309407.1,321530.3,332010.4,338469.8,349323.2,349828.8,357311.4,338077.9,316993.1,336754.0,352404.7,370283.4,383572.2,399534.4,422202.3,437803.8,451935.0,473201.1
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1740.4,1656.6,1705.4,1585.6,1614.9,1679.3,1799.3,2473.9,2224.6,2535.7,2672.1,2775.9,2233.5,2835.4,4177.6,3286.1,3940.3,3464.2,3205.0,2764.1,2610.7,2500.4
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1486.4,1392.3,1427.6,1288.6,1315.4,1400.7,1495.7,2144.1,1885.3,2163.2,2317.3,2430.4,1873.0,2450.4,3792.3,2869.5,3514.4,2973.3,2687.3,2226.0,2055.4,(NA)
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",254.0,264.2,277.8,297.0,299.5,278.6,303.6,329.8,339.3,372.4,354.8,345.5,360.5,385.0,385.4,416.6,425.9,490.9,517.8,538.1,555.2,(NA)
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",670.8,619.6,592.8,634.5,649.2,595.1,618.5,758.8,892.6,1186.9,1156.6,1359.3,1286.4,1680.6,2178.4,2066.4,1973.3,1988.6,1806.1,1962.3,1871.8,1856.0
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",210.1,103.4,75.1,84.0,68.1,60.9,80.5,93.0,127.4,226.6,180.7,223.9,147.5,177.0,225.7,263.3,280.3,259.6,121.5,103.6,118.2,(NA)
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",363.5,415.3,435.5,447.4,443.9,425.3,428.9,528.3,617.3,754.2,746.6,893.0,971.9,1335.1,1762.9,1581.5,1468.5,1484.0,1517.5,1744.4,1612.6,(NA)
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",97.2,100.9,82.2,103.1,137.2,108.8,109.1,137.5,147.8,206.1,229.3,242.3,167.0,168.6,189.9,221.6,224.5,245.0,167.1,114.3,141.0,(NA)
 "26000","Michigan",3,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",5802.0,5387.3,6075.8,5925.8,5736.1,5448.1,5762.7,6040.4,6089.3,6964.3,7320.9,7699.0,7977.5,8707.9,8890.9,9103.3,9056.9,9201.0,9093.5,9742.7,9902.8,10176.5
