GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",489155.6,514166.9,542834.3,590719.9,610358.0,627332.9,651259.2,693897.0,725250.8,763509.5,799843.5,813172.3,813921.4,839958.3,857725.2,889223.3,907187.5,934940.0,983252.1,1010087.6,1041261.4,1085243.0
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",433979.6,457159.4,482578.1,527248.7,543344.0,556981.9,578020.2,616975.6,644140.5,678580.7,709888.0,719254.2,719717.4,743969.6,758373.1,791479.8,806404.2,831026.4,876258.7,902040.7,930639.0,972571.9
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",2079.9,2112.4,2253.1,2520.6,2468.7,2298.7,2374.6,2566.0,2562.2,2730.7,2743.6,2791.0,2587.7,2988.3,2971.1,3017.7,2983.1,2790.8,2811.9,2594.2,2751.5,(D)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1040.9,1064.5,1075.7,1179.9,1126.6,1018.0,1092.2,1336.7,1273.4,1196.1,1377.6,1543.9,1271.4,1481.8,1630.2,1680.7,1792.2,1608.1,1485.9,1255.2,1359.6,(NA)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",1039.0,1047.9,1177.3,1340.7,1342.1,1280.7,1282.4,1229.2,1288.8,1534.6,1366.0,1247.1,1316.3,1506.5,1340.9,1336.9,1190.9,1182.6,1326.0,1339.0,1391.9,(NA)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",227.6,281.5,304.5,330.2,367.4,384.9,420.5,457.6,484.6,582.9,704.6,579.7,618.8,662.7,607.9,628.7,592.4,678.6,855.2,1049.9,905.7,(D)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",1.7,1.3,0.5,0.6,0.0,0.1,1.8,2.3,2.1,1.4,4.6,5.4,1.8,1.6,2.8,3.8,4.0,3.3,2.8,2.5,0.6,(NA)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",214.9,268.1,289.7,313.5,358.7,376.6,407.0,442.1,473.9,570.3,681.9,553.6,599.1,637.5,572.1,595.1,553.8,640.7,823.2,1018.8,868.2,(NA)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",10.9,12.1,14.3,16.1,8.8,8.3,11.6,13.3,8.6,11.1,18.2,20.6,18.0,23.5,33.0,29.9,34.6,34.6,29.2,28.6,36.9,(NA)
 "91000","New England",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",8428.9,7972.0,8661.8,8559.2,9035.3,8034.1,8646.5,9327.8,9984.1,11862.0,12345.7,13765.3,13417.3,14032.2,13683.9,13793.0,14546.0,15198.6,14845.1,13944.6,14365.8,14819.1
