GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",307895.7,319946.2,336649.9,362006.9,373755.6,388337.7,405198.5,422889.1,440773.8,464458.9,480539.0,495121.8,486512.8,495149.0,499114.9,519745.8,533686.7,546831.5,569481.9,581270.7,599314.7,624851.9
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",275329.6,286090.6,301401.0,324968.0,334047.6,346189.1,360510.8,375524.7,391072.6,413534.3,426793.3,439057.7,428786.7,437016.8,442764.1,463363.3,474543.2,486192.8,507842.9,519924.6,536677.0,561643.0
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",590.3,565.7,526.7,651.4,575.0,594.9,637.5,700.7,693.6,781.0,804.0,733.9,738.1,737.4,816.6,824.4,800.8,780.0,861.4,846.4,870.7,835.8
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",432.5,435.8,386.9,491.3,430.1,452.1,494.7,563.1,566.1,634.0,657.3,590.2,563.3,565.3,646.0,636.3,629.6,578.9,635.4,577.9,592.0,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",157.8,129.9,139.9,160.1,144.9,142.7,142.8,137.6,127.5,147.0,146.7,143.7,174.8,172.1,170.6,188.1,171.3,201.1,226.0,268.6,278.7,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",195.5,224.9,231.4,257.6,237.7,213.1,210.1,262.1,328.0,330.5,373.9,262.3,304.9,252.6,235.7,277.6,399.0,260.3,350.8,421.7,429.6,497.0
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",3.0,1.6,1.8,3.3,1.8,4.7,4.2,11.8,28.4,13.2,17.0,14.9,34.3,18.4,13.3,13.2,11.6,12.0,13.1,21.8,19.3,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",187.4,218.2,225.0,247.9,227.1,194.8,198.0,242.9,285.1,303.1,347.1,232.3,251.5,217.4,200.0,241.0,360.5,220.5,300.5,349.9,344.4,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",5.1,5.1,4.6,6.4,8.8,13.6,7.9,7.4,14.6,14.2,9.8,15.0,19.1,16.8,22.4,23.4,26.9,27.7,37.3,50.1,65.9,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",6672.5,6221.7,6727.9,6086.4,6035.4,5697.9,6170.4,7430.5,7133.9,7555.6,7887.3,8449.0,9485.8,9491.9,9190.4,8791.8,9688.5,10776.6,11027.8,9773.3,9423.3,10549.3
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",10573.9,11296.2,12263.7,14064.4,15096.6,15584.9,16012.3,17449.6,18743.6,19661.0,19843.4,18527.0,16513.0,14824.7,14847.7,16529.8,18336.8,19840.5,21118.2,21792.5,22304.4,23091.6
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",45032.7,44139.0,47121.6,49873.2,48467.1,44999.4,47738.0,45761.4,44929.9,47858.1,49482.3,53514.0,45900.7,47192.1,44336.6,43290.9,43399.9,45983.2,45196.9,48249.6,48867.5,52701.5
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",13658.2,13924.7,14228.4,16599.0,14857.8,13886.4,14544.9,13873.7,13904.2,14737.6,14724.0,15622.3,14238.9,14346.6,14083.2,13779.1,14430.0,13921.9,15382.3,16147.9,16749.1,18153.0
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",211.2,283.1,215.0,262.2,246.9,260.6,268.4,276.5,293.1,260.2,245.7,231.2,165.7,151.7,133.9,131.9,149.4,134.6,157.4,176.9,196.8,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",1126.4,1180.6,1242.5,1435.9,1259.3,1235.1,1263.7,1250.2,1394.6,1382.1,1284.4,1387.7,1135.0,1104.8,947.7,1208.8,1229.1,1116.0,1240.8,1342.0,1418.7,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",798.1,768.6,736.2,859.3,868.3,758.5,711.7,1047.7,909.2,940.2,691.0,668.7,453.6,525.6,614.5,670.1,569.6,586.8,551.2,547.2,563.8,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",2145.2,2163.6,2347.1,2489.5,2223.3,2028.3,2055.6,2028.1,2242.6,2293.5,2283.9,2120.4,1971.7,2005.3,1992.8,1900.2,1945.9,1867.6,1864.2,1949.8,2056.3,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",18,"333","    Machinery manufacturing",1700.8,1951.1,1798.6,1710.6,1581.9,1557.2,1580.5,1486.8,1496.1,1569.0,1631.1,1704.2,1487.7,1642.5,1701.7,1589.5,1662.6,1628.2,1658.7,1633.4,1719.5,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",3149.6,2904.9,2965.5,4493.1,3427.3,2907.9,3453.4,2933.7,3099.0,3166.7,3652.1,4138.0,3998.7,3916.1,4234.3,3755.6,4063.5,3974.3,4086.6,4241.8,4369.3,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",771.4,631.3,736.7,649.7,598.5,664.6,770.0,902.4,802.1,1106.5,1041.6,1093.5,957.2,946.5,802.7,875.7,993.9,877.1,1161.8,1116.3,1074.1,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",1218.3,1329.2,1349.1,1509.8,1522.0,1146.0,1114.7,802.8,583.6,627.2,493.8,301.5,97.3,135.9,178.7,209.7,205.2,167.2,221.6,245.3,265.1,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",231.0,239.4,248.2,340.2,313.0,293.1,229.7,234.4,294.4,289.7,340.9,351.1,314.1,281.9,314.2,302.0,398.6,340.0,388.0,442.7,418.9,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",23,"337","    Furniture and related product manufacturing",392.6,406.1,412.2,524.6,473.2,482.2,442.2,476.1,523.0,524.2,484.2,450.7,364.5,331.9,340.1,306.9,335.4,383.3,423.1,450.8,475.5,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",24,"339","    Miscellaneous manufacturing",1913.6,2066.9,2177.3,2324.1,2344.2,2552.9,2655.2,2435.0,2266.5,2578.3,2575.2,3175.4,3293.3,3304.4,2822.6,2828.9,2877.0,2846.7,3629.0,4001.7,4191.1,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",31374.6,30214.2,32893.2,33274.1,33609.3,31113.0,33193.0,31887.8,31025.8,33120.5,34758.3,37891.7,31661.8,32845.5,30253.5,29511.8,28969.9,32061.3,29814.5,32101.8,32118.4,34548.5
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",3911.8,3632.1,4404.6,4262.5,3935.5,3947.9,4134.3,4038.7,3720.4,3652.2,3467.1,3616.4,4230.3,4053.8,3618.9,3794.9,3732.0,3777.8,4046.0,4377.4,4453.2,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",765.1,834.7,834.7,820.7,680.2,664.2,465.6,545.2,489.4,463.6,393.6,383.5,320.0,304.8,275.3,297.3,299.1,406.7,311.9,339.0,342.7,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",697.0,633.1,523.3,922.2,703.5,509.3,475.5,572.7,522.0,483.6,438.5,399.1,525.0,353.8,231.4,244.8,268.3,234.7,276.8,303.0,294.6,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",29,"322","    Paper manufacturing",1695.0,1456.9,1704.5,1688.9,1394.1,1182.3,1201.6,1247.2,1148.8,1319.1,1395.1,1250.1,1371.2,1132.9,1117.3,1309.0,1214.3,1130.3,1288.1,1257.5,1266.4,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",30,"323","    Printing and related support activities",1532.3,1653.1,1741.8,2014.2,1843.5,1729.3,1507.4,1731.7,1845.0,1883.0,1951.7,1865.9,1500.4,1485.8,1399.5,1464.8,1435.7,1389.9,1487.5,1467.2,1423.6,(NA)
 "34000","New Jersey",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",2962.6,2702.0,3128.3,3892.5,3399.2,2733.0,4500.4,3419.2,3339.1,2892.6,4612.3,7776.1,2098.7,2538.6,3069.1,4385.4,2972.6,5046.5,3760.5,2184.7,2708.7,(NA)
