GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",52511.1,50682.3,53092.8,55232.9,55986.2,58055.5,62895.9,69740.7,73684.2,77426.1,80572.8,83724.2,82017.4,83989.2,86625.0,87601.6,88411.2,92495.9,90906.1,91003.9,94238.2,99434.5
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",40793.2,38548.1,40568.8,42122.7,42097.2,43065.0,47043.0,52898.2,56142.4,59454.3,62189.8,64601.6,62247.2,63681.4,65960.1,66533.6,67093.9,70930.6,69101.8,68829.7,71769.8,76583.9
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",885.6,871.9,910.6,841.5,1030.3,815.7,858.4,1239.2,1207.8,1000.2,1293.2,1183.6,853.4,1301.1,1571.7,1416.5,1424.0,1603.5,1298.1,1383.7,1366.5,1246.9
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",792.2,779.6,818.4,739.7,927.9,716.7,757.0,1134.0,1101.4,879.7,1182.4,1075.9,740.7,1186.7,1455.9,1293.3,1298.8,1462.3,1144.1,1216.5,1195.2,(NA)
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",93.4,92.3,92.1,101.8,102.4,99.0,101.4,105.2,106.4,120.5,110.8,107.8,112.7,114.4,115.8,123.2,125.2,141.3,154.0,167.2,171.3,(NA)
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",2646.2,2244.0,2232.6,3214.7,3753.6,3381.5,4439.1,5191.1,7115.2,7918.5,8657.8,10587.8,7166.3,8139.7,9493.8,9239.5,10184.6,11170.8,7348.3,5958.2,7654.8,9658.3
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",1476.9,1128.4,1294.2,2210.1,2665.9,2533.6,3494.7,4040.1,5542.2,5634.8,6138.7,7546.3,4887.4,5572.2,6263.9,5603.1,6454.9,6984.1,4087.4,3721.1,5139.6,(NA)
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",816.9,781.7,690.6,624.8,547.1,465.8,482.9,582.7,792.8,980.5,1081.2,1406.1,1258.5,1388.4,1695.3,1851.5,1826.3,1918.3,1626.9,1325.4,1304.6,(NA)
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",352.5,333.8,247.7,379.8,540.6,382.1,461.5,568.3,780.1,1303.2,1437.9,1635.4,1020.4,1179.1,1534.6,1784.9,1903.4,2268.4,1634.0,911.6,1210.6,(NA)
 "35000","New Mexico",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",944.7,892.1,971.1,948.3,994.5,880.9,906.5,981.3,994.1,1187.1,1187.3,1261.8,1368.9,1483.2,1559.9,1552.9,1594.5,1662.1,1625.8,1657.7,1657.4,1702.0
